ts,NN,O
0184,NN,O
1978,JJ,O
1978,CD,O
4,CD,O
scc,NN,O
494,CD,O
the,CD,O
right,CD,O
against,CD,O
solitary,NN,B-LEGAL
confinement,CD,I-LEGAL
and,DT,O
prison,NN,O
torture,IN,O
and,JJ,O
custodial,NN,B-LEGAL
death,CC,I-LEGAL
was,NN,O
declared,NN,O
to,CC,O
be,JJ,O
a,NN,O
part,VBD,O
of,VBN,O
right,TO,O
to,VB,O
life,DT,O
in,NN,O
charles,IN,O
sobhraj,NN,O
v,TO,O
suptd,NN,O
central,IN,O
jail,NNS,O
manu,VBP,O
sc,JJ,O
0070,JJ,O
1978manu,JJ,O
sc,NN,O
0070,NN,O
1978,NN,O
1978,CD,O
4,CD,O
scc,NN,O
104,CD,O
the,CD,O
right,CD,O
against,CD,O
bar,NN,O
fetters,CD,O
was,DT,O
declared,NN,O
to,IN,O
be,NN,O
a,NNS,O
right,VBD,O
protected,VBN,O
under,TO,O
article,VB,O
21,DT,O
of,JJ,O
the,VBN,O
constitution,IN,O
in,NN,O
khatri,CD,O
ii,IN,O
v,DT,O
state,NN,O
of,IN,O
bihar,NN,O
manu,NN,O
sc,NN,O
0518,NN,O
1981manu,IN,O
sc,NN,O
0518,NN,O
1981,NN,O
1981,CD,O
1,CD,O
scc,NN,O
627,CD,O
the,CD,O
right,CD,O
to,CD,O
free,NN,B-LEGAL
legal,CD,I-LEGAL
aid,DT,I-LEGAL
was,NN,O
held,TO,O
to,JJ,O
be,JJ,O
a,NN,O
right,VBD,O
covered,VBN,O
under,TO,O
article,VB,O
21,DT,O
of,JJ,O
the,VBN,O
constitution,IN,O
in,NN,O
prem,CD,O
shankar,IN,O
shukla,DT,O
v,NN,O
delhi,IN,O
administration,NN,O
manu,NN,O
sc,NN,O
0084,NN,O
1980manu,JJ,O
sc,NN,O
0084,NN,O
1980,JJ,O
1980,CD,O
3,CD,O
scc,NN,O
526,CD,O
the,CD,O
right,CD,O
against,CD,O
handcuffing,NN,O
was,CD,O
declared,DT,O
to,NN,O
be,IN,O
a,VBG,O
right,VBD,O
under,VBN,O
article,TO,O
21,VB,O
so,DT,O
also,JJ,O
in,IN,O
rudal,NN,O
shah,CD,O
v,RB,O
state,RB,O
of,IN,O
bihar,JJ,O
manu,NN,O
sc,NN,O
0380,NN,O
1983manu,IN,O
sc,NN,O
0380,NN,O
1983,NN,O
1983,CD,O
4,CD,O
scc,NN,O
141,CD,O
the,CD,O
right,CD,O
to,CD,O
compensation,NN,O
for,CD,O
illegal,DT,O
and,NN,O
unlawful,TO,O
detention,NN,O
was,IN,O
considered,JJ,O
to,CC,O
be,JJ,O
a,NN,O
right,VBD,O
to,VBN,O
life,TO,O
under,VB,O
article,DT,O
21,NN,O
and,TO,O
also,NN,O
under,IN,O
article,NN,O
14,CD,O
in,CC,O
sheela,RB,O
barse,IN,O
v,NN,O
union,CD,O
of,IN,O
india,JJ,O
manu,NN,O
sc,NNP,O
0437,NN,O
1988manu,IN,O
sc,JJ,O
0437,NN,O
1988,NN,O
1988,CD,O
4,CD,O
scc,NN,O
226,CD,O
this,CD,O
court,CD,O
declared,CD,O
speedy,NN,B-LEGAL
trial,CD,I-LEGAL
to,DT,O
be,NN,O
an,VBD,O
essential,JJ,O
right,NN,O
under,TO,O
article,VB,O
21,DT,O
in,JJ,O
parmanand,NN,O
katara,IN,O
v,NN,O
union,CD,O
of,IN,O
india,NN,O
manu,NN,O
sc,NNP,O
0423,NN,O
1989manu,IN,O
sc,JJ,O
0423,NN,O
1989,NN,O
1989,CD,O
4,CD,O
scc,NN,O
248,CD,O
right,CD,O
to,CD,O
emergency,CD,O
medical,NN,O
aid,CD,O
was,NN,O
declared,TO,O
to,NN,O
be,JJ,O
protected,NN,O
under,VBD,O
article,VBN,O
21,TO,O
of,VB,O
the,VBN,O
constitution,IN,O
in,NN,O
chameli,CD,O
singh,IN,O
v,DT,O
state,NN,O
of,IN,O
up,JJ,O
manu,NN,O
sc,NN,O
0286,NN,O
1996manu,IN,O
sc,IN,O
0286,NN,O
1996,NN,O
1996,CD,O
2,CD,O
scc,NN,O
549,CD,O
and,CD,O
shantistar,CD,O
builders,CD,O
v,NN,O
narayan,CD,O
khimalal,CC,O
totame,JJ,O
manu,NNS,O
sc,VBP,O
0115,JJ,O
1990manu,NN,O
sc,NN,O
0115,NN,O
1990,NN,O
1990,CD,O
1,CD,O
scc,NN,O
520,CD,O
right,CD,O
to,CD,O
shelter,CD,O
clothing,NN,O
decent,CD,O
environment,NN,O
and,TO,O
a,VB,O
decent,NN,O
accommodation,JJ,O
was,NN,O
also,CC,O
held,DT,O
to,JJ,O
be,NN,O
a,VBD,O
part,RB,O
of,VBN,O
life,TO,O
in,VB,O
mc,DT,O
mehta,NN,O
v,IN,O
union,NN,O
of,IN,O
india,JJ,O
manu,NN,O
sc,NNP,O
1007,NN,O
1997manu,IN,O
sc,JJ,O
1007,NN,O
1997,NN,O
1997,CD,O
1,CD,O
scc,NN,O
388,CD,O
right,CD,O
to,CD,O
clean,CD,O
environment,NN,O
was,CD,O
held,NN,O
to,TO,O
be,VB,O
a,NN,O
right,VBD,O
to,VBN,O
life,TO,O
under,VB,O
article,DT,O
21,NN,O
in,TO,O
lata,NN,O
singh,IN,O
v,NN,O
state,CD,O
of,IN,O
up,NN,O
manu,NN,O
sc,NN,O
2960,NN,O
2006manu,IN,O
sc,IN,O
2960,NN,O
2006,NN,O
2006,CD,O
5,CD,O
scc,NN,O
475,CD,O
right,CD,O
to,CD,O
marriage,CD,O
was,NN,O
held,CD,O
to,NN,O
be,TO,O
a,VB,O
part,VBD,O
of,VBN,O
right,TO,O
to,VB,O
life,DT,O
under,NN,O
article,IN,O
21,NN,O
of,TO,O
the,NN,O
constitution,IN,O
in,NN,O
suchita,CD,O
srivastava,IN,O
v,DT,O
chandigarh,NN,O
administration,IN,O
manu,JJ,O
sc,NN,O
1580,NN,O
2009manu,NN,O
sc,NN,O
1580,NN,O
2009,JJ,O
2009,CD,O
9,CD,O
scc,NN,O
1,CD,O
right,CD,O
to,CD,O
make,CD,O
reproductive,NN,O
choices,CD,O
was,NN,O
declared,TO,O
as,VB,O
right,JJ,O
to,NNS,O
life,VBD,O
while,VBN,O
in,RB,O
sukhwant,JJ,O
singh,TO,O
v,NN,O
state,IN,O
of,IN,O
punjab,JJ,O
manu,NN,O
sc,NN,O
0866,NN,O
2009manu,IN,O
sc,NN,O
0866,NN,O
2009,NN,O
2009,CD,O
7,CD,O
scc,NN,O
559,CD,O
right,CD,B-LEGAL
to,CD,I-LEGAL
reputation,CD,I-LEGAL
was,NN,O
declared,CD,O
to,NN,O
be,TO,O
a,NN,O
facet,VBD,O
of,VBN,O
right,TO,O
to,VB,O
life,DT,O
guaranteed,NN,O
under,IN,O
article,NN,O
21,TO,O
in,NN,O
the,VBN,O
recent,IN,O
constitution,NN,O
bench,CD,O
judgment,IN,O
decision,DT,O
of,JJ,O
this,NN,O
court,NN,O
in,NN,O
subramanian,NN,O
swamy,IN,O
v,DT,O
union,NN,O
of,IN,O
india,JJ,O
wp,NN,O
crl,NNP,O
no,NN,O
184,IN,O
of,JJ,O
2014,NN,O
this,NN,O
court,DT,O
held,CD,O
reputation,IN,O
to,CD,O
be,DT,O
an,NN,O
inherent,VBD,O
and,NN,O
inseparable,TO,O
component,VB,O
of,DT,O
article,JJ,O
21,CC,O
28,JJ,O
given,NN,O
the,IN,O
fact,NN,O
that,CD,O
pronouncements,CD,O
mentioned,VBN,O
above,DT,O
have,NN,O
interpreted,IN,O
and,NNS,O
understood,VBN,O
the,RB,O
word,VBP,O
life,VBN,O
appearing,CC,O
in,VBD,O
article,DT,O
21,NN,O
of,NN,O
the,VBG,O
constitution,IN,O
on,NN,O
a,CD,O
broad,IN,O
spectrum,DT,O
of,NN,O
rights,IN,O
considered,DT,O
incidental,JJ,O
and,NN,O
or,IN,O
integral,NNS,O
to,VBN,O
the,JJ,O
right,CC,O
to,CC,O
life,JJ,O
there,TO,O
is,DT,O
no,NN,O
real,TO,O
reason,NN,O
why,EX,O
access,VBZ,O
to,DT,O
justice,JJ,O
should,NN,O
be,WRB,O
considered,NN,O
to,TO,O
be,NN,O
falling,MD,O
outside,VB,O
the,VBN,O
class,TO,O
and,VB,O
category,VBG,O
of,IN,O
the,DT,O
said,NN,O
rights,CC,O
which,NN,O
already,IN,O
stands,DT,O
recognised,VBD,O
as,NNS,O
being,WDT,O
a,RB,O
part,VBZ,O
and,JJ,O
parcel,IN,O
of,VBG,O
the,DT,O
article,NN,O
21,CC,O
of,NN,O
the,IN,O
constitution,DT,B-LEGAL
of,NN,I-LEGAL
india,CD,I-LEGAL
if,IN,O
life,DT,O
implies,NN,O
not,IN,O
only,NN,O
life,IN,O
in,NN,O
the,NNS,O
physical,RB,O
sense,RB,O
but,NN,O
a,IN,O
bundle,DT,O
of,JJ,O
rights,NN,O
that,CC,O
makes,DT,O
life,NN,O
worth,IN,O
living,NNS,O
there,WDT,O
is,VBZ,O
no,NN,O
juristic,JJ,O
or,NN,O
other,EX,O
basis,VBZ,O
for,DT,O
holding,JJ,O
that,CC,O
denial,JJ,O
of,NN,O
access,IN,O
to,VBG,O
justice,DT,O
will,NN,O
not,IN,O
affect,NN,O
the,TO,O
quality,NN,O
of,MD,O
human,RB,O
life,VB,O
so,DT,O
as,NN,O
to,IN,O
take,JJ,O
access,NN,O
to,RB,O
justice,IN,O
out,TO,O
of,VB,O
the,NN,O
purview,TO,O
of,VB,O
right,IN,O
to,IN,O
life,DT,O
guaranteed,NN,O
under,IN,O
article,NN,O
21,TO,O
we,NN,O
have,VBN,O
therefore,IN,O
no,NN,O
hesitation,CD,O
in,PRP,O
holding,VBP,O
that,RB,O
access,DT,O
to,NN,O
justice,IN,O
is,VBG,O
indeed,DT,O
a,NN,O
facet,TO,O
of,NN,O
right,VBZ,O
to,RB,O
life,DT,O
guaranteed,NN,O
under,IN,O
article,NN,O
21,TO,O
of,NN,O
the,VBN,O
constitution,IN,O
we,NN,O
need,CD,O
only,IN,O
add,DT,O
that,NN,O
access,PRP,O
to,VBP,O
justice,RB,O
may,VB,O
as,DT,O
well,NN,O
be,TO,O
the,NN,O
facet,MD,O
of,RB,O
the,RB,O
right,VB,O
guaranteed,DT,O
under,NN,O
article,IN,O
14,DT,O
of,JJ,O
the,NN,O
constitution,IN,O
which,NN,O
guarantees,CD,O
equality,IN,B-LEGAL
before,DT,I-LEGAL
law,NN,I-LEGAL
and,WDT,O
equal,VBZ,O
protection,NN,O
of,IN,O
laws,NN,O
to,CC,O
not,JJ,O
only,NN,O
citizens,IN,O
but,NNS,O
non,TO,O
citizens,RB,O
also,RB,O
we,NNS,O
say,CC,O
so,JJ,O
because,NNS,O
equality,RB,B-LEGAL
before,PRP,I-LEGAL
law,VBP,I-LEGAL
and,RB,O
equal,IN,O
protection,NN,O
of,IN,O
laws,NN,O
is,CC,O
not,JJ,O
limited,NN,O
in,IN,O
its,NNS,O
application,VBZ,O
to,RB,O
the,VBN,O
realm,IN,O
of,PRP$,O
executive,NN,O
action,TO,O
that,DT,O
enforces,NN,O
the,IN,O
law,JJ,O
it,NN,O
is,WDT,O
as,VBZ,O
much,DT,O
available,NN,O
in,PRP,O
relation,VBZ,O
to,RB,O
proceedings,JJ,O
before,JJ,O
courts,IN,O
and,NN,O
tribunal,TO,O
and,NNS,O
adjudicatory,IN,O
fora,NNS,O
where,CC,O
law,JJ,O
is,CC,O
applied,JJ,O
and,NN,O
justice,WRB,O
administered,NN,O
the,VBZ,O
citizen,VBN,O
s,CC,O
inability,NN,O
to,VBD,O
access,DT,O
courts,NN,O
or,NN,O
any,NN,O
other,TO,O
adjudicatory,NN,O
mechanism,NNS,O
provided,CC,O
for,DT,O
determination,JJ,O
of,NN,O
rights,NN,O
and,VBD,O
obligations,IN,O
is,NN,O
bound,IN,O
to,NNS,O
result,CC,O
in,NNS,O
denial,VBZ,O
of,VBN,O
the,TO,O
guarantee,VB,O
contained,IN,O
in,NN,O
article,IN,O
14,DT,O
both,NN,O
in,VBN,O
relation,IN,O
to,NN,O
equality,CD,B-LEGAL
before,DT,I-LEGAL
law,IN,I-LEGAL
as,NN,O
well,TO,O
as,NN,O
equal,RB,O
protection,NN,O
of,RB,O
laws,RB,O
absence,IN,O
of,JJ,O
any,NN,O
adjudicatory,IN,O
mechanism,NNS,O
or,NN,O
the,IN,O
inadequacy,DT,O
of,JJ,O
such,NN,O
mechanism,CC,O
needless,DT,O
to,NN,O
say,IN,O
is,JJ,O
bound,NN,O
to,NN,O
prevent,TO,O
those,VB,O
looking,VBZ,O
for,VBN,O
enforcement,TO,O
of,VB,O
their,DT,O
right,VBG,O
to,IN,O
equality,NN,O
before,IN,O
laws,PRP$,O
and,NN,O
equal,TO,O
protection,NN,O
of,IN,O
the,NNS,O
laws,CC,O
from,JJ,O
seeking,NN,O
redress,IN,O
and,DT,O
thereby,NNS,O
negate,IN,O
the,VBG,O
guarantee,NN,O
of,CC,O
equality,RB,O
before,VB,O
laws,DT,O
or,NN,O
equal,IN,O
protection,NN,O
of,IN,O
laws,NNS,O
and,CC,O
reduce,JJ,O
it,NN,O
to,IN,O
a,NNS,O
mere,CC,O
teasing,VB,O
illusion,PRP,O
article,TO,O
21,DT,O
of,JJ,O
the,VBG,O
constitution,NN,O
apart,NN,O
access,CD,O
to,IN,O
justice,DT,O
can,NN,O
be,RB,O
said,NN,O
to,TO,O
be,NN,O
part,MD,O
of,VB,O
the,VBD,O
guarantee,TO,O
contained,VB,O
in,NN,O
article,IN,O
14,DT,O
as,NN,O
well,VBN,O
29,IN,O
what,NN,O
then,CD,O
is,IN,O
the,RB,O
sweep,CD,O
and,WP,O
content,RB,O
of,VBZ,O
that,DT,O
right,NN,O
is,CC,O
the,NN,O
next,IN,O
question,DT,O
that,NN,O
must,VBZ,O
be,DT,O
answered,JJ,O
for,NN,O
a,WDT,O
fuller,MD,O
understanding,VB,O
of,VBN,O
the,IN,O
principle,DT,O
and,NN,O
its,NN,O
significance,IN,O
in,DT,O
real,NN,O
life,CC,O
situations,PRP$,O
30,NN,O
four,IN,O
main,JJ,O
facets,NN,O
that,NNS,O
in,CD,O
our,CD,O
opinion,JJ,O
constitute,NNS,O
the,IN,O
essence,IN,O
of,PRP$,O
access,NN,O
to,VB,O
justice,DT,O
are,NN,O
i,IN,O
the,NN,O
state,TO,O
must,NN,O
provide,VBP,O
an,VBN,O
effective,DT,O
adjudicatory,NN,O
mechanism,MD,O
ii,VB,O
the,DT,O
mechanism,JJ,O
so,NN,O
provided,NN,O
must,VBZ,O
be,DT,O
reasonably,NN,O
accessible,RB,O
in,VBD,O
terms,MD,O
of,VB,O
distance,RB,O
iii,JJ,O
the,IN,O
process,NNS,O
of,IN,O
adjudication,NN,O
must,VBP,O
be,DT,O
speedy,NN,O
and,IN,O
iv,NN,O
the,MD,O
litigant,VB,O
s,JJ,O
access,CC,O
to,VB,O
the,DT,O
adjudicatory,JJ,O
process,JJ,O
must,NN,O
be,TO,O
affordable,DT,O
i,JJ,O
the,NN,O
need,MD,O
for,VB,O
adjudicatory,JJ,O
mechanism,IN,O
one,DT,O
of,NN,O
the,IN,O
most,JJ,O
fundamental,NN,O
requirements,CD,O
for,IN,O
providing,DT,O
to,RBS,O
the,JJ,O
citizens,NNS,O
access,IN,O
to,VBG,O
justice,TO,O
is,DT,O
to,NNS,O
set,NN,O
up,TO,O
an,NN,O
adjudicatory,VBZ,O
mechanism,TO,O
whether,VB,O
described,RP,O
as,DT,O
a,NN,O
court,NN,O
tribunal,IN,O
commission,VBN,O
or,IN,O
authority,DT,O
or,NN,O
called,JJ,O
by,NN,O
any,CC,O
other,NN,O
name,CC,O
whatsoever,VBN,O
where,IN,O
a,DT,O
citizen,JJ,O
can,NN,O
agitate,WDT,O
his,WRB,O
grievance,DT,O
and,NN,O
seek,MD,O
adjudication,VB,O
of,PRP$,O
what,NN,O
he,CC,O
may,JJ,O
perceive,NN,O
as,IN,O
a,WP,O
breach,PRP,O
of,MD,O
his,VB,O
right,IN,O
by,DT,O
another,NN,O
citizen,IN,O
or,PRP$,O
by,NN,O
the,IN,O
state,DT,O
or,NN,O
any,CC,O
one,IN,O
of,DT,O
its,NN,O
instrumentalities,CC,O
in,DT,O
order,CD,O
that,IN,O
the,PRP$,O
right,NNS,O
of,IN,O
a,NN,O
citizen,IN,O
to,DT,O
access,NN,O
justice,IN,O
is,DT,O
protected,NN,O
the,TO,O
mechanism,NN,O
so,NN,O
provided,VBZ,O
must,VBN,O
not,DT,O
only,NN,O
be,RB,O
effective,VBD,O
but,MD,O
must,RB,O
also,RB,O
be,VB,O
just,JJ,O
fair,CC,O
and,MD,O
objective,RB,O
in,VB,O
its,RB,O
approach,JJ,O
so,CC,O
also,JJ,O
the,IN,O
procedure,PRP$,O
which,NN,O
the,RB,O
court,RB,O
tribunal,DT,O
or,NN,O
authority,WDT,O
may,DT,O
adopt,NN,O
for,NN,O
adjudication,CC,O
must,NN,O
in,MD,O
itself,VB,O
be,IN,O
just,NN,O
and,MD,O
fair,IN,O
and,PRP,O
in,VB,O
keeping,RB,O
with,CC,O
the,JJ,O
well,CC,O
recognized,IN,O
principles,VBG,O
of,IN,O
natural,DT,B-LEGAL
justice,NN,I-LEGAL
ii,VBN,O
the,NNS,O
mechanism,IN,O
must,JJ,O
be,NN,O
conveniently,VBD,O
accessible,DT,O
in,NN,O
terms,MD,O
of,VB,O
distance,RB,O
the,JJ,O
forum,IN,O
mechanism,NNS,O
so,IN,O
provided,NN,O
must,DT,O
having,NN,O
regard,NN,O
to,RB,O
the,VBD,O
hierarchy,MD,O
of,VBG,O
courts,VB,O
tribunals,TO,O
be,DT,O
reasonably,NN,O
accessible,IN,O
in,NNS,O
terms,NNS,O
of,VB,O
distance,RB,O
for,JJ,O
access,IN,O
to,NNS,O
justice,IN,O
since,NN,O
so,IN,O
much,NN,O
depends,TO,O
upon,NN,O
the,IN,O
ability,RB,O
of,JJ,O
the,VBZ,O
litigant,IN,O
to,DT,O
place,NN,O
his,IN,O
her,DT,O
grievance,NN,O
effectively,TO,O
before,VB,O
the,PRP$,O
court,PRP$,O
tribunal,NN,O
court,RB,O
competent,IN,O
authority,DT,O
to,NN,O
grant,JJ,O
such,NN,O
a,NN,O
relief,NN,O
see,TO,O
dk,VB,O
basu,PDT,O
v,DT,O
state,NN,O
of,NN,O
west,JJ,O
bengal,NN,O
2015,NN,O
8,NN,O
scc,IN,O
774,NN,O
iii,NN,O
the,CD,O
process,CD,O
of,NN,O
adjudication,CD,O
must,NN,O
be,DT,O
speedy,NN,O
access,IN,O
to,NN,O
justice,MD,O
as,VB,O
a,JJ,O
constitutional,NN,O
value,TO,O
will,NN,O
be,IN,O
a,DT,O
mere,JJ,O
illusion,NN,O
if,MD,O
justice,VB,O
is,DT,O
not,JJ,O
speedy,NN,O
justice,IN,O
delayed,NN,O
it,VBZ,O
is,RB,O
famously,JJ,O
said,NN,O
is,VBD,O
justice,PRP,O
denied,VBZ,O
if,RB,O
the,VBD,O
process,VBZ,O
of,NN,O
administration,VBD,O
of,IN,O
justice,DT,O
is,NN,O
so,IN,O
time,NN,O
consuming,IN,O
laborious,NN,O
indolent,VBZ,O
and,RB,O
frustrating,NN,O
for,VBG,O
those,JJ,O
who,NN,O
seek,CC,O
justice,NN,O
that,IN,O
it,DT,O
dissuades,WP,O
or,VBP,O
deters,NN,O
them,IN,O
from,PRP,O
even,VBZ,O
considering,CC,O
resort,NNS,O
to,PRP,O
that,IN,O
process,RB,O
as,VBG,O
an,NN,O
option,TO,O
it,DT,O
would,NN,O
tantamount,IN,O
to,DT,O
denial,NN,O
of,PRP,O
not,MD,O
only,VB,O
access,TO,O
to,VB,O
justice,IN,O
but,RB,O
justice,RB,O
itself,NN,O
in,TO,O
sheela,NN,O
barse,CC,O
s,NN,O
case,PRP,O
supra,IN,O
this,JJ,O
court,NN,O
declared,NN,O
speedy,NN,B-LEGAL
trial,VB,I-LEGAL
as,DT,O
a,NN,O
facet,VBD,O
of,JJ,O
right,NN,O
to,IN,O
life,DT,O
for,NN,O
if,IN,O
the,NN,O
trial,TO,O
of,NN,O
a,IN,O
citizen,IN,O
goes,DT,O
on,NN,O
endlessly,IN,O
his,DT,O
right,NN,O
to,VBZ,O
life,IN,O
itself,RB,O
is,PRP$,O
violated,NN,O
there,TO,O
is,NN,O
jurisprudentially,PRP,O
no,VBZ,O
qualitative,VBN,O
difference,EX,O
between,VBZ,O
denial,RB,O
of,DT,O
speedy,JJ,B-LEGAL
trial,NN,I-LEGAL
in,IN,O
a,NN,O
criminal,IN,O
case,JJ,O
on,NN,O
the,IN,O
one,DT,O
hand,JJ,O
and,NN,O
civil,IN,O
suit,DT,O
appeal,CD,O
or,NN,O
other,CC,O
proceedings,JJ,O
on,NN,O
the,NN,O
other,CC,O
for,JJ,O
ought,NNS,O
we,IN,O
know,DT,O
that,JJ,O
civil,IN,O
disputes,MD,O
can,PRP,O
at,VBP,O
times,IN,O
have,JJ,O
an,NNS,O
equally,MD,O
if,IN,O
not,NNS,O
more,VBP,O
severe,DT,O
impact,RB,O
on,IN,O
a,RB,O
citizen,RBR,O
s,JJ,O
life,NN,O
or,IN,O
the,DT,O
quality,NN,O
of,JJ,O
it,NN,O
access,CC,O
to,DT,O
justice,NN,O
would,IN,O
therefore,PRP,O
be,NN,O
a,TO,O
constitutional,NN,O
value,MD,O
of,RB,O
any,VB,O
significance,DT,O
and,JJ,O
utility,NN,O
only,IN,O
if,DT,O
the,NN,O
delivery,CC,O
of,NN,O
justice,RB,O
to,IN,O
the,DT,O
citizen,NN,O
is,IN,O
speedy,NN,O
for,TO,O
otherwise,DT,O
the,NN,O
right,VBZ,O
to,JJ,O
access,IN,O
to,RB,O
justice,DT,O
is,NN,O
no,TO,O
more,NN,O
than,TO,O
a,NN,O
hollow,VBZ,O
slogan,DT,O
of,JJR,O
no,IN,O
use,DT,O
or,JJ,O
inspiration,NN,O
for,IN,O
the,DT,O
citizen,NN,O
it,CC,O
is,NN,O
heartening,IN,O
to,DT,O
note,NN,O
that,PRP,O
over,VBZ,O
the,VBG,O
past,TO,O
six,VB,O
decades,IN,O
or,IN,O
so,DT,O
the,JJ,O
number,CD,O
of,NNS,O
courts,CC,O
established,RB,O
in,DT,O
the,NN,O
country,IN,O
has,NNS,O
increased,VBN,O
manifold,IN,O
in,DT,O
comparison,NN,O
to,VBZ,O
the,VBN,O
number,VBN,O
that,IN,O
existed,NN,O
on,TO,O
the,DT,O
day,NN,O
the,WDT,O
country,VBD,O
earned,IN,O
its,DT,O
freedom,NN,O
there,DT,O
is,NN,O
today,VBD,O
almost,PRP$,O
invariably,NN,O
a,EX,O
court,VBZ,O
of,NN,O
civil,RB,O
judge,RB,O
junior,DT,O
or,NN,O
senior,IN,O
division,JJ,O
in,NN,O
every,NN,O
taluka,CC,O
and,JJ,O
a,NN,O
district,IN,O
and,DT,O
sessions,NN,O
judge,CC,O
in,DT,O
every,NN,O
district,CC,O
in,NNS,O
terms,NN,O
of,IN,O
accessibility,DT,O
from,NN,O
the,IN,O
point,NNS,O
of,IN,O
view,NN,O
of,IN,O
distance,DT,O
which,NN,O
a,IN,O
citizen,NN,O
ought,IN,O
to,NN,O
travel,WDT,O
we,DT,O
have,NN,O
come,MD,O
a,TO,O
long,VB,O
way,PRP,O
since,VBP,O
the,VBN,O
time,DT,O
the,JJ,O
british,NN,O
left,IN,O
the,DT,O
country,NN,O
however,DT,O
the,JJ,O
increase,VBD,O
in,DT,O
literacy,NN,O
awareness,RB,O
prosperity,DT,O
and,NN,O
proliferation,IN,O
of,NN,O
laws,NN,O
has,NN,O
made,CC,O
the,NN,O
process,IN,O
of,NNS,O
adjudication,VBZ,O
slow,VBN,O
and,DT,O
time,NN,O
consuming,IN,O
primarily,NN,O
on,NN,O
account,CC,O
of,NN,O
the,VBG,O
over,RB,O
worked,IN,O
and,NN,O
under,IN,O
staffed,DT,O
judicial,NN,O
system,VBD,O
which,CC,O
is,IN,O
crying,VBN,O
for,NN,O
creation,NN,O
of,WDT,O
additional,VBZ,O
courts,VBG,O
with,IN,O
requisite,NN,O
human,IN,O
resources,JJ,O
and,NNS,O
infrastructure,IN,O
to,JJ,O
effectively,JJ,O
deal,NNS,O
with,CC,O
an,NN,O
ever,TO,O
increasing,RB,O
number,VB,O
of,IN,O
cases,DT,O
being,RB,O
filed,VBG,O
in,NN,O
the,IN,O
courts,NNS,O
and,VBG,O
mounting,VBN,O
backlog,IN,O
of,DT,O
over,NNS,O
thirty,CC,O
million,VBG,O
cases,NN,O
in,IN,O
the,IN,O
subordinate,JJ,O
courts,CD,O
while,NNS,O
the,IN,O
states,DT,O
have,NN,O
done,NNS,O
their,IN,O
bit,DT,O
in,NNS,O
terms,VBP,O
of,VBN,O
providing,PRP$,O
the,NN,O
basic,IN,O
adjudicatory,NNS,O
mechanisms,IN,O
for,VBG,O
disposal,DT,O
of,JJ,O
resolution,NN,O
of,NNS,O
civil,IN,O
or,NN,O
criminal,IN,O
conflicts,NN,O
access,IN,O
to,JJ,O
justice,CC,O
remains,JJ,O
a,NNS,O
big,NN,O
question,TO,O
mark,NN,O
on,VBZ,O
account,DT,O
of,JJ,O
delays,NN,O
in,NN,O
the,IN,O
completion,NN,O
of,IN,O
the,NNS,O
process,IN,O
of,DT,O
adjudication,NN,O
on,IN,O
account,DT,O
of,NN,O
poor,IN,O
judge,NN,O
population,IN,O
and,NN,O
judge,IN,O
case,JJ,O
ratio,NN,O
in,NN,O
comparison,CC,O
to,NN,O
other,NN,O
countries,NN,O
iv,IN,O
the,NN,O
process,TO,O
of,JJ,O
adjudication,NNS,O
must,VBP,O
be,DT,O
affordable,NN,O
to,IN,O
the,NN,O
disputants,MD,O
access,VB,O
to,JJ,O
justice,TO,O
will,DT,O
again,NNS,O
be,NN,O
no,TO,O
more,NN,O
than,MD,O
an,RB,O
illusion,VB,O
if,RB,O
the,JJR,O
adjudicatory,IN,O
mechanism,DT,O
provided,NN,O
is,IN,O
so,DT,O
expensive,NN,O
as,NN,O
to,VBN,O
deter,VBZ,O
a,RB,O
disputant,JJ,O
from,IN,O
taking,TO,O
resort,VB,O
to,DT,O
the,NN,O
same,IN,O
article,VBG,O
39a,NN,O
of,TO,O
the,DT,O
constitution,JJ,O
promotes,NN,O
a,CD,O
laudable,IN,O
objective,DT,O
of,NN,O
providing,VBZ,O
legal,DT,O
aid,JJ,O
to,NN,O
needy,IN,O
litigants,VBG,O
and,JJ,O
obliges,NN,O
the,TO,O
state,JJ,O
to,NNS,O
make,CC,O
access,VBZ,O
to,DT,O
justice,NN,O
affordable,TO,O
for,VB,O
the,NN,O
less,TO,O
fortunate,NN,O
sections,NN,O
of,IN,O
the,DT,O
society,JJR,O
legal,JJ,O
aid,NNS,O
to,IN,O
the,DT,O
needy,NN,O
has,JJ,O
been,NN,O
recognized,TO,O
as,DT,O
one,NN,O
of,VBZ,O
the,VBN,O
facets,VBN,O
of,IN,O
access,CD,O
to,IN,O
justice,DT,O
in,NNS,O
madhav,IN,O
hayawadanrao,NN,O
hoskot,TO,O
v,NN,O
state,IN,O
of,NN,O
maharashtra,NN,O
manu,NN,O
sc,NN,O
0119,NN,O
1978manu,IN,O
sc,JJ,O
0119,NN,O
1978,NN,O
1978,CD,O
3,CD,O
scc,NN,O
544,CD,O
where,CD,O
this,CD,O
court,CD,O
observed,NN,O
if,CD,O
a,WRB,O
prisoner,DT,O
sentenced,NN,O
to,VBD,O
imprisonment,IN,O
is,DT,O
virtually,NN,O
unable,VBN,O
to,TO,O
exercise,NN,O
his,VBZ,O
constitutional,RB,O
and,JJ,O
statutory,TO,O
right,VB,B-LEGAL
