ak,NN,O
be,NN,O
immediately,IN,O
handed,JJ,O
over,JJ,O
to,NN,O
the,MD,O
magistrate,VB,O
who,RB,O
records,VBN,O
the,RP,O
statement,TO,O
of,DT,O
the,NN,O
victim,WP,O
under,VBZ,O
section,DT,O
164,NN,O
code,IN,O
of,DT,O
criminal,NN,O
procedure,IN,O
11,NN,O
a,CD,O
copy,NN,O
of,IN,O
this,JJ,O
order,NN,O
thus,CD,O
be,DT,O
circulated,NN,O
to,IN,O
all,DT,O
the,NN,O
directors,RB,O
general,VB,O
of,VBN,O
police,TO,O
of,PDT,O
all,DT,O
the,NNS,O
states,JJ,O
commissioners,IN,O
of,NN,O
police,IN,O
in,PDT,O
metropolitan,DT,O
cities,NNS,O
commissioners,NNS,O
of,IN,O
police,NN,O
of,IN,O
union,JJ,O
territories,NNS,O
who,NNS,O
are,IN,O
then,NN,O
directed,IN,O
to,NN,O
send,NNS,O
a,WP,O
copy,VBP,O
of,RB,O
this,VBN,O
order,TO,O
to,VB,O
all,DT,O
the,NN,O
police,IN,O
stations,DT,O
in,NN,O
charge,TO,O
in,PDT,O
their,DT,O
states,NN,O
union,NNS,O
territories,IN,O
for,NN,O
its,IN,O
compliance,PRP$,O
in,NNS,O
cases,NN,O
which,NNS,O
are,IN,O
registered,PRP$,O
on,NN,O
or,IN,O
after,NNS,O
the,WDT,O
receipt,VBP,O
of,VBN,O
a,IN,O
copy,CC,O
of,IN,O
these,DT,O
directions,NN,O
necessary,IN,O
instructions,DT,O
by,NN,O
the,IN,O
dgps,DT,O
commissioners,NNS,O
of,JJ,O
police,NNS,O
be,IN,O
also,DT,O
issued,NN,O
to,NNS,O
all,IN,O
the,NN,O
police,VB,O
stations,RB,O
in,VBN,O
charge,TO,O
by,PDT,O
the,DT,O
dgps,NN,O
commissioners,NNS,O
of,IN,O
police,NN,O
incorporating,IN,O
the,DT,O
directions,NN,O
issued,NNS,O
by,IN,O
us,NN,O
and,VBG,O
recorded,DT,O
hereinbefore,NNS,O
20,VBN,O
in,IN,O
mir,PRP,O
mohd,CC,O
omar,VBD,O
v,RB,O
state,CD,O
of,IN,O
wb,NN,O
manu,NN,O
sc,NN,O
0317,NN,O
1989manu,NN,O
sc,IN,O
0317,NN,O
1989,NN,O
1989,NN,O
4,CD,O
scc,CD,O
436,NN,O
after,CD,O
the,CD,O
statement,CD,O
of,CD,O
the,NN,O
accused,CD,O
under,IN,O
section,DT,O
313,NN,O
was,IN,O
recorded,DT,O
the,VBN,O
public,IN,O
prosecutor,NN,O
filed,CD,O
an,VBD,O
application,VBN,O
for,DT,O
his,JJ,O
re,NN,O
examination,VBD,O
on,DT,O
the,NN,O
ground,IN,O
that,PRP$,O
some,NN,O
more,NN,O
questions,IN,O
are,DT,O
required,NN,O
to,IN,O
be,DT,O
asked,JJR,O
the,NNS,O
application,VBP,O
was,VBN,O
rejected,TO,O
by,VB,O
the,VBN,O
trial,DT,O
court,NN,O
but,VBD,O
allowed,VBN,O
by,IN,O
the,DT,O
high,NN,O
court,NN,O
this,CC,O
court,VBN,O
disapproved,IN,O
the,DT,O
course,JJ,O
adopted,NN,O
and,DT,O
held,NN,O
16,VBD,O
here,DT,O
again,NN,O
it,VBD,O
may,CC,O
be,VBD,O
noted,CD,O
that,RB,O
the,RB,O
prosecution,PRP,O
has,MD,O
closed,VB,O
the,VBN,O
evidence,IN,O
the,DT,O
accused,NN,O
have,VBZ,O
been,VBN,O
examined,DT,O
under,NN,O
section,DT,O
313,VBN,O
of,VBP,O
the,VBN,O
code,VBN,O
the,IN,O
prosecution,NN,O
did,CD,O
not,IN,O
at,DT,O
any,NN,O
stage,DT,O
move,NN,O
the,VBD,O
trial,RB,O
judge,IN,O
for,DT,O
recalling,NN,O
pw,VBD,O
34,DT,O
for,NN,O
further,NN,O
examination,IN,O
in,VBG,O
these,NN,O
circumstances,CD,O
the,IN,O
liberty,JJ,O
reserved,NN,O
to,IN,O
the,DT,O
prosecution,NNS,O
to,DT,O
recall,NN,O
pw,VBD,O
34,TO,O
for,DT,O
re,NN,O
examination,TO,O
is,VB,O
undoubtedly,JJ,O
uncalled,CD,O
for,IN,O
21,NN,O
we,NN,O
may,VBZ,O
also,RB,O
note,JJ,O
that,IN,O
the,CD,O
approach,PRP,O
to,MD,O
deal,RB,O
with,VB,O
a,IN,O
case,DT,O
of,NN,O
this,TO,O
nature,VB,O
has,IN,O
to,DT,O
different,NN,O
from,IN,O
other,DT,O
cases,NN,O
we,VBZ,O
may,TO,O
refer,JJ,O
to,IN,O
the,JJ,O
judgment,NNS,O
of,PRP,O
this,MD,O
court,VB,O
in,TO,O
gurmit,DT,O
singh,NN,O
case,IN,O
wherein,DT,O
it,NN,O
was,IN,O
observed,NN,O
8,NN,O
the,NN,O
courts,VBD,O
must,PRP,O
while,VBD,O
evaluating,VBN,O
evidence,CD,O
remain,DT,O
alive,NNS,O
to,MD,O
the,VB,O
fact,VBG,O
that,NN,O
in,VBP,O
a,JJ,O
case,TO,O
of,DT,O
rape,NN,O
no,IN,O
self,IN,O
respecting,DT,O
woman,NN,O
would,IN,O
come,NN,O
forward,DT,O
in,NN,O
a,VBG,O
court,NN,O
just,MD,O
to,VB,O
make,RB,O
a,IN,O
humiliating,DT,O
statement,NN,O
against,RB,O
her,TO,O
honour,VB,O
such,DT,O
as,NN,O
is,NN,O
involved,IN,O
in,PRP$,O
the,NN,O
commission,JJ,O
of,IN,O
rape,VBZ,O
on,VBN,O
her,IN,O
in,DT,O
cases,NN,O
involving,IN,O
sexual,NN,O
molestation,IN,O
supposed,PRP$,O
considerations,IN,O
which,NNS,O
have,VBG,O
no,JJ,O
material,NN,O
effect,VBD,O
on,NNS,O
the,WDT,O
veracity,VBP,O
of,DT,O
the,JJ,O
prosecution,NN,O
case,IN,O
or,DT,O
even,NN,O
discrepancies,IN,O
in,DT,O
the,NN,O
statement,NN,O
of,CC,O
the,RB,O
prosecutrix,NNS,B-LEGAL
should,IN,O
not,DT,O
unless,NN,O
the,IN,O
discrepancies,DT,O
are,NN,O
such,MD,O
which,RB,O
are,IN,O
of,DT,O
fatal,NNS,O
nature,VBP,O
be,JJ,O
allowed,WDT,O
to,VBP,O
throw,IN,O
out,JJ,O
an,NN,O
otherwise,VB,O
reliable,VBN,O
prosecution,TO,O
case,VB,O
the,RP,O
inherent,DT,O
bashfulness,RB,O
of,JJ,O
the,NN,O
females,NN,O
and,DT,O
the,JJ,O
tendency,NN,O
to,IN,O
conceal,DT,O
outrage,NNS,O
of,CC,O
sexual,DT,O
aggression,NN,O
are,TO,O
factors,VB,O
which,NN,O
the,IN,O
courts,JJ,O
should,NN,O
not,VBP,O
overlook,NNS,O
the,WDT,O
testimony,DT,O
of,NNS,O
the,MD,O
victim,RB,O
in,VB,O
such,DT,O
cases,NN,O
is,IN,O
vital,DT,O
and,NN,O
unless,IN,O
there,JJ,O
are,NNS,O
compelling,VBZ,O
reasons,JJ,O
which,CC,O
necessitate,IN,O
looking,EX,O
for,VBP,O
corroboration,VBG,B-LEGAL
of,NNS,O
her,WDT,O
statement,VBP,O
the,VBG,O
courts,IN,O
should,NN,O
find,IN,O
no,PRP$,O
difficulty,NN,O
to,DT,O
act,NNS,O
on,MD,O
the,VB,O
testimony,DT,O
of,NN,O
a,TO,O
victim,VB,O
of,IN,O
sexual,DT,O
assault,NN,B-LEGAL
alone,IN,O
to,DT,O
convict,NN,O
an,IN,O
accused,JJ,O
where,NN,O
her,RB,O
testimony,TO,O
inspires,VB,O
confidence,DT,O
and,JJ,O
is,WRB,O
found,PRP$,O
to,NN,O
be,NNS,O
reliable,NN,O
xxx,CC,O
21,VBZ,O
of,VBN,O
late,TO,O
crime,VB,O
against,JJ,O
women,JJ,O
in,CD,O
general,IN,O
and,JJ,O
rape,NN,O
in,IN,O
particular,NNS,O
is,IN,O
on,JJ,O
the,CC,O
increase,NN,O
it,IN,O
is,JJ,O
an,VBZ,O
irony,IN,O
that,DT,O
while,NN,O
we,PRP,O
are,VBZ,O
celebrating,DT,O
woman,NN,O
s,WDT,O
rights,IN,O
in,PRP,O
all,VBP,O
spheres,VBG,O
we,NN,O
show,NN,O
little,NNS,O
or,IN,O
no,DT,O
concern,NNS,O
for,PRP,O
her,VBP,O
honour,JJ,O
it,CC,O
is,DT,O
a,NN,O
sad,IN,O
refection,PRP$,O
on,NN,O
the,PRP,O
attitude,VBZ,O
of,DT,O
indifference,JJ,O
of,NN,O
the,IN,O
society,DT,O
towards,NN,O
the,IN,O
violation,NN,O
of,IN,O
human,DT,O
dignity,NN,O
of,IN,O
the,DT,O
victims,NN,O
of,IN,O
sex,JJ,O
crimes,NN,O
we,IN,O
must,DT,O
remember,NNS,O
that,IN,O
a,NN,O
rapist,NNS,O
not,PRP,O
only,MD,O
violates,VB,O
the,IN,O
victim,DT,O
s,NN,O
privacy,RB,O
and,RB,O
personal,VBZ,O
integrity,DT,O
but,NN,O
inevitably,NN,O
causes,NN,O
serious,CC,O
psychological,JJ,O
as,NN,O
well,CC,O
as,RB,O
physical,VBZ,O
harm,JJ,O
in,JJ,O
the,RB,O
process,RB,O
rape,IN,O
is,JJ,O
not,NN,O
merely,IN,O
a,DT,O
physical,NN,O
assault,NN,B-LEGAL
it,VBZ,O
is,RB,O
often,RB,O
destructive,DT,O
of,JJ,O
the,NN,O
whole,PRP,O
personality,VBZ,O
of,RB,O
the,JJ,O
victim,IN,O
a,DT,O
murderer,JJ,O
destroys,NN,O
the,IN,O
physical,DT,O
body,NN,O
of,DT,O
his,NN,O
victim,VBZ,O
a,DT,O
rapist,JJ,O
degrades,NN,O
the,IN,O
very,PRP$,O
soul,NN,O
of,DT,O
the,NN,O
helpless,VBZ,O
female,DT,O
the,RB,O
courts,NN,O
therefore,IN,O
shoulder,DT,O
a,JJ,O
great,NN,O
responsibility,DT,O
while,NNS,O
trying,RB,O
an,VBP,O
accused,DT,O
on,JJ,O
charges,NN,O
of,IN,O
rape,VBG,O
they,DT,O
must,VBN,O
deal,IN,O
with,NNS,O
such,IN,O
cases,NN,O
with,PRP,O
utmost,MD,O
sensitivity,VB,O
22,IN,O
we,JJ,O
may,NNS,O
now,IN,O
refer,JJ,O
to,NN,O
the,CD,O
orders,PRP,O
passed,MD,O
by,RB,O
the,VB,O
trial,TO,O
court,DT,O
dated,NNS,O
18th,VBN,O
february,IN,O
2015,DT,O
and,NN,O
the,NN,O
high,VBD,O
court,CD,O
dated,JJ,O
4th,CD,O
march,CC,O
2015,DT,O
referring,JJ,O
to,NN,O
the,VBD,O
ground,CD,O
of,NN,O
the,CD,O
earlier,VBG,O
counsel,TO,O
not,DT,O
being,NN,O
competent,IN,O
the,DT,O
trial,JJR,O
court,NN,O
observed,RB,O
that,VBG,O
the,VB,O
counsel,DT,O
was,NN,O
of,NN,O
the,VBD,O
choice,IN,O
of,DT,O
the,NN,O
accused,VBD,O
the,IN,O
accused,DT,O
was,NN,O
not,IN,O
facing,DT,O
a,VBN,O
criminal,DT,O
trial,VBN,O
for,VBD,O
the,RB,O
first,VBG,O
time,DT,O
the,JJ,O
cross,NN,O
examination,IN,O
of,DT,O
witnesses,JJ,O
was,NN,O
deferred,DT,O
time,NN,O
and,NN,O
again,IN,O
to,NNS,O
enable,VBD,O
the,JJ,O
counsel,NN,O
to,CC,O
seek,RB,O
instructions,TO,O
from,VB,O
the,DT,O
accused,NN,O
the,TO,O
cross,VB,O
examination,NNS,O
of,IN,O
the,DT,O
prosecutrix,VBN,B-LEGAL
was,DT,O
deferred,NN,O
on,NN,O
15th,IN,O
january,DT,O
2015,NN,O
to,VBD,O
enable,VBN,O
the,IN,O
counsel,CD,O
to,JJ,O
have,CD,O
legal,TO,O
interview,VB,O
with,DT,O
the,NN,O
accused,TO,O
after,VB,O
part,JJ,O
of,NN,O
cross,IN,O
examination,DT,O
on,VBN,O
16th,IN,O
january,NN,O
2015,IN,O
further,NN,O
cross,NN,O
examination,IN,O
was,CD,O
concluded,JJ,O
on,CD,O
17th,JJ,O
january,NN,O
2015,NN,O
cross,VBD,O
examination,VBN,O
of,IN,O
pw,CD,O
13,JJ,O
was,CD,O
deferred,NN,O
on,NN,O
the,IN,O
request,NN,O
of,CD,O
the,VBD,O
accused,VBN,O
similarly,IN,O
cross,DT,O
examination,NN,O
of,IN,O
pws,DT,O
22,VBN,O
26,RB,O
and,JJ,O
27,NN,O
was,IN,O
deferred,NN,O
on,CD,O
the,CD,O
request,CC,O
of,CD,O
the,VBD,O
defence,VBN,O
counsel,IN,O
after,DT,O
referring,NN,O
to,IN,O
the,DT,O
record,NN,O
the,NN,O
trial,IN,O
court,VBG,O
observed,TO,O
as,DT,O
under,NN,O
22,DT,O
the,NN,O
aforesaid,NN,O
proceedings,VBD,O
clearly,IN,O
bely,IN,O
the,CD,O
claim,DT,O
of,NN,O
the,VBZ,O
accused,RB,O
applicant,RB,O
that,DT,O
the,NN,O
case,IN,O
has,DT,O
been,VBN,O
proceeding,NN,O
at,IN,O
a,DT,O
hurried,NN,O
pace,VBZ,O
or,VBN,O
that,VBG,O
he,IN,O
was,DT,O
not,JJ,O
duly,NN,O
represented,CC,O
by,IN,O
a,PRP,O
defence,VBD,O
counsel,RB,O
of,RB,O
his,VBN,O
choice,IN,O
the,DT,O
claim,NN,O
of,NN,O
the,IN,O
applicant,PRP$,O
that,NN,O
he,DT,O
was,NN,O
unwilling,IN,O
to,DT,O
continue,NN,O
with,IN,O
his,PRP,O
earlier,VBD,O
counsel,VBG,O
is,TO,O
also,VB,O
nothing,IN,O
but,PRP$,O
a,JJR,O
bundle,NN,O
of,VBZ,O
lie,RB,O
in,NN,O
as,CC,O
much,DT,O
as,NN,O
the,IN,O
accused,NN,O
never,IN,O
submitted,RB,O
before,JJ,O
the,IN,O
court,DT,O
that,VBN,O
he,RB,O
wants,VBN,O
to,IN,O
change,DT,O
his,NN,O
counsel,IN,O
rather,PRP,O
it,VBZ,O
is,TO,O
revealed,VB,O
from,PRP$,O
the,NN,O
record,RB,O
that,PRP,O
the,VBZ,O
earlier,VBN,O
counsel,IN,O
sh,DT,O
alok,NN,O
kumar,IN,O
was,DT,O
acting,JJR,O
as,NN,O
per,NN,O
his,NN,O
instructions,NN,O
and,VBD,O
having,VBG,O
legal,IN,O
interview,IN,O
with,PRP$,O
him,NNS,O
the,CC,O
accused,VBG,O
cannot,JJ,O
be,NN,O
permitted,IN,O
to,PRP,O
take,DT,O
advantage,VBN,O
of,MD,O
his,RB,O
submissions,VB,O
made,VBN,O
on,TO,O
the,VB,O
first,NN,O
date,IN,O
ie,PRP$,O
13,NNS,O
01,VBN,O
2015,IN,O
that,DT,O
he,JJ,O
wants,NN,O
to,NN,O
engage,CD,O
a,CD,O
new,CD,O
counsel,IN,O
as,PRP,O
his,VBZ,O
subsequent,TO,O
conduct,VB,O
does,DT,O
not,JJ,O
support,NN,O
this,IN,O
submission,PRP$,O
i,JJ,O
may,NN,O
also,VBZ,O
add,RB,O
that,VB,O
before,DT,O
proceeding,NN,O
with,NN,O
the,MD,O
case,RB,O
further,VB,O
i,IN,O
had,IN,O
personally,VBG,O
asked,IN,O
the,DT,O
accused,NN,O
in,RBR,O
the,NN,O
open,VBD,O
court,RB,O
whether,VBN,O
he,DT,O
wants,VBN,O
to,IN,O
continue,DT,O
with,JJ,O
his,NN,O
counsels,IN,O
and,PRP,O
only,VBZ,O
on,TO,O
getting,VB,O
a,IN,O
reply,PRP$,O
in,NNS,O
the,CC,O
affirmative,RB,O
were,IN,O
the,VBG,O
proceedings,DT,O
continued,NN,O
further,IN,O
it,DT,O
thus,JJ,O
appears,VBD,O
that,DT,O
the,NNS,O
endeavor,VBD,O
of,RBR,O
the,PRP,O
accused,RB,O
by,VBZ,O
fling,IN,O
this,DT,O
application,NN,O
is,IN,O
only,DT,O
to,VBN,O
delay,IN,O
the,VBG,O
proceedings,DT,O
despite,NN,O
the,VBZ,O
fact,RB,O
that,TO,O
all,VB,O
along,DT,O
the,NNS,O
trial,IN,O
his,DT,O
request,NN,O
for,IN,O
adjournment,DT,O
have,IN,O
been,DT,O
duly,NN,O
considered,PRP$,O
and,NN,O
allowed,IN,O
and,NN,O
he,VBP,O
has,VBN,O
been,RB,O
duly,VBN,O
represented,CC,O
by,VBN,O
a,CC,O
private,PRP,O
counsel,VBZ,O
of,VBN,O
his,RB,O
choice,VBN,O
23,IN,O
i,DT,O
am,JJ,O
also,NN,O
unable,IN,O
to,PRP$,O
accept,NN,O
the,CD,O
plea,NN,O
of,VBP,O
the,RB,O
accused,JJ,O
that,TO,O
the,VB,O
counsel,DT,O
representing,NN,O
him,IN,O
earlier,DT,O
was,VBN,O
incompetent,IN,O
being,DT,O
a,NN,O
novice,VBG,O
and,PRP,O
that,JJR,O
he,VBD,O
is,JJ,O
entitled,VBG,O
to,DT,O
recall,NN,O
all,CC,O
the,IN,O
prosecution,PRP,O
witnesses,VBZ,O
now,VBN,O
that,TO,O
he,VB,O
has,PDT,O
engaged,DT,O
a,NN,O
new,NNS,O
counsel,RB,O
although,IN,O
sh,PRP,O
alok,VBZ,O
kumr,VBN,O
dubey,DT,O
and,JJ,O
sh,NN,O
ankit,IN,O
bhatia,JJ,O
both,JJ,O
have,NN,O
enrolment,NN,O
number,CC,O
of,JJ,O
2014,NN,O
as,NN,O
per,DT,O
the,VBP,O
power,JJ,O
of,NN,O
attorney,IN,O
executed,CD,O
by,IN,O
the,IN,O
accused,DT,O
in,NN,O
their,IN,O
favour,NN,O
however,VBN,O
to,IN,O
my,DT,O
mind,VBN,O
the,IN,O
competence,PRP$,O
of,NN,O
a,RB,O
lawyer,TO,O
is,PRP$,O
subjective,NN,O
and,DT,O
the,NN,O
date,IN,O
of,DT,O
his,NN,O
enrolment,VBZ,O
with,JJ,O
the,CC,O
bar,DT,O
council,NN,O
can,IN,O
certainly,PRP$,O
not,NN,O
be,IN,O
said,DT,O
to,NN,O
be,NN,O
a,MD,O
yardstick,RB,O
to,RB,O
measure,VB,O
his,VBD,O
competence,TO,O
24,VB,O
moreover,DT,O
the,NN,O
competence,TO,O
of,VB,O
the,PRP$,O
new,NN,O
counsel,CD,O
may,IN,O
again,DT,O
be,NN,O
questioned,IN,O
by,DT,O
another,JJ,O
counsel,NN,O
who,MD,O
the,RB,O
accused,VB,O
may,VBN,O
choose,IN,O
to,DT,O
engage,NN,O
in,WP,O
future,DT,O
this,VBN,O
fact,MD,O
was,VB,O
also,TO,O
admitted,VB,O
by,IN,O
sh,JJ,O
dk,DT,O
mishra,NN,O
during,VBD,O
the,RB,O
course,VBN,O
of,IN,O
arguments,JJ,O
on,NN,O
the,NN,O
application,IN,O
under,DT,O
consideration,NN,O
xxx,IN,O
27,NNS,O
at,IN,O
this,DT,O
stage,NN,O
to,IN,O
judge,NN,O
as,FW,O
to,CD,O
whether,IN,O
certain,DT,O
questions,NN,O
should,TO,O
have,VB,O
been,IN,O
put,TO,O
to,IN,O
the,JJ,O
witnesses,NNS,O
in,MD,O
cross,VB,O
examination,VBN,O
or,VBN,O
should,TO,O
not,DT,O
have,NNS,O
been,IN,O
put,NN,O
to,NN,O
them,CC,O
would,MD,O
in,RB,O
my,VB,O
view,VBN,O
result,VBN,O
in,TO,O
pre,PRP,O
judging,MD,O
as,IN,O
to,PRP$,O
what,NN,O
are,NN,O
the,IN,O
material,NN,O
portions,NN,O
of,IN,O
the,TO,O
evidence,WP,O
and,VBP,O
would,DT,O
also,JJ,O
amount,NNS,O
to,IN,O
re,DT,O
appraising,NN,O
the,CC,O
entire,MD,O
cross,RB,O
examination,VB,O
conducted,TO,O
by,VB,O
the,VBG,O
earlier,DT,O
counsel,JJ,O
to,NN,O
conclude,NN,O
whether,VBN,O
he,IN,O
had,DT,O
done,JJR,O
a,NN,O
competent,TO,O
job,VB,O
or,IN,O
not,PRP,O
this,VBD,O
certainly,VBN,O
is,DT,O
not,JJ,O
within,NN,O
the,CC,O
scope,RB,O
and,DT,O
power,RB,O
of,VBZ,O
the,RB,O
court,IN,O
under,DT,O
section,NN,O
311,CC,O
code,NN,O
of,IN,O
criminal,DT,O
procedure,NN,O
i,IN,O
am,NN,O
supported,CD,O
in,NN,O
my,IN,O
view,JJ,O
by,NN,O
the,NN,O
observations,VBP,O
of,VBN,O
hon,IN,O
ble,PRP$,O
delhi,NN,O
high,IN,O
court,DT,O
in,NNS,O
its,IN,O
order,NN,O
dated,JJ,O
20,JJ,O
02,JJ,O
2008,NN,O
in,IN,O
case,PRP$,O
titled,NN,O
as,VBD,O
raminder,CD,O
singh,CD,O
v,CD,O
state,IN,O
criminal,NN,O
mc,VBN,O
8479,IN,O
2006,NN,O
where,NN,O
it,NN,O
has,NN,O
been,JJ,O
held,NN,O
as,CD,O
under,CD,O
in,WRB,O
the,PRP,O
first,VBZ,O
place,VBN,O
it,VBN,O
requires,IN,O
to,IN,O
be,IN,O
noticed,DT,O
that,JJ,O
scope,NN,O
of,PRP,O
section,VBZ,O
311,TO,O
code,VB,O
of,VBN,O
criminal,IN,O
procedure,NN,O
does,IN,O
not,NN,O
permit,CD,O
a,NN,O
court,IN,O
to,JJ,O
go,NN,O
into,VBZ,O
the,RB,O
aspect,VB,O
whether,DT,O
material,NN,O
portions,TO,O
of,VB,O
the,IN,O
evidence,DT,O
on,JJ,O
record,IN,O
should,JJ,O
have,NNS,O
been,IN,O
put,DT,O
to,NN,O
the,IN,O
witness,NN,O
in,MD,O
cross,VB,O
examination,VBN,O
to,VBN,O
elicit,TO,O
their,DT,O
contradictions,NN,O
if,IN,O
the,NN,O
court,NN,O
is,TO,O
required,VB,O
to,PRP$,O
perform,NNS,O
such,IN,O
an,DT,O
exercise,NN,O
every,VBZ,O
time,VBN,O
an,TO,O
application,VB,O
is,JJ,O
filed,DT,O
under,NN,O
section,DT,O
311,NN,O
then,DT,O
not,NN,O
only,VBZ,O
would,VBN,O
it,IN,O
be,NN,O
pre,CD,O
judging,RB,O
what,RB,O
according,RB,O
to,MD,O
it,PRP,O
are,VB,O
material,JJ,O
portions,VBG,O
of,WP,O
the,VBG,O
evidence,TO,O
but,PRP,O
it,VBP,O
would,JJ,O
end,NNS,O
up,IN,O
reappraising,DT,O
the,NN,O
entire,CC,O
cross,PRP,O
examination,MD,O
conducted,VB,O
by,RP,O
a,VBG,O
counsel,DT,O
to,JJ,O
find,NN,O
out,NN,O
if,VBN,O
the,IN,O
counsel,DT,O
had,NN,O
done,TO,O
a,VB,O
competent,RP,O
job,IN,O
or,DT,O
not,NN,O
this,VBD,O
certainly,VBN,O
is,DT,O
not,JJ,O
within,NN,O
the,CC,O
scope,RB,O
of,DT,O
the,RB,O
power,VBZ,O
of,RB,O
the,IN,O
trial,DT,O
court,NN,O
under,IN,O
section,DT,O
311,NN,O
code,IN,O
of,DT,O
criminal,NN,O
procedure,NN,O
no,IN,O
judgment,NN,O
has,CD,O
been,NN,O
pointed,IN,O
out,JJ,O
by,NN,O
the,DT,O
learned,NN,O
counsel,VBZ,O
for,VBN,O
the,VBN,O
petitioner,RP,O
in,IN,O
support,DT,O
of,JJ,O
such,NN,O
a,IN,O
contention,DT,O
even,NN,O
on,IN,O
a,NN,O
practical,IN,O
level,JJ,O
it,DT,O
would,NN,O
well,RB,O
nigh,IN,O
be,DT,O
impossible,JJ,O
to,NN,O
ensure,PRP,O
expeditious,MD,O
completion,RB,O
of,RB,O
trials,VB,O
if,JJ,O
trial,TO,O
courts,VB,O
were,JJ,O
expected,NN,O
to,IN,O
perform,NNS,O
such,IN,O
an,NN,O
exercise,NNS,O
at,VBD,O
the,VBN,O
conclusion,TO,O
of,VB,O
the,JJ,O
examination,DT,O
of,NN,O
prosecution,IN,O
witnesses,DT,O
every,NN,O
time,IN,O
28,DT,O
it,NN,O
may,IN,O
also,NN,O
be,NNS,O
relevant,DT,O
to,NN,O
mention,CD,O
that,PRP,O
article,MD,O
221,RB,O
of,VB,O
the,JJ,O
constitution,TO,B-LEGAL
of,VB,I-LEGAL
india,IN,I-LEGAL
confers,NN,O
a,CD,O
fundamental,IN,B-LEGAL
right,DT,I-LEGAL
upon,NN,O
an,IN,O
accused,JJ,O
who,NNS,O
has,DT,O
been,JJ,O
arrested,NN,O
by,IN,O
the,DT,O
police,VBN,O
to,WP,O
be,VBZ,O
defended,VBN,O
by,VBN,O
a,IN,O
legal,DT,O
practitioner,NN,O
of,TO,O
his,VB,O
choice,VBN,O
this,IN,O
fundamental,DT,B-LEGAL
right,JJ,I-LEGAL
has,NN,O
been,IN,O
duly,PRP$,O
acknowledged,NN,O
by,DT,O
the,JJ,O
hon,NN,O
ble,VBZ,O
superior,VBN,O
courts,RB,O
in,VBN,O
numerous,IN,O
pronouncements,DT,O
including,NN,O
the,JJ,O
case,JJ,O
of,NNS,O
state,IN,O
of,JJ,O
madhya,NNS,O
pradesh,VBG,O
v,DT,O
shobha,NN,O
ram,IN,O
and,NN,O
ors,IN,O
manu,NN,O
sc,JJ,O
0271,NN,O
1966manu,NN,O
sc,NN,O
0271,CC,O
1966,NNS,O
air,VBP,O
1966,JJ,O
sc,CD,O
1910,CD,O
wherein,NN,O
it,CD,O
has,CD,O
been,NN,O
observed,CD,O
as,NN,O
under,CD,O
under,NN,O
article,PRP,O
22,VBZ,O
a,VBN,O
person,VBN,O
who,IN,O
is,IN,O
arrested,IN,O
for,NN,O
whatever,CD,O
reason,DT,O
gets,NN,O
three,WP,O
independent,VBZ,O
rights,VBN,O
the,IN,O
first,WDT,O
is,NN,O
the,VBZ,O
right,CD,O
to,JJ,O
be,NNS,O
told,DT,O
the,JJ,O
reasons,VBZ,O
for,DT,O
the,NN,O
arrest,TO,O
as,VB,O
soon,VBN,O
as,DT,O
an,NNS,O
arrest,IN,O
s,DT,O
made,NN,O
the,RB,O
second,RB,O
is,IN,O
the,DT,O
right,NN,O
to,NN,O
be,VBD,O
produced,DT,O
before,JJ,O
a,VBZ,O
magistrate,DT,O
within,NN,O
24,TO,O
hours,VB,O
and,VBN,O
the,IN,O
third,DT,O
is,NN,O
right,IN,O
to,CD,O
be,NNS,O
defended,CC,O
by,DT,O
advocate,JJ,O
of,VBZ,O
his,JJ,O
choice,TO,O
when,VB,O
the,VBN,O
constitution,IN,O
lays,NN,O
down,IN,O
in,PRP$,O
absolute,NN,O
terms,WRB,O
a,DT,O
right,NN,O
to,VBZ,O
be,RB,O
defended,IN,O
by,JJ,O
one,NNS,O
own,DT,O
counsel,NN,O
it,TO,O
cannot,VB,O
be,VBN,O
taken,IN,O
away,CD,O
by,JJ,O
ordinary,NN,O
law,PRP,O
and,MD,O
it,RB,O
is,VB,O
not,VBN,O
sufficient,RP,O
to,IN,O
say,JJ,O
that,NN,O
the,CC,O
accused,PRP,O
was,VBZ,O
so,RB,O
deprived,JJ,O
of,TO,O
the,VB,O
right,IN,O
did,DT,O
not,VBN,O
stand,VBD,O
in,RB,O
danger,VBN,O
of,IN,O
losing,DT,O
his,NN,O
personal,VBD,B-LEGAL
liberty,RB,I-LEGAL
29,VB,O
in,IN,O
the,NN,O
case,IN,O
of,VBG,O
state,PRP$,O
v,JJ,O
mohd,NN,O
afzal,CD,O
and,IN,O
ors,DT,O
manu,NN,O
de,IN,O
1026,NN,O
2003manu,NN,O
de,NN,O
1026,NN,O
2003,CC,O
2003,NNS,O
iv,FW,O
ad,IN,O
cr,CD,O
205,CD,O
the,IN,O
hon,CD,O
ble,CD,O
delhi,CD,O
high,NN,O
court,NN,O
addressed,NN,O
the,CD,O
issue,DT,O
of,NN,O
fundamental,JJ,B-LEGAL
right,JJ,I-LEGAL
of,JJ,O
the,NN,O
accused,VBD,O
to,DT,O
be,NN,O
represented,IN,O
by,JJ,O
a,NN,O
counsel,IN,O
from,DT,O
the,VBN,O
point,TO,O
of,VB,O
his,VBN,O
