jasti,NN,O
account,IN,O
periods,NN,O
of,NNS,O
time,IN,O
other,NN,O
than,JJ,O
what,IN,O
is,WP,O
mentioned,VBZ,O
above,VBN,O
that,IN,O
apart,DT,O
if,RB,O
the,IN,O
government,DT,O
of,NN,O
india,IN,O
was,NN,O
of,VBD,O
the,IN,O
view,DT,O
that,NN,O
clause,IN,O
vii,NN,O
had,NN,O
to,VBD,O
be,TO,O
understood,VB,O
with,JJ,O
reference,IN,O
to,NN,O
a,TO,O
period,DT,O
of,NN,O
three,IN,O
years,CD,O
really,NNS,O
this,RB,O
court,DT,O
ought,NN,O
to,MD,O
have,TO,O
been,VB,O
approached,VBN,O
for,VBN,O
an,IN,O
appropriate,DT,O
clarification,JJ,O
52,NN,O
the,CD,O
lists,DT,O
of,NNS,O
the,IN,O
ptos,DT,O
under,NN,O
category,IN,O
i,NN,O
ii,NN,O
who,VBP,O
were,WP,O
qualified,VBD,O
for,VBN,O
haj,IN,O
2015,NN,O
may,CD,O
be,MD,O
seen,VB,O
at,VBN,O
annexure,IN,O
i,NN,O
ii,NN,O
iii,VBP,O
of,NN,O
the,IN,O
press,DT,O
releases,NN,O
of,NNS,O
3172015,IN,O
and,CD,O
782015,CC,O
available,CD,O
at,JJ,O
the,IN,O
ministry,DT,O
s,NN,O
website,VBZ,O
wwwmeagovin,JJ,O
link,NN,O
haj,NN,O
2015,NN,O
i,CD,O
press,NN,O
release,NN,O
for,NN,O
ptos,IN,O
for,NN,O
haj,IN,O
2015,NN,O
dated,CD,O
3172015,VBD,O
ii,CD,O
list,JJ,O
of,NN,O
ptos,IN,O
qualified,NNS,O
for,VBN,O
allocation,IN,O
of,NN,O
quota,IN,O
for,NN,O
haj,IN,O
2015,NN,O
dated,CD,O
3172015,VBD,O
and,CD,O
iii,CC,O
list,JJ,O
of,NN,O
qualified,IN,O
ptos,JJ,O
who,NNS,O
did,WP,O
not,VBD,O
get,RB,O
quota,VB,O
for,NN,O
haj,IN,O
2015,NN,O
due,CD,O
to,JJ,O
draw,TO,O
of,VB,O
lots,IN,O
dated,NNS,O
782015,VBD,O
the,CD,O
ptos,DT,O
who,NN,O
still,WP,O
remain,RB,O
eligible,VBP,O
as,JJ,O
per,IN,O
this,IN,O
list,DT,O
may,NN,O
apply,MD,O
for,VB,O
registration,IN,O
for,NN,O
haj,IN,O
2016,NN,O
as,CD,O
per,IN,O
the,IN,O
laid,DT,O
down,NN,O
guidelines,RP,O
further,NNS,O
in,RBR,O
compliance,IN,O
of,NN,O
hon,IN,O
ble,NN,O
supreme,JJ,O
court,JJ,O
order,NN,O
on,NN,O
the,IN,O
writ,DT,O
petition,NN,O
no,NN,O
344,DT,O
2015,CD,O
dated,CD,O
2372015,VBD,O
19,CD,O
ptos,CD,O
as,NN,O
per,IN,O
enclosed,IN,O
list,JJ,O
at,NN,O
annexure,IN,O
x,JJ,O
may,NN,O
also,MD,O
apply,RB,O
for,VB,O
registration,IN,O
following,NN,O
the,VBG,O
laid,DT,O
down,VBN,O
guidelines,RP,O
these,NNS,O
lists,DT,O
are,NNS,O
subject,VBP,O
to,JJ,O
any,TO,O
further,DT,O
order,JJ,O
directions,NN,O
of,NNS,O
hon,IN,O
ble,NN,O
supreme,JJ,O
court,JJ,O
3,NN,O
all,CD,O
the,PDT,O
terms,DT,O
and,NNS,O
conditions,CC,O
laid,NNS,O
down,VBP,O
in,RP,O
annexure,IN,O
a,NN,O
b,DT,O
will,NN,O
also,MD,O
apply,RB,O
on,VB,O
ptos,IN,O
that,NNS,O
qualify,IN,O
under,NN,O
category,IN,O
ii,NN,O
by,NN,O
virtue,IN,O
of,NN,O
facilitating,IN,O
a,VBG,O
minimum,DT,O
of,NN,O
50,IN,O
umrah,CD,O
pilgrims,JJ,O
in,NNS,O
a,IN,O
year,DT,O
for,NN,O
any,IN,O
5,DT,O
years,CD,O
but,NNS,O
with,CC,O
the,IN,O
exception,DT,O
of,NN,O
the,IN,O
terms,DT,O
and,NNS,O
conditions,CC,O
contained,NNS,O
under,VBN,O
clause,IN,O
vii,NN,O
x,NN,O
xi,NNP,O
and,NNP,O
xii,CC,O
of,NNP,O
annexure,IN,O
a,NN,O
in,DT,O
addition,IN,O
these,NN,O
ptos,DT,O
are,NNS,O
also,VBP,O
required,RB,O
to,VBN,O
submit,TO,O
the,VB,O
proof,DT,O
of,NN,O
payment,IN,O
made,NN,O
through,VBN,O
banking,IN,O
or,NN,O
any,CC,O
other,DT,O
authorised,JJ,O
channels,JJ,O
towards,NNS,O
purchase,IN,O
of,NN,O
tickets,IN,O
and,NNS,O
hiring,CC,O
of,NN,O
accommodation,IN,O
in,NN,O
makkah,IN,O
and,NN,O
madinah,CC,O
in,NN,O
respect,IN,O
of,NN,O
umrah,IN,O
pilgrims,JJ,O
facilitated,NNS,O
by,VBN,O
them,IN,O
in,PRP,O
support,IN,O
of,NN,O
their,IN,O
claim,PRP$,O
6para,NN,O
2,CD,O
the,CD,O
ptos,DT,O
who,NN,O
have,WP,O
been,VBP,O
qualified,VBN,O
for,VBN,O
registration,IN,O
for,NN,O
haj,IN,O
2015,NN,O
is,CD,O
enclosed,VBZ,O
at,VBN,O
annex,IN,O
a,NN,O
para,DT,O
3,NN,O
in,CD,O
addition,IN,O
the,NN,O
hon,DT,O
ble,NN,O
supreme,JJ,O
court,JJ,O
vide,NN,O
its,IN,O
judgment,PRP$,O
dated,NN,O
7th,VBD,O
august,CD,O
2014,JJ,O
in,CD,O
the,IN,O
writ,DT,O
petitions,NN,O
filed,NNS,O
by,VBN,O
22,IN,O
ptos,CD,O
has,NN,O
directed,VBZ,O
the,VBN,O
ministry,DT,O
that,NN,O
clause,WDT,O
vii,VBP,O
of,NN,O
annexure,IN,O
a,NN,O
of,DT,O
the,IN,O
ptos,DT,O
policy,NN,O
should,NN,O
be,MD,O
read,VB,O
with,VBN,O
clause,IN,O
iv,NN,O
the,VBP,O
hon,DT,O
ble,NN,O
court,JJ,O
directed,NN,O
the,VBD,O
ministry,DT,O
to,NN,O
do,TO,O
self,VB,O
correction,PRP,O
in,NN,O
this,IN,O
regard,DT,O
therefore,NN,O
the,IN,O
documents,DT,O
of,NNS,O
the,IN,O
non,DT,O
qualified,NN,O
ptos,VBD,O
for,NN,O
minimum,IN,O
annual,JJ,O
turnover,JJ,O
of,NN,O
rs,IN,O
1,JJ,O
crore,CD,O
or,NN,O
above,CC,O
and,NN,O
purchase,CC,O
of,NN,O
air,IN,O
tickets,NN,O
and,NNS,O
hiring,CC,O
of,NN,O
accommodation,IN,O
for,NN,O
haj,IN,O
pilgrims,NN,O
through,NNS,O
banking,IN,O
or,NN,O
other,CC,O
authorised,JJ,O
channels,JJ,O
for,NNS,O
the,IN,O
year,DT,O
2010,NN,O
11,CD,O
haj,CD,O
2010,NN,O
or,CD,O
2011,CC,O
12,CD,O
haj,CD,O
2011,NN,O
needed,CD,O
to,VBD,O
be,TO,O
re,VB,O
verified,JJ,O
in,VBN,O
addition,IN,O
to,NN,O
other,TO,O
documents,JJ,O
as,NNS,O
indicated,IN,O
in,VBN,O
annexure,IN,O
a,NN,O
and,DT,O
b,CC,O
of,NN,O
the,IN,O
ptos,DT,O
policy,NN,O
para,NN,O
4,NN,O
in,CD,O
order,IN,O
to,NN,O
comply,TO,O
the,VB,O
directions,DT,O
of,NNS,O
the,IN,O
hon,DT,O
ble,NN,O
supreme,JJ,O
court,JJ,O
the,NN,O
documents,DT,O
of,NNS,O
those,IN,O
ptos,DT,O
who,NNS,O
were,WP,O
given,VBD,O
opportunity,VBN,O
for,NN,O
personal,IN,O
hearing,JJ,O
but,NN,O
were,CC,O
not,VBD,O
considered,RB,O
qualified,VBN,O
during,VBN,O
2013,IN,O
have,CD,O
been,VBP,O
re,VBN,O
verified,VBN,O
with,VBN,O
the,IN,O
assistance,DT,O
of,NN,O
the,IN,O
chartered,DT,O
accountant,JJ,O
firm,JJ,O
m,NN,O
s,NN,O
sp,VBD,O
chopra,JJ,O
co,NN,O
hired,NN,O
through,VBD,O
bidding,IN,O
process,NN,O
the,NN,O
documents,DT,O
like,NNS,O
annual,IN,O
turnover,JJ,O
of,NN,O
rs,IN,O
1,JJ,O
crore,CD,O
or,NN,O
more,CC,O
minimum,JJR,O
capital,JJ,O
of,NN,O
rs,IN,O
15,NN,O
lakh,CD,O
and,NN,O
documents,CC,O
regarding,NNS,O
transaction,VBG,O
through,NN,O
proper,IN,O
banking,JJ,O
channel,NN,O
for,NN,O
purchase,IN,O
of,NN,O
air,IN,O
tickets,NN,O
for,NNS,O
the,IN,O
haj,DT,O
pilgrims,NN,O
and,NNS,O
hiring,CC,O
of,NN,O
accommodation,IN,O
for,NN,O
them,IN,O
in,PRP,O
makkah,IN,O
madinah,NN,O
pertaining,NN,O
to,VBG,O
the,TO,O
year,DT,O
2010,NN,O
11haj,CD,O
2010,CD,O
or,CD,O
2011,CC,O
12,CD,O
haj,CD,O
2011,NN,O
of,CD,O
the,IN,O
ptos,DT,O
were,NNS,O
verified,VBD,O
as,VBN,O
a,IN,O
result,DT,O
73,NN,O
more,CD,O
ptos,JJR,O
20,NNS,O
under,CD,O
category,IN,O
i,NN,O
and,NN,O
53,CC,O
under,CD,O
category,IN,O
ii,NN,O
have,NNS,O
been,VBP,O
qualified,VBN,O
for,VBN,O
registration,IN,O
for,NN,O
haj,IN,O
2015,NN,O
a,CD,O
list,DT,O
of,NN,O
the,IN,O
ptos,DT,O
qualified,NN,O
for,VBD,O
registration,IN,O
after,NN,O
re,IN,O
verification,JJ,O
of,NN,O
the,IN,O
documents,DT,O
is,NNS,O
enclosed,VBZ,O
at,VBN,O
annexure,IN,O
b,NN,O
thus,NN,O
a,RB,O
total,DT,O
of,NN,O
615,IN,O
ptos,CD,O
253,NNS,O
under,CD,O
category,IN,O
i,NN,O
and,NN,O
362,CC,O
under,CD,O
category,IN,O
ii,NN,O
have,NNS,O
been,VBP,O
qualified,VBN,O
for,VBN,O
registration,IN,O
for,NN,O
haj,IN,O
2015,NN,O
7union,CD,O
of,CD,O
india,IN,O
and,NN,O
ors,CC,O
etc,NNS,O
v,VBP,O
rafique,JJ,O
shaikh,NN,O
bhikan,NN,O
and,NN,O
anr,CC,O
etc,JJ,O
manu,FW,O
mh,NN,O
1222,NN,O
2011manu,CD,O
mh,CD,O
1222,NN,O
2011,CD,O
2012,CD,O
6,CD,O
scc,CD,O
265,NN,O
in,CD,O
this,IN,O
judgment,DT,O
the,NN,O
following,DT,O
paragraphs,JJ,O
are,NN,O
to,VBP,O
be,TO,O
noted,VB,O
5,VBN,O
in,CD,O
order,IN,O
to,NN,O
clearly,TO,O
understand,RB,O
the,VB,O
context,DT,O
in,NN,O
which,IN,O
the,WDT,O
dispute,DT,O
arises,NN,O
a,VBZ,O
few,DT,O
facts,JJ,O
are,NNS,O
required,VBP,O
to,VBN,O
be,TO,O
taken,VB,O
into,VBN,O
account,IN,O
under,NN,O
a,IN,O
bilateral,DT,O
agreement,JJ,O
signed,NN,O
between,VBD,O
the,IN,O
government,DT,O
of,NN,O
india,IN,O
and,NN,O
the,CC,O
kingdom,DT,O
of,NN,O
saudi,IN,O
arabia,NN,O
every,NN,O
year,DT,O
the,NN,O
latter,DT,O
government,JJ,O
assigns,NN,O
a,VBZ,O
fixed,DT,O
number,JJ,O
of,NN,O
pilgrims,IN,O
that,NNS,O
are,WDT,O
permitted,VBP,O
to,VBN,O
visit,TO,O
saudi,VB,O
arabia,JJ,O
for,NN,O
performing,IN,O
haj,VBG,O
out,NN,O
of,IN,O
the,IN,O
overall,DT,O
number,JJ,O
a,NN,O
relatively,DT,O
small,RB,O
portion,JJ,O
is,NN,O
specified,VBZ,O
for,VBN,O
the,IN,O
ptos,DT,O
and,NN,O
the,CC,O
rest,DT,O
for,NN,O
the,IN,O
haj,DT,O
committee,JJ,O
of,NN,O
india,IN,O
6,$,O
before,CD,O
2002,IN,O
the,CD,O
ptos,DT,O
were,NN,O
allocated,VBD,O
haj,VBN,O
seats,NN,O
directly,NNS,O
by,RB,O
the,IN,O
kingdom,DT,O
of,NN,O
saudi,IN,O
arabia,NN,O
and,NN,O
there,CC,O
was,EX,O
therefore,VBD,O
no,RB,O
involvement,DT,O
of,NN,O
the,IN,O
government,DT,O
of,NN,O
india,IN,O
in,NN,O
the,IN,O
allocation,DT,O
of,NN,O
any,IN,O
haj,DT,O
quota,JJ,O
to,NN,O
the,TO,O
ptos,DT,O
after,NN,O
haj,IN,O
2001,NN,O
the,CD,O
kingdom,DT,O
of,NN,O
saudi,IN,O
arabia,NN,O
made,NN,O
it,VBD,O
mandatory,PRP,O
for,JJ,O
the,IN,O
ptos,DT,O
to,NN,O
come,TO,O
through,VB,O
their,IN,O
respective,PRP$,O
governments,JJ,O
from,NNS,O
2002,IN,O
therefore,CD,O
the,IN,O
government,DT,O
of,NN,O
india,IN,O
was,NN,O
obliged,VBD,O
to,VBN,O
evolve,TO,O
a,VB,O
system,DT,O
under,NN,O
which,IN,O
private,WDT,O
operators,JJ,O
travel,NNS,O
agents,VBP,O
would,NNS,O
be,MD,O
registered,VB,O
as,VBN,O
ptos,IN,O
and,NNS,O
following,CC,O
the,VBG,O
registration,DT,O
would,NN,O
be,MD,O
allocated,VB,O
quotas,VBN,O
from,NNS,O
the,IN,O
overall,DT,O
number,JJ,O
of,NN,O
pilgrims,IN,O
specified,NNS,O
for,VBN,O
ptos,IN,O
it,NN,O
is,PRP,O
thus,VBZ,O
to,RB,O
be,TO,O
seen,VB,O
that,VBN,O
a,IN,O
private,DT,O
operator,JJ,O
travel,NN,O
agent,NN,O
needs,NN,O
first,VBZ,O
to,JJ,O
get,TO,O
registered,VB,O
as,VBN,O
pto,IN,O
and,NN,O
it,CC,O
would,PRP,O
then,MD,O
get,RB,O
a,VB,O
fixed,DT,O
number,JJ,O
of,NN,O
pilgrims,IN,O
for,NNS,O
carrying,IN,O
for,VBG,O
haj,IN,O
86,NN,O
shri,CD,O
neeraj,NN,O
kishan,NN,O
kaul,NN,O
learned,NN,O
additional,VBD,O
solicitor,JJ,O
general,NN,O
has,NN,O
vehemently,VBZ,O
contended,RB,O
that,VBN,O
the,IN,O
requirement,DT,O
under,NN,O
the,IN,O
order,DT,O
of,NN,O
the,IN,O
court,DT,O
dated,NN,O
16,VBD,O
4,CD,O
2013,CD,O
f,CD,O
n,NN,O
union,DT,O
of,NN,O
india,IN,O
v,JJ,O
rafique,NN,O
shaikh,NN,O
bhikan,NN,O
manu,NN,O
sc,NN,O
0382,NN,O
2013manu,CD,O
sc,CD,O
0382,NN,O
2013,CD,O
2013,CD,O
4,CD,O
scc,CD,O
699,NN,O
is,CD,O
really,VBZ,O
for,RB,O
a,IN,O
seven,DT,O
year,CD,O
period,NN,O
which,NN,O
is,WDT,O
evident,VBZ,O
from,JJ,O
a,IN,O
reading,DT,O
of,NN,O
appendix,IN,O
i,NN,O
which,NN,O
is,WDT,O
to,VBZ,O
be,TO,O
found,VB,O
in,VBN,O
para,IN,O
36,JJ,O
of,CD,O
the,IN,O
aforesaid,DT,O
order,JJ,O
of,NN,O
this,IN,O
court,DT,O
