rc,NN,O
capable,NNS,O
of,CC,O
motion,VBZ,O
from,JJ,O
one,IN,O
body,NN,O
to,IN,O
another,CD,O
this,NN,O
characteristic,TO,O
quality,DT,O
of,DT,O
electric,JJ,O
energy,NN,O
was,IN,O
judicially,JJ,O
noticed,NN,O
in,VBD,O
indian,RB,O
aluminium,VBN,O
co,IN,O
etcetc,JJ,O
v,NN,O
state,NN,O
of,NN,O
kerala,NN,O
and,NN,O
ors,IN,O
manu,NN,O
sc,CC,O
0370,NNS,O
1996manu,VBP,O
sc,JJ,O
0370,CD,O
1996,CD,O
1996,NN,O
2scr23,CD,O
vide,CD,O
para,CD,O
25,CD,O
this,NN,O
court,NN,O
has,CD,O
noted,DT,O
continuity,NN,O
of,VBZ,O
supply,VBN,O
and,NN,O
consumption,IN,B-LEGAL
starts,NN,O
from,CC,O
the,NN,O
moment,NNS,O
the,IN,O
electrical,DT,O
energy,NN,O
passes,DT,O
through,JJ,O
the,NN,O
meters,NNS,O
and,IN,O
sale,DT,O
simultaneously,NNS,O
takes,CC,O
place,NN,O
as,RB,O
soon,VBZ,O
as,NN,O
meter,RB,O
reading,RB,O
is,IN,O
recorded,NN,O
all,NN,O
the,VBZ,O
three,VBN,O
steps,PDT,O
or,DT,O
phases,CD,O
ie,NNS,O
sale,CC,O
supply,NNS,O
and,JJ,O
consumption,NN,B-LEGAL
take,NN,O
place,CC,O
without,NN,O
any,VB,O
hiatus,NN,O
it,IN,O
is,DT,O
true,NN,O
that,PRP,O
from,VBZ,O
the,JJ,O
place,IN,O
of,IN,O
generating,DT,O
electricity,NN,O
the,IN,O
electricity,VBG,O
is,NN,O
supplied,DT,O
to,NN,O
the,VBZ,O
sub,VBN,O
station,TO,O
installed,DT,O
at,NN,O
the,NN,O
units,VBN,O
of,IN,O
the,DT,O
consumers,NNS,O
through,IN,O
electrical,DT,O
higher,NNS,O
tension,IN,O
transformers,JJ,O
and,JJR,O
from,NN,O
there,NNS,O
electricity,CC,O
is,IN,O
supplied,EX,O
to,NN,O
the,VBZ,O
meter,VBN,O
but,TO,O
the,DT,O
moment,NN,O
electricity,CC,O
is,DT,O
supplied,NN,O
through,NN,O
the,VBZ,O
meter,VBN,O
consumption,IN,B-LEGAL
and,DT,O
sale,NN,O
simultaneously,NN,O
take,CC,O
place,NN,O
as,RB,O
soon,JJ,O
as,NN,O
the,RB,O
electrical,RB,O
energy,IN,O
is,DT,O
supplied,JJ,O
to,NN,O
the,VBZ,O
consumers,VBN,O
and,TO,O
is,DT,O
transmitted,NNS,O
through,CC,O
the,VBZ,O
meter,VBN,O
consumption,IN,B-LEGAL
takes,DT,O
place,NN,O
simultaneously,NN,O
with,VBZ,O
the,NN,O
supply,RB,O
there,IN,O
is,DT,O
no,NN,O
hiatus,EX,O
in,VBZ,O
its,DT,O
operation,NN,O
simultaneously,IN,O
sale,PRP$,O
also,NN,O
takes,RB,O
place,NN,O
these,RB,O
properties,VBZ,O
of,NN,O
electricity,DT,O
as,NNS,O
goods,IN,O
are,NN,O
of,IN,O
immense,NNS,O
relevance,VBP,O
as,IN,O
we,JJ,O
would,NN,O
state,IN,O
hereafter,PRP,O
list,MD,O
ii,NN,O
entries,NN,O
53,NN,O
and,NN,O
54,NNS,O
how,CD,O
to,CC,O
be,CD,O
read,WRB,O
23,TO,O
we,VB,O
now,JJ,O
come,CD,O
to,PRP,O
the,RB,O
question,VBP,O
on,TO,O
the,DT,O
interpretation,NN,O
of,IN,O
entry,DT,O
53,NN,O
in,IN,O
list,NN,O
ii,CD,O
of,IN,O
seventh,NN,O
schedule,NN,O
it,IN,O
provides,JJ,O
for,NN,O
taxes,PRP,O
on,VBZ,O
the,IN,O
consumption,NNS,B-LEGAL
or,IN,O
sale,DT,O
of,NN,O
electricity,CC,O
the,NN,O
word,IN,O
sale,NN,O
as,DT,O
occurring,NN,O
in,NN,O
entry,IN,O
52,VBG,O
came,IN,O
up,NN,O
for,CD,O
the,VBD,O
consideration,RB,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
burmah,DT,O
shell,NN,O
oil,IN,O
storage,NN,O
distributing,NN,O
co,NN,O
india,NN,O
ltd,VBG,O
v,JJ,O
the,JJ,O
belgaum,NN,O
borough,IN,O
municipality,DT,O
manu,NN,O
sc,NN,O
0314,NN,O
1962manu,NN,O
sc,NN,O
0314,CD,O
1962,CD,O
air1963sc906,NN,O
it,CD,O
was,CD,O
held,IN,O
that,PRP,O
the,VBD,O
act,VBN,O
of,IN,O
sale,DT,O
is,NN,O
merely,IN,O
the,NN,O
means,VBZ,O
for,RB,O
putting,DT,O
the,NNS,O
goods,IN,O
in,VBG,O
the,DT,O
way,NNS,O
of,IN,O
use,DT,O
or,NN,O
consumption,IN,B-LEGAL
it,NN,O
is,CC,O
an,NN,O
earlier,PRP,O
stage,VBZ,O
the,DT,O
ultimate,JJR,O
destination,NN,O
of,DT,O
the,JJ,O
goods,NN,O
being,IN,O
use,DT,O
or,NNS,O
consumption,VBG,B-LEGAL
we,NN,O
feel,CC,O
that,NN,O
the,PRP,O
same,VBP,O
meaning,IN,O
should,DT,O
be,JJ,O
assigned,NN,O
to,MD,O
the,VB,O
word,VBN,O
sale,TO,O
in,DT,O
entry,NN,O
53,NN,O
this,IN,O
is,NN,O
for,CD,O
a,DT,O
fortiorari,VBZ,O
reason,IN,O
in,DT,O
the,JJ,O
context,NN,O
of,IN,O
electricity,DT,O
as,NN,O
there,IN,O
can,NN,O
be,IN,O
no,EX,O
sale,MD,O
of,VB,O
electricity,DT,O
excepting,NN,O
by,IN,O
its,NN,O
consumption,NN,B-LEGAL
for,IN,O
it,PRP$,O
can,NN,O
neither,IN,O
be,PRP,O
preserved,MD,O
nor,RB,O
stored,VB,O
it,VBN,O
is,CC,O
this,VBN,O
property,PRP,O
of,VBZ,O
electricity,DT,O
which,NN,O
persuaded,IN,O
this,NN,O
court,WDT,O
in,VBD,O
indian,DT,O
aluminium,NN,O
co,IN,O
etc,JJ,O
s,NN,O
caseh,NN,O
supra,FW,O
to,NN,O
hold,NN,O
that,NN,O
in,TO,O
the,VB,O
context,IN,O
of,IN,O
electricity,DT,O
the,NN,O
word,IN,O
supply,NN,O
should,DT,O
be,NN,O
interpreted,NN,O
to,MD,O
include,VB,O
sale,VBN,O
or,TO,O
consumption,VB,B-LEGAL
of,NN,O
electricity,CC,O
entry,NN,O
53,IN,O
should,NN,O
therefore,NN,O
be,CD,O
read,MD,O
as,RB,O
taxes,VB,O
on,VBN,O
the,IN,O
consumption,NNS,B-LEGAL
or,IN,O
sale,DT,O
for,NN,O
consumption,CC,B-LEGAL
of,NN,O
electricity,IN,O
24,NN,O
with,IN,O
these,NN,O
two,CD,O
things,IN,O
in,DT,O
mind,CD,O
that,NNS,O
electricity,IN,O
is,NN,O
goods,IN,O
and,NN,O
that,VBZ,O
sale,NNS,O
of,CC,O
electricity,DT,O
has,NN,O
to,IN,O
be,NN,O
construed,VBZ,O
and,TO,O
read,VB,O
as,VBN,O
sale,CC,O
for,VBN,O
consumption,IN,B-LEGAL
within,NN,O
the,IN,O
meaning,NN,O
of,IN,O
entry,DT,O
53,NN,O
the,IN,O
conflict,NN,O
if,CD,O
any,DT,O
between,NN,O
entry,IN,O
53,DT,O
and,IN,O
entry,NN,O
54,CD,O
ceases,CC,O
to,$,O
exist,CD,O
and,NNS,O
the,TO,O
two,VB,O
can,CC,O
be,DT,O
harmonized,CD,O
and,MD,O
read,VB,O
together,VBN,O
because,CC,O
electricity,VBN,O
is,RB,O
goods,IN,O
it,NN,O
is,VBZ,O
covered,NNS,O
in,PRP,O
entry,VBZ,O
54,VBN,O
also,IN,O
it,NN,O
is,CD,O
not,RB,O
disputed,PRP,O
that,VBZ,O
duty,RB,O
on,VBN,O
electricity,IN,O
is,NN,O
tax,IN,O
tax,NN,O
on,VBZ,O
the,NN,O
sale,NN,O
or,IN,O
purchase,DT,O
of,NN,O
goods,CC,O
including,NN,O
electricity,IN,O
but,NNS,O
excluding,VBG,O
newspapers,NN,O
shall,CC,O
fall,VBG,O
within,NNS,O
entry,MD,O
54,VB,O
and,IN,O
shall,NN,O
be,CD,O
subject,CC,O
to,MD,O
provisions,VB,O
of,JJ,O
entry,TO,O
92a,NNS,O
of,IN,O
list,NN,O
i,CD,O
taxes,IN,O
on,NN,O
the,NN,O
consumption,NNS,B-LEGAL
or,IN,O
sale,DT,O
for,NN,O
consumption,CC,B-LEGAL
of,NN,O
electricity,IN,O
within,NN,O
the,IN,O
meaning,NN,O
of,IN,O
entry,DT,O
53,NN,O
must,IN,O
be,NN,O
consumption,CD,B-LEGAL
within,MD,O
the,VB,O
state,NN,O
and,IN,O
not,DT,O
beyond,NN,O
the,CC,O
territory,RB,O
of,IN,O
the,DT,O
state,NN,O
any,IN,O
other,DT,O
sale,NN,O
of,DT,O
electricity,JJ,O
shall,NN,O
continue,IN,O
to,NN,O
be,MD,O
subject,VB,O
to,TO,O
the,VB,O
limits,JJ,O
provided,TO,O
by,DT,O
entry,NNS,O
54,VBN,O
even,IN,O
purchase,NN,O
of,CD,O
electricity,RB,O
would,NN,O
be,IN,O
available,NN,O
for,MD,O
taxation,VB,O
which,JJ,O
it,IN,O
would,NN,O
not,WDT,O
be,PRP,O
if,MD,O
electricity,RB,O
was,VB,O
not,IN,O
includible,NN,O
in,VBD,O
the,RB,O
meaning,JJ,O
of,IN,O
term,DT,O
goods,NN,O
a,IN,O
piece,NN,O
of,NNS,O
legislation,DT,O
need,NN,O
not,IN,O
necessarily,NN,O
fall,MD,O
within,RB,O
the,RB,O
scope,VB,O
of,IN,O
one,DT,O
entry,NN,O
alone,IN,O
more,CD,O
than,NN,O
one,RB,O
entry,JJR,O
may,IN,O
overlap,CD,O
to,NN,O
cover,MD,O
the,VB,O
subject,TO,O
matter,VB,O
of,DT,O
a,JJ,O
single,NN,O
piece,IN,O
of,DT,O
legislation,JJ,O
a,NN,O
bare,IN,O
consumption,NN,B-LEGAL
of,DT,O
electric,NN,O
energy,NN,O
even,IN,O
by,JJ,O
one,NN,O
who,RB,O
generates,IN,O
the,CD,O
same,WP,O
may,VBZ,O
be,DT,O
liable,JJ,O
to,MD,O
be,VB,O
taxed,JJ,O
by,TO,O
reference,VB,O
to,VBN,O
entry,IN,O
53,NN,O
and,TO,O
if,VB,O
the,CD,O
state,CC,O
legislature,IN,O
may,DT,O
choose,NN,O
to,NN,O
impose,MD,O
tax,VB,O
on,TO,O
consumption,VB,B-LEGAL
of,NN,O
electricity,IN,O
by,NN,O
the,IN,O
one,NN,O
who,IN,O
generates,DT,O
it,NN,O
such,WP,O
tax,VBZ,O
would,PRP,O
not,JJ,O
be,NN,O
deemed,MD,O
to,RB,O
be,VB,O
a,VBN,O
tax,TO,O
necessarily,VB,O
on,DT,O
manufacture,NN,O
or,RB,O
production,IN,O
or,NN,O
a,CC,O
duty,NN,O
of,CC,O
exercise,DT,O
as,NN,O
held,IN,O
by,NN,O
constitution,IN,O
bench,VBN,O
in,IN,O
jiyajeerao,NN,O
cotton,NN,O
mills,IN,O
ltd,JJ,O
birlanagar,NN,O
gwalior,NNS,O
v,VBP,O
state,JJ,O
of,JJ,O
madhya,NN,O
pradesh,NN,O
manu,IN,O
sc,NN,O
0266,JJ,O
1961manu,NN,O
sc,NN,O
0266,CD,O
1961,CD,O
air1963sc414,NN,O
a,CD,O
mere,CD,O
consumption,IN,B-LEGAL
of,DT,O
goods,JJ,O
other,NN,O
than,IN,O
electricity,NNS,O
not,JJ,O
accompanied,IN,O
by,NN,O
purchase,RB,O
or,VBN,O
sale,IN,O
would,NN,O
not,CC,O
be,NN,O
taxable,MD,O
under,RB,O
entry,VB,O
54,JJ,O
because,IN,O
it,NN,O
does,CD,O
not,IN,O
provide,PRP,O
for,VBZ,O
taxes,RB,O
on,VB,O
the,IN,O
consumption,NNS,B-LEGAL
and,IN,O
entry,DT,O
53,NN,O
does,CC,O
not,NN,O
speak,CD,O
of,VBZ,O
goods,RB,O
other,VB,O
than,IN,O
electricity,NNS,O
thus,JJ,O
in,IN,O
substance,NN,O
entries,RB,O
53,IN,O
and,NN,O
54,NNS,O
can,CD,O
be,CC,O
and,CD,O
must,MD,O
be,VB,O
read,CC,O
together,MD,O
and,VB,O
to,VBN,O
the,RB,O
extent,CC,O
of,TO,O
sale,DT,O
of,NN,O
electricity,IN,O
for,NN,O
consumption,IN,B-LEGAL
outside,NN,O
the,IN,O
state,NN,O
the,IN,O
electricity,DT,O
being,NN,O
goods,DT,O
shall,NN,O
also,VBG,O
be,NNS,O
subject,MD,O
to,RB,O
provisions,VB,O
of,JJ,O
entry,TO,O
92a,NNS,O
of,IN,O
list,NN,O
i,CD,O
this,IN,O
in,NN,O
our,NN,O
opinion,DT,O
is,IN,O
the,PRP$,O
best,NN,O
way,VBZ,O
of,DT,O
reading,JJS,O
the,NN,O
two,IN,O
entries,VBG,O
in,DT,O
cp,CD,O
motor,NNS,O
spirit,IN,O
act,NN,O
re,NN,O
air,NN,O
1939,NN,O
fc,VBZ,O
131,NN,O
it,CD,O
was,NN,O
hold,CD,O
that,PRP,O
two,VBD,O
entries,VBN,O
in,IN,O
the,CD,O
lists,NNS,O
may,IN,O
overlap,DT,O
and,NNS,O
sometimes,MD,O
may,VB,O
also,CC,O
appear,RB,O
to,MD,O
be,RB,O
in,VB,O
direct,TO,O
conflict,VB,O
with,IN,O
each,JJ,O
other,NN,O
it,IN,O
is,DT,O
then,JJ,O
the,PRP,O
duty,VBZ,O
of,RB,O
this,DT,O
court,NN,O
to,IN,O
reconcile,DT,O
the,NN,O
entries,TO,O
and,VB,O
bring,DT,O
about,NNS,O
harmony,CC,O
between,VB,O
them,RP,O
the,NN,O
court,IN,O
should,PRP,O
strive,DT,O
at,NN,O
searching,MD,O
for,VB,O
reasonable,IN,O
and,VBG,O
practical,IN,O
construction,JJ,O
to,CC,O
seek,JJ,O
reconciliation,NN,O
and,TO,O
give,VB,B-LEGAL
effect,NN,I-LEGAL
to,CC,I-LEGAL
all,VB,O
of,NN,O
them,TO,O
if,DT,O
reconciliation,IN,O
proves,PRP,O
impossible,IN,O
the,NN,O
overriding,VBZ,O
power,JJ,O
of,DT,O
union,VBG,O
legislature,NN,O
operates,IN,O
and,NN,O
prevails,NN,O
gwyer,VBZ,O
cj,CC,O
observed,VBZ,O
a,NN,O
grant,NN,O
of,VBD,O
the,DT,O
power,NN,O
in,IN,O
general,DT,O
terms,NN,O
standing,IN,O
by,JJ,O
itself,NNS,O
would,VBG,O
no,IN,O
doubt,PRP,O
be,MD,O
construed,DT,O
in,NN,O
the,VB,O
wider,VBN,O
sense,IN,O
but,DT,O
it,NN,O
may,NN,O
be,CC,O
qualified,PRP,O
by,MD,O
other,VB,O
express,VBN,O
provisions,IN,O
in,JJ,O
the,JJ,O
same,NNS,O
enactment,IN,O
by,DT,O
the,JJ,O
implication,NN,O
of,IN,O
the,DT,O
context,NN,O
and,IN,O
even,DT,O
by,NN,O
considerations,CC,O
arising,RB,O
out,IN,O
of,NNS,O
what,VBG,O
appears,IN,O
to,IN,O
be,WP,O
the,VBZ,O
general,TO,O
scheme,VB,O
of,DT,O
the,JJ,O
act,NN,O
and,IN,O
again,DT,O
he,NN,O
said,CC,O
an,RB,O
endeavour,PRP,O
must,VBD,O
be,DT,O
made,NN,O
to,MD,O
solve,VB,O
it,VBN,O
as,TO,O
the,VB,O
judicial,PRP,O
committee,IN,O
have,DT,O
said,JJ,O
by,NN,O
having,VBP,O
recourse,VBD,O
to,IN,O
the,VBG,O
context,NN,O
and,TO,O
scheme,DT,O
of,NN,O
the,CC,O
act,NN,O
and,IN,O
a,DT,O
reconciliation,NN,O
attempted,CC,O
between,DT,O
two,NN,O
apparently,VBN,O
conflicting,IN,O
jurisdictions,CD,O
by,RB,O
reading,VBG,O
the,NNS,O
two,IN,O
entries,VBG,O
together,DT,O
and,CD,O
by,NNS,O
interpreting,RB,O
and,CC,O
where,IN,O
necessary,VBG,O
modifying,CC,O
the,WRB,O
language,JJ,O
of,VBG,O
the,DT,O
one,NN,O
by,IN,O
that,DT,O
of,CD,O
the,IN,O
other,DT,O
if,IN,O
needed,DT,O
such,JJ,O
a,IN,O
reconciliation,VBN,O
should,PDT,O
prove,DT,O
impossible,NN,O
then,MD,O
and,VB,O
only,JJ,O
then,RB,O
will,CC,O
the,RB,O
non,RB,O
obstante,MD,O
clause,DT,O
operate,JJ,O
and,NN,O
the,NN,O
federal,NN,O
power,CC,O
prevail,DT,O
in,JJ,O
calcutta,NN,O
gas,NN,O
co,IN,O
ltd,NN,O
v,NN,O
the,NN,O
state,NN,O
of,VBD,O
west,DT,O
bengal,NN,O
and,IN,O
ors,JJ,O
manu,NN,O
sc,CC,O
0063,NNS,O
1962manu,VBP,O
sc,JJ,O
0063,CD,O
1962,CD,O
air1962sc1044,NN,O
the,CD,O
constitution,CD,O
bench,IN,O
has,DT,O
held,NN,O
that,NN,O
the,VBZ,O
same,VBN,O
rules,IN,O
of,DT,O
construction,JJ,O
apply,NNS,O
for,IN,O
the,NN,O
purpose,NN,O
of,IN,O
harmonizing,DT,O
an,NN,O
apparent,IN,O
conflict,VBG,O
between,DT,O
two,JJ,O
entries,NN,O
in,IN,O
the,CD,O
same,NNS,O
list,IN,O
what,DT,O
is,JJ,O
inter,NN,B-LEGAL
state,WP,O
sale,VBZ,O
25,JJ,O
it,NN,O
is,NN,O
well,CD,O
settled,PRP,O
by,VBZ,O
a,RB,O
catena,VBN,O
of,IN,O
decisions,DT,O
of,NN,O
this,IN,O
court,NNS,O
that,IN,O
a,DT,O
sale,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,DT,B-LEGAL
state,NN,O
trade,IN,O
has,NN,O
three,NN,O
essential,NN,O
ingredients,VBZ,O
i,CD,O
there,JJ,O
must,NNS,O
be,VBP,O
a,EX,O
contract,MD,B-LEGAL
of,VB,I-LEGAL
sale,DT,I-LEGAL
incorporating,NN,O
a,IN,O
stipulation,NN,O
express,VBG,O
or,DT,O
implied,NN,O
regarding,NN,O
inter,CC,B-LEGAL
state,VBN,O
movement,VBG,O
of,NN,O
goods,NN,O
ii,NN,O
the,IN,O
goods,NNS,O
must,VBP,O
actually,DT,O
move,NNS,O
from,MD,O
one,RB,O
state,VB,O
to,IN,O
another,CD,O
pursuant,NN,O
to,TO,O
such,DT,O
contract,NN,B-LEGAL
of,TO,I-LEGAL
sale,JJ,I-LEGAL
the,NN,O
sale,IN,O
being,NN,O
the,DT,O
proximate,NN,O
cause,VBG,O
of,DT,O
movement,NN,O
and,NN,O
iii,IN,O
such,NN,O
movement,CC,O
of,NN,O
goods,JJ,O
must,NN,O
be,IN,O
from,NNS,O
one,MD,O
state,VB,O
to,IN,O
another,CD,O
state,NN,O
where,TO,O
the,DT,O
sale,NN,O
concludes,WRB,O
it,DT,O
follows,NN,O
as,VBZ,O
a,PRP,O
necessary,VBZ,O
corollary,IN,O
of,DT,O
these,JJ,O
principles,NN,O
that,IN,O
a,DT,O
movement,NNS,O
of,IN,O
goods,DT,O
which,NN,O
takes,IN,O
place,NNS,O
independently,WDT,O
of,VBZ,O
a,NN,O
contract,RB,B-LEGAL
of,IN,I-LEGAL
sale,DT,I-LEGAL
would,NN,O
not,IN,O
fall,NN,O
within,MD,O
the,RB,O
meaning,VB,O
of,IN,O
inter,DT,B-LEGAL
state,NN,O
sale,IN,O
in,NN,O
other,NN,O
words,NN,O
if,IN,O
there,JJ,O
is,NNS,O
no,IN,O
contract,EX,B-LEGAL
of,VBZ,I-LEGAL
sale,DT,I-LEGAL
preceding,NN,O
the,IN,O
movements,NN,O
of,VBG,O
goods,DT,O
obviously,NNS,O
the,IN,O
movement,NNS,O
cannot,RB,O
be,DT,O
attributed,NN,O
to,MD,O
the,RB,O
contract,VB,B-LEGAL
of,VBN,I-LEGAL
sale,TO,I-LEGAL
similarly,DT,O
if,NN,O
the,IN,O
transaction,NN,O
of,RB,O
sale,IN,O
stands,DT,O
completed,NN,O
within,IN,O
the,NN,O
state,NNS,O
and,VBD,O
the,IN,O
movement,DT,O
of,NN,O
goods,CC,O
takes,DT,O
place,NN,O
thereafter,IN,O
it,NNS,O
would,VBZ,O
obviously,NN,O
be,NN,O
independently,PRP,O
of,MD,O
the,RB,O
contract,VB,B-LEGAL
of,RB,I-LEGAL
sale,IN,I-LEGAL
and,DT,O
necessarily,NN,O
by,IN,O
or,NN,O
on,CC,O
behalf,RB,O
of,IN,O
the,CC,O
purchaser,IN,O
alone,NN,O
and,IN,O
therefore,DT,O
the,NN,O
transaction,RB,O
would,CC,O
not,RB,O
be,DT,O
having,NN,O
an,MD,O
inter,RB,B-LEGAL
state,VB,O
element,VBG,O
precedents,DT,O
are,NN,O
legion,NN,O
we,NN,O
may,NNS,O
briefly,VBP,O
refer,NN,O
to,PRP,O
some,MD,O
of,VB,O
them,VB,O
in,TO,O
english,DT,O
electric,IN,O
company,PRP,O
of,IN,O
india,JJ,O
ltd,JJ,O
v,NN,O
deputy,IN,O
commercial,NN,O
tax,NN,O
officer,FW,O
manu,JJ,O
sc,JJ,O
0393,NN,O
1976manu,NN,O
sc,NN,O
0393,NN,O
1976,CD,O
1977,CD,O
1scr631,NN,O
this,CD,O
court,CD,O
held,CD,O
that,CD,O
when,DT,O
the,NN,O
movement,VBD,O
of,IN,O
the,WRB,O
goods,DT,O
from,NN,O
one,IN,O
state,DT,O
to,NNS,O
another,IN,O
is,CD,O
an,NN,O
incident,TO,O
of,DT,O
the,VBZ,O
contract,DT,B-LEGAL
it,NN,O
is,IN,O
a,DT,O
sale,NN,O
in,PRP,O
the,VBZ,O
course,DT,O
of,NN,O
inter,IN,B-LEGAL
state,DT,O
sale,NN,O
and,IN,O
it,NN,O
does,NN,O
not,NN,O
matter,CC,O
which,PRP,O
is,VBZ,O
the,RB,O
state,VB,O
in,WDT,O
which,VBZ,O
the,DT,O
property,NN,O
passes,IN,O
what,WDT,O
is,DT,O
decisive,NN,O
is,VBZ,O
whether,WP,O
the,VBZ,O
sale,JJ,O
is,VBZ,O
one,IN,O
which,DT,O
occasions,NN,O
the,VBZ,O
movement,CD,O
of,WDT,O
goods,VBZ,O
from,DT,O
one,NN,O
state,IN,O
to,NNS,O
another,IN,O
in,CD,O
union,NN,O
of,TO,O
india,DT,O
v,IN,O
kg,NN,O
khosla,IN,O
and,JJ,O
co,NN,O
ltd,NN,O
manu,NN,O
sc,CC,O
0434,NN,O
1979manu,NN,O
sc,NN,O
0434,NN,O
1979,CD,O
1979,CD,O
2scr453,NN,O
it,CD,O
was,CD,O
observed,CD,O
that,CD,O
a,PRP,O
sale,VBD,O
would,VBN,O
be,IN,O
an,DT,O
inter,NN,B-LEGAL
state,MD,O
sale,VB,O
even,DT,O
if,NN,O
the,NN,O
contract,NN,B-LEGAL
of,RB,I-LEGAL
sale,IN,I-LEGAL
does,DT,O
not,NN,O
itself,IN,O
provide,NN,O
for,VBZ,O
the,RB,O
movement,PRP,O
of,VBP,O
goods,IN,O
from,DT,O
one,NN,O
state,IN,O
to,NNS,O
another,IN,O
provided,CD,O
however,NN,O
that,TO,O
such,DT,O
movements,VBN,O
was,RB,O
the,IN,O
result,JJ,O
of,NNS,O
a,VBD,O
covenant,DT,O
in,NN,O
the,IN,O
contract,DT,B-LEGAL
of,NN,I-LEGAL
sale,IN,I-LEGAL
or,DT,O
was,NN,O
an,IN,O
incident,NN,O
of,CC,O
the,VBD,O
contract,DT,B-LEGAL
similar,NN,O
view,IN,O
was,DT,O
expressed,NN,O
in,JJ,O
m,NN,O
s,VBD,O
sahney,VBN,O
steel,IN,O
and,NN,O
press,NN,O
works,NN,O
ltd,NN,O
and,CC,O
anr,NN,O
v,NNS,O
commercial,RBR,O
tax,CC,O
officer,JJ,O
and,NN,O
others,JJ,O
manu,NN,O
sc,NN,O
0323,CC,O
1985manu,NNS,O
sc,VBP,O
0323,JJ,O
1985,CD,O
air1985sc1754,CD,O
in,NN,O
manganese,CD,O
ore,CD,O
india,NN,O
ltd,IN,O
v,JJ,O
the,IN,O
regional,JJ,O
assistant,NN,O
commissioner,IN,O
of,DT,O
sales,JJ,O
tax,NN,O
jabalpur,NN,O
manu,IN,O
sc,NNS,O
0439,NN,O
1975manu,NN,O
sc,NN,O
0439,NN,O
1975,CD,O
1976,CD,O
3scr99,NN,O
after,CD,O
referring,CD,O
to,CD,O
balabhagas,CD,O
hulaschand,IN,O
v,VBG,O
state,TO,O
of,VB,O
orissa,NN,O
manu,NN,O
sc,NN,O
0441,IN,O
1975manu,NN,O
sc,NN,O
0441,NN,O
1975,CD,O
1976,CD,O
2scr939,NN,O
it,CD,O
was,CD,O
observed,CD,O
that,CD,O
so,PRP,O
far,VBD,O
as,VBN,O
section,IN,O
3a,RB,O
of,RB,O
the,IN,O
cst,NN,O
act,CD,O
is,IN,O
concerned,DT,O
there,NN,O
is,NN,O
no,VBZ,O
distinction,VBN,O
between,EX,O
unascertained,VBZ,O
or,DT,O
future,NN,O
goods,IN,O
which,JJ,O
are,CC,O
already,JJ,O
in,NNS,O
existence,WDT,O
if,VBP,O
at,RB,O
time,IN,O
when,NN,O
the,IN,O
sale,IN,O
takes,NN,O
place,WRB,O
these,DT,O
goods,NN,O
have,VBZ,O
come,NN,O
into,DT,O
actual,NNS,O
existence,VBP,O
effect,VBN,O
of,IN,O
entry,JJ,O
53,NN,O
list,NN,O
ii,IN,O
having,NN,O
remained,CD,O
unamended,NN,O
26,NN,O
having,VBG,O
seen,VBN,O
the,JJ,O
properties,CD,O
of,VBG,O
electricity,VBN,O
as,DT,O
goods,NNS,O
and,IN,O
what,NN,O
is,IN,O
inter,NNS,B-LEGAL
state,CC,O
sale,WP,O
let,VBZ,O
us,JJ,O
examine,NN,O
the,NN,O
effect,VBD,O
of,PRP,O
entry,VB,O
53,DT,O
list,NN,O
ii,IN,O
having,NN,O
been,CD,O
left,NN,O
unamended,NN,O
by,VBG,O
sixth,VBN,O
amendment,VBN,O
from,JJ,O
another,IN,O
angle,JJ,O
sixth,NN,O
amendment,IN,O
did,DT,O
not,NN,O
touch,JJ,O
entry,NN,O
53,VBD,O
in,RB,O
list,JJ,O
ii,NN,O
and,CD,O
so,IN,O
the,NN,O
contents,NN,O
of,CC,O
entry,RB,O
53,DT,O
were,NNS,O
not,IN,O
expressly,NN,O
made,CD,O
subject,VBD,O
to,RB,O
the,RB,O
provisions,VBN,O
of,NN,O
entry,TO,O
92,DT,O
a,NNS,O
of,IN,O
list,NN,O
i,CD,O
and,DT,O
arguments,IN,O
were,NN,O
advanced,NN,O
with,CC,O
emphasis,NNS,O
on,VBD,O
behalf,VBN,O
of,IN,O
the,NN,O
states,IN,O
of,NN,O
andhra,IN,O
pradesh,DT,O
and,NNS,O
madhya,IN,O
pradesh,NN,O
contending,NN,O
that,CC,O
such,NN,O
omission,NN,O
was,VBG,O
deliberate,IN,O
and,JJ,O
therefore,NN,O
the,VBD,O
restriction,JJ,O
which,CC,O
has,RB,O
been,DT,O
placed,NN,O
only,WDT,O
in,VBZ,O
entry,VBN,O
54,VBN,O
by,RB,O
making,IN,O
it,NN,O
subject,CD,O
to,IN,O
the,VBG,O
provisions,PRP,O
of,JJ,O
entry,TO,O
92a,DT,O
of,NNS,O
list,IN,O
i,NN,O
should,CD,O
not,IN,O
be,NN,O
read,NN,O
in,MD,O
entry,RB,O
53,VB,O
it,VBN,O
was,IN,O
submitted,NN,O
that,CD,O
so,PRP,O
far,VBD,O
as,VBN,O
sale,IN,O
of,RB,O
electricity,RB,O
is,IN,O
concerned,NN,O
even,IN,O
if,NN,O
such,VBZ,O
sale,VBN,O
takes,RB,O
place,IN,O
in,JJ,O
the,NN,O
course,VBZ,O
of,NN,O
inter,IN,B-LEGAL
