hl,NN,O
the,NN,O
act,MD,O
1963,VB,O
44,DT,O
section,NN,O
5,IN,O
of,DT,O
the,NN,O
act,CD,O
1963,CD,O
is,NN,O
the,CD,O
charging,IN,O
provision,DT,O
with,NN,O
regard,CD,O
to,VBZ,O
imposition,DT,O
of,VBG,O
sales,NN,O
tax,IN,O
it,NN,O
envisages,TO,O
levy,NN,O
of,IN,O
tax,NNS,O
on,NN,O
sale,PRP,O
or,VBZ,O
purchase,NN,O
of,IN,O
goods,NN,O
by,IN,O
a,NN,O
dealer,CC,O
section,NN,O
51,IN,O
of,NNS,O
the,IN,O
act,DT,O
1963,NN,O
imposes,NN,O
liability,CD,O
on,IN,O
every,DT,O
dealer,NN,O
whose,CD,O
total,VBZ,O
turnover,NN,O
for,IN,O
one,DT,O
year,NN,O
is,WP$,O
not,JJ,O
less,NN,O
than,IN,O
two,CD,O
lakh,NN,O
rupees,VBZ,O
section,RB,O
51i,JJR,O
enumerates,IN,O
tax,CD,O
liability,JJ,O
in,NNS,O
case,NN,O
of,CD,O
goods,NNS,O
specified,NN,O
in,NN,O
the,IN,O
first,NN,O
or,IN,O
second,NNS,O
schedule,VBN,O
to,IN,O
the,DT,O
act,JJ,O
1963,CC,O
at,JJ,O
the,NN,O
rates,TO,O
and,DT,O
only,NN,O
at,CD,O
the,IN,O
points,DT,O
specified,NNS,O
against,CC,O
such,RB,O
goods,IN,O
in,DT,O
the,NNS,O
said,VBN,O
schedules,IN,O
serial,JJ,O
no,NNS,O
84i,IN,O
of,DT,O
the,VBD,O
first,NNS,O
schedule,JJ,O
stipulates,DT,O
the,CD,O
rate,IN,O
of,DT,O
tax,JJ,O
payable,NN,O
on,VBZ,O
sale,DT,O
of,NN,O
inter,IN,O
alia,NN,O
machinery,NN,O
in,IN,O
this,NN,O
regard,IN,O
the,NN,O
point,JJ,O
of,NN,O
levy,IN,O
of,DT,O
sales,NN,O
tax,DT,O
is,NN,O
at,IN,O
the,NN,O
point,IN,O
of,NNS,O
first,NN,O
sale,VBZ,O
in,IN,O
the,DT,O
state,NN,O
by,IN,O
a,JJ,O
dealer,NN,O
who,IN,O
is,DT,O
liable,NN,O
to,IN,O
tax,DT,O
under,NN,O
section,WP,O
5,VBZ,O
of,JJ,O
the,TO,O
act,NN,O
1963,IN,O
45,NN,O
thus,CD,O
pursuant,IN,O
to,DT,O
section,NN,O
5,CD,O
of,CD,O
the,RB,O
act,NN,O
1963,TO,O
in,NN,O
the,CD,O
case,IN,O
of,DT,O
goods,NN,O
specified,CD,O
in,IN,O
the,DT,O
first,NN,O
and,IN,O
second,NNS,O
schedule,VBN,O
the,IN,O
single,DT,O
point,JJ,O
tax,CC,O
could,JJ,O
be,NN,O
levied,DT,O
only,JJ,O
at,NN,O
the,NN,O
rates,MD,O
and,VB,O
points,VBN,O
specified,RB,O
against,IN,O
such,DT,O
goods,NNS,O
in,CC,O
the,NNS,O
said,VBN,O
schedules,IN,O
the,JJ,O
first,NNS,O
schedule,IN,O
specifies,DT,O
that,VBD,O
the,NNS,O
point,DT,O
of,JJ,O
levy,NN,O
of,NNS,O
tax,IN,O
for,DT,O
the,NN,O
goods,IN,O
in,NN,O
question,IN,O
could,NN,O
be,IN,O
only,DT,O
at,NNS,O
the,IN,O
point,NN,O
of,MD,O
first,VB,O
sale,RB,O
in,IN,O
the,DT,O
state,NN,O
by,IN,O
a,JJ,O
dealer,NN,O
in,IN,O
the,DT,O
instant,NN,O
case,IN,O
the,DT,O
dealer,NN,O
under,IN,O
the,DT,O
act,JJ,O
1963,NN,O
would,DT,O
be,NN,O
liable,IN,O
to,DT,O
pay,NN,O
sales,CD,O
tax,MD,O
for,VB,O
the,JJ,O
machinery,TO,O
sold,VB,O
at,NNS,O
the,NN,O
point,IN,O
of,DT,O
first,NN,O
sale,VBN,O
as,IN,O
per,DT,O
section,NN,O
5,IN,O
read,JJ,O
with,NN,O
the,IN,O
first,IN,O
schedule,NN,O
of,CD,O
the,NN,O
act,IN,O
1963,DT,O
in,JJ,O
light,NN,O
of,IN,O
the,DT,O
above,NN,O
we,CD,O
are,IN,O
of,NN,O
the,IN,O
considered,DT,O
opinion,IN,O
that,PRP,O
the,VBP,O
transaction,IN,O
in,DT,O
question,VBN,O
in,NN,O
the,IN,O
present,DT,O
appeal,NN,O
would,IN,O
be,NN,O
exigible,IN,O
to,DT,O
tax,JJ,O
under,NN,O
section,MD,O
51,VB,O
of,JJ,O
the,TO,O
act,NN,O
1963,IN,O
46,NN,O
section,CD,O
5,IN,O
a,DT,O
of,NN,O
the,CD,O
act,CD,O
1963,NN,O
stipulates,CD,O
certain,DT,O
situations,IN,O
wherein,DT,O
purchase,NN,O
tax,CD,O
could,VBZ,O
be,JJ,O
imposed,NNS,O
on,VBP,O
any,NN,O
dealer,NN,O
who,MD,O
purchases,VB,O
any,VBN,O
goods,IN,O
either,DT,O
from,NN,O
a,WP,O
registered,NNS,O
dealer,DT,O
or,NNS,O
from,CC,O
any,IN,O
other,DT,O
person,JJ,O
the,NN,O
sale,CC,O
or,IN,O
purchase,DT,O
of,JJ,O
which,NN,O
is,DT,O
liable,NN,O
to,CC,O
tax,NN,O
under,IN,O
act,WDT,O
1963,VBZ,O
the,JJ,O
aforesaid,TO,O
provision,NN,O
however,IN,O
will,NN,O
apply,CD,O
only,DT,O
in,NN,O
circumstances,NN,O
when,RB,O
no,MD,O
tax,VB,O
is,RB,O
payable,IN,O
under,NNS,O
sub,WRB,O
sections,DT,O
1,NN,O
3,VBZ,O
4,JJ,O
5,IN,O
of,JJ,O
section,NNS,O
5,CD,O
however,CD,O
as,CD,O
noticed,CD,O
hereinabove,IN,O
the,NN,O
given,CD,O
transaction,RB,O
is,IN,O
exigible,VBN,O
to,IN,O
tax,DT,O
under,VBN,O
section,NN,O
51,VBZ,O
of,JJ,O
the,TO,O
act,NN,O
1963,IN,O
and,NN,O
therefore,CD,O
tax,IN,O
liability,DT,O
under,NN,O
section,CD,O
5a,CC,O
of,RB,O
the,NN,O
act,NN,O
1963,IN,O
would,NN,O
not,CD,O
apply,IN,O
to,DT,O
the,NN,O
said,CD,O
transaction,MD,O
47,RB,O
before,VB,O
delving,TO,O
into,DT,O
whether,VBD,O
the,NN,O
official,CD,O
liquidator,IN,O
could,VBG,O
also,IN,O
be,IN,O
treated,DT,O
as,JJ,O
a,NN,O
dealer,MD,O
under,RB,O
the,VB,O
act,VBN,O
1963,IN,O
it,DT,O
would,NN,O
be,IN,O
apposite,DT,O
to,NN,O
take,CD,O
into,PRP,O
account,MD,O
the,VB,O
powers,JJ,O
of,TO,O
the,VB,O
official,IN,O
liquidator,NN,O
as,DT,O
provided,NNS,O
under,IN,O
the,DT,O
act,JJ,O
1956,NN,O
the,IN,O
official,VBN,O
liquidator,IN,O
in,DT,O
generic,NN,O
terms,CD,O
is,DT,O
an,JJ,O
officer,NN,O
appointed,IN,O
to,JJ,O
conduct,NNS,O
the,VBZ,O
proceedings,DT,O
and,NN,O
to,VBN,O
assist,TO,O
the,VB,O
court,DT,O
in,NNS,O
the,CC,O
winding,TO,O
up,VB,O
of,DT,O
a,NN,O
company,IN,B-LEGAL
48,DT,O
in,VBG,O
a,RP,O
ramaiya,IN,O
guide,DT,O
to,NN,O
the,CD,O
companies,IN,O
act,DT,O
16th,NN,O
edition,NN,O
2004,TO,O
while,DT,O
interpreting,NNS,O
the,VBP,O
powers,CD,O
of,NN,O
the,CD,O
official,IN,O
liquidator,VBG,O
under,DT,O
section,NNS,O
457,IN,O
of,DT,O
the,JJ,O
act,NN,O
1956,IN,O
observed,NN,O
as,CD,O
follows,IN,O
a,DT,O
liquidator,NN,O
is,CD,O
an,VBD,O
agent,IN,O
employed,VBZ,O
for,DT,O
the,NN,O
purpose,VBZ,O
of,DT,O
winding,JJ,O
up,NN,O
of,IN,O
the,DT,O
company,NN,B-LEGAL
his,IN,O
principal,VBG,O
duties,IN,O
are,IN,O
to,DT,O
take,NN,O
possession,PRP$,O
of,JJ,O
assets,NNS,O
to,VBP,O
make,TO,O
out,VB,O
the,NN,O
requisite,IN,O
lists,NNS,O
of,TO,O
contributors,VB,O
and,RP,O
of,DT,O
creditors,JJ,B-LEGAL
to,NNS,O
have,IN,O
disputed,NNS,O
cases,CC,O
adjudicated,IN,O
upon,NNS,O
to,TO,O
realise,VB,O
the,VBN,O
assets,NNS,O
subject,VBD,O
to,IN,O
the,TO,O
control,VB,O
of,DT,O
the,NNS,O
court,VBP,O
in,TO,O
certain,DT,O
matters,NN,O
and,IN,O
to,DT,O
apply,NN,O
the,IN,O
proceeds,JJ,O
on,NNS,O
the,CC,O
payments,TO,O
of,VB,O
the,DT,O
company,NNS,B-LEGAL
s,IN,O
debts,DT,O
and,NNS,O
liabilities,IN,O
in,DT,O
due,NN,O
course,NN,O
of,NNS,O
administration,CC,O
and,NNS,O
having,IN,O
done,JJ,O
that,NN,O
to,IN,O
divide,NN,O
the,CC,O
surplus,VBG,O
amongst,VBN,O
the,DT,O
contributories,TO,B-LEGAL
and,VB,O
to,DT,O
adjust,NN,O
their,VBZ,O
rights,DT,O
49,NNS,O
section,CC,O
4573,TO,O
of,VB,O
the,PRP$,O
act,NNS,O
1956,CD,O
expressly,NN,O
states,CD,O
that,IN,O
the,DT,O
powers,NN,O
of,CD,O
the,RB,O
liquidator,VBZ,O
are,IN,O
subject,DT,O
to,NNS,O
control,IN,O
by,DT,O
the,NN,O
court,VBP,O
the,JJ,O
powers,TO,O
conferred,VB,O
upon,IN,O
the,DT,O
liquidator,NN,O
can,DT,O
be,NNS,O
exercised,VBD,O
by,IN,O
him,DT,O
alone,NN,O
and,MD,O
he,VB,O
cannot,VBN,O
authorise,IN,O
any,PRP,O
other,RB,O
person,CC,O
to,PRP,O
exercise,MD,O
those,RB,O
powers,VB,O
the,DT,O
expression,JJ,O
control,NN,O
by,TO,O
court,VB,O
was,DT,O
discussed,NNS,O
by,DT,O
this,NN,O
court,NN,O
in,IN,O
navlakha,NN,O
and,VBD,O
sons,VBN,O
v,IN,O
ramanuja,DT,O
das,NN,O
manu,IN,O
sc,NN,O
0614,CC,O
1969manu,NNS,O
sc,VBP,O
0614,JJ,O
1969,NNS,O
1969,VBP,O
3,JJ,O
scc,CD,O
537,CD,O
wherein,NN,O
it,CD,O
was,CD,O
observed,CD,O
that,CD,O
when,NN,O
the,CD,O
liquidator,NN,O
exercises,PRP,O
or,VBD,O
proposes,VBN,O
to,IN,O
exercise,WRB,O
any,DT,O
of,NN,O
the,VBZ,O
powers,CC,O
a,VBZ,O
creditor,TO,O
or,VB,O
contributory,DT,B-LEGAL
may,IN,O
apply,DT,O
to,NNS,O
the,DT,O
court,NN,O
with,CC,O
respect,NN,O
of,MD,O
such,VB,O
exercise,TO,O
it,DT,O
is,NN,O
the,IN,O
duty,NN,O
of,IN,O
the,JJ,O
court,NN,O
to,PRP,O
safeguard,VBZ,O
the,DT,O
interests,NN,O
of,IN,O
the,DT,O
company,NN,B-LEGAL
and,TO,O
its,VB,O
creditors,DT,B-LEGAL
and,NNS,O
satisfy,IN,O
itself,DT,O
with,NN,O
the,CC,O
adequacy,PRP$,O
of,NNS,O
the,CC,O
price,VB,O
fetched,PRP,O
it,IN,O
may,DT,O
also,NN,O
be,IN,O
appropriate,DT,O
to,NN,O
consider,VBD,O
rule,PRP,O
232,MD,O
of,RB,O
the,VB,O
rules,JJ,O
1959,TO,O
which,VB,O
enumerates,NN,O
the,CD,O
duty,IN,O
of,DT,O
an,NNS,O
official,CD,O
liquidator,WDT,O
in,VBZ,O
the,DT,O
collection,NN,O
and,IN,O
application,DT,O
of,JJ,O
the,NN,O
assets,IN,O
of,DT,O
the,NN,O
company,CC,B-LEGAL
which,NN,O
is,IN,O
discharged,DT,O
by,NNS,O
him,IN,O
as,DT,O
an,NN,O
officer,WDT,O
of,VBZ,O
the,VBN,O
court,IN,O
50,PRP,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
hari,DT,O
prasad,NN,O
jayantilal,CD,O
and,IN,O
co,DT,O
v,NN,O
vs,IN,O
gupta,NN,O
income,NN,O
tax,NN,O
officer,CC,O
ahmedabad,NN,O
and,NN,O
anr,NN,O
manu,JJ,O
sc,NN,O
0144,NN,O
1965manu,NN,O
sc,NN,O
0144,CC,O
1965,JJ,O
air,NN,O
1966,NN,O
sc,CD,O
1481,CD,O
this,NN,O
court,CD,O
held,CD,O
that,NN,O
the,CD,O
liquidator,NN,O
is,CD,O
merely,DT,O
an,NN,O
agent,VBD,O
of,IN,O
the,DT,O
company,NN,B-LEGAL
to,VBZ,O
administer,RB,O
its,DT,O
property,NN,O
for,IN,O
the,DT,O
purposes,NN,O
prescribed,TO,O
by,VB,O
the,PRP$,O
act,NN,O
1956,IN,O
the,DT,O
court,NNS,O
held,VBN,O
that,IN,O
while,DT,O
distributing,NN,O
the,CD,O
assets,DT,O
including,NN,O
accumulated,VBD,O
profits,IN,O
the,IN,O
liquidator,VBG,O
acts,DT,O
merely,NNS,O
as,VBG,O
an,JJ,O
agent,NNS,O
or,DT,O
administrator,NN,O
for,VBZ,O
and,RB,O
on,IN,O
behalf,DT,O
of,NN,O
the,CC,O
company,NN,B-LEGAL
the,IN,O
court,CC,O
observed,IN,O
as,NN,O
follows,IN,O
7,DT,O
the,NN,O
property,DT,O
of,NN,O
the,VBD,O
company,IN,B-LEGAL
does,VBZ,O
not,CD,O
vest,DT,O
in,NN,O
the,IN,O
liquidator,DT,O
it,NN,O
continues,VBZ,O
to,RB,O
remain,VB,O
vested,IN,O
in,DT,O
the,NN,O
company,PRP,B-LEGAL
on,VBZ,O
the,TO,O
appointment,VB,B-LEGAL
of,JJ,O
a,IN,O
liquidator,DT,O
all,NN,O
the,IN,O
powers,DT,O
of,NN,O
the,IN,O
board,DT,O
of,NN,O
directors,PDT,O
and,DT,O
of,NNS,O
the,IN,O
managing,DT,O
or,NN,O
whole,IN,O
time,NNS,O
directors,CC,O
managing,IN,O
agents,DT,O
secretaries,NN,O
and,CC,O
treasurers,JJ,O
cease,NN,O
section,NNS,O
491,VBG,O
and,NNS,O
the,NNS,O
liquidator,CC,O
may,NNS,O
exercise,VBP,O
the,NN,O
powers,CD,O
mentioned,CC,O
in,DT,O
section,NN,O
512,MD,O
including,VB,O
the,DT,O
power,NNS,O
to,VBN,O
did,IN,O
such,NN,O
things,CD,O
as,VBG,O
may,DT,O
be,NN,O
necessary,TO,O
for,VBD,O
winding,JJ,O
up,NNS,O
the,IN,O
affairs,MD,O
of,VB,O
the,JJ,O
company,IN,B-LEGAL
and,VBG,O
distributing,RP,O
its,DT,O
assets,NNS,O
the,IN,O
liquidator,DT,O
appointed,NN,O
in,CC,O
a,VBG,O
members,PRP$,O
winding,NNS,O
up,DT,O
is,NN,O
merely,VBN,O
an,IN,O
agent,DT,O
of,NNS,O
the,VBG,O
company,RP,B-LEGAL
to,VBZ,O
administer,RB,O
the,DT,O
property,NN,O
of,IN,O
the,DT,O
company,NN,B-LEGAL
for,TO,O
purpose,VB,O
prescribed,DT,O
by,NN,O
the,IN,O
statute,DT,O
in,NN,O
distributing,IN,O
the,NN,O
assets,VBN,O
including,IN,O
accumulated,DT,O
profits,NN,O
the,IN,O
liquidator,VBG,O
acts,DT,O
merely,NNS,O
as,VBG,O
an,JJ,O
agent,NNS,O
or,DT,O
administrator,NN,O
for,VBZ,O
and,RB,O
on,IN,O
behalf,DT,O
of,NN,O
the,CC,O
company,NN,B-LEGAL
51,IN,O
in,CC,O
ajay,IN,O
g,NN,O
podar,IN,O
v,DT,O
official,NN,O
liquidator,CD,O
of,IN,O
js,JJ,O
and,NN,O
wm,NN,O
and,NN,O
ors,JJ,O
manu,NN,O
sc,IN,O
7858,NN,O
2008manu,CC,O
sc,NN,O
7858,CC,O
2008,NNS,O
2008,VBP,O
14,JJ,O
scc,CD,O
17,CD,O
this,NN,O
court,CD,O
considered,CD,O
the,CD,O
question,CD,O
pertaining,NN,O
to,CD,O
bar,DT,O
of,NN,O
limitation,VBD,O
under,DT,O
the,NN,O
act,VBG,O
1956,TO,O
for,NN,O
misfeasance,IN,O
proceedings,NN,O
filed,IN,O
by,DT,O
the,NN,O
official,CD,O
liquidator,IN,O
while,NN,O
discussing,NNS,O
the,VBN,O
powers,IN,O
of,DT,O
the,JJ,O
official,NN,O
liquidator,IN,O
under,VBG,O
section,DT,O
4571,NNS,O
of,IN,O
the,DT,O
act,JJ,O
1956,NN,O
the,IN,O
court,NN,O
was,CD,O
of,IN,O
the,DT,O
view,NN,O
that,CD,O
the,DT,O
official,NN,O
liquidator,VBD,O
must,IN,O
be,DT,O
authorised,NN,O
to,IN,O
take,DT,O
steps,JJ,O
for,NN,O
recovery,MD,O
of,VB,O
assets,VBN,O
by,TO,O
the,VB,O
company,NNS,B-LEGAL
court,IN,I-LEGAL
under,NN,O
the,IN,O
winding,NNS,O
up,IN,O
order,DT,O
and,NN,O
the,NN,O
said,IN,O
proceedings,DT,O
must,VBG,O
be,RP,O
initiated,NN,O
in,CC,O
the,DT,O
name,VBD,O
of,NNS,O
the,MD,O
company,VB,B-LEGAL
and,VBN,O
on,IN,O
behalf,DT,O
of,NN,O
the,IN,O
company,DT,B-LEGAL
to,NN,O
be,CC,O
wound,IN,O
up,NN,O
this,IN,O
court,DT,O
had,NN,O
further,TO,O
opined,VB,O
that,VBN,O
the,RP,O
official,DT,O
liquidator,NN,O
derives,VBD,O
his,RBR,O
authority,VBN,B-LEGAL
from,IN,O
the,DT,O
provisions,JJ,O
of,NN,O
the,VBZ,O
act,PRP$,O
1956,NN,O
52,IN,O
it,DT,O
would,NNS,O
be,IN,O
beneficial,DT,O
to,NN,O
notice,CD,O
the,CD,O
views,PRP,O
of,MD,O
courts,VB,O
in,JJ,O
england,TO,O
insofar,VB,O
as,DT,O
powers,NNS,O
of,IN,O
the,NNS,O
official,IN,O
liquidator,NN,O
during,NN,O
winding,IN,O
up,NNS,O
proceedings,IN,O
in,DT,O
re,JJ,O
mesco,NN,O
properties,IN,O
manu,VBG,O
ukwa,RP,O
0017,NNS,O
1979,IN,O
1980,NN,O
1,NN,O
all,NNS,O
er,VBP,O
117,JJ,O
the,CD,O
court,CD,O
of,CD,O
appeal,CD,O
was,DT,O
ascertaining,NN,O
as,CD,O
to,DT,O
whether,NN,O
a,IN,O
company,NN,B-LEGAL
could,VBD,O
incur,VBG,O
tax,IN,O
liability,TO,O
in,IN,O
consequence,DT,O
of,NN,O
the,MD,O
realization,VB,O
of,NN,O
its,NN,O
assets,IN,O
after,NN,O
a,IN,O
winding,DT,O
up,NN,O
order,IN,O
was,PRP$,O
passed,NNS,O
and,IN,O
whether,DT,O
the,VBG,O
official,RP,O
liquidator,NN,O
was,VBD,O
the,VBN,O
proper,CC,O
officer,IN,O
to,DT,O
incur,JJ,O
such,NN,O
liability,VBD,O
the,DT,O
court,JJ,O
in,NN,O
the,TO,O
re,VB,O
mesco,JJ,O
properties,NN,O
case,DT,O
supra,NN,O
at,IN,O
p,DT,O
120,NN,O
observed,NN,O
as,NNS,O
follows,NN,O
it,NN,O
must,IN,O
in,$,O
my,CD,O
view,VBN,O
be,IN,O
open,VBZ,O
to,PRP,O
a,MD,O
liquidator,IN,O
to,PRP$,O
apply,NN,O
to,VB,O
the,JJ,O
court,TO,O
for,DT,O
guidance,NN,O
upon,TO,O
the,VB,O
question,TO,O
whether,DT,O
if,NN,O
he,IN,O
discharges,NN,O
a,IN,O
certain,DT,O
liability,NN,O
of,IN,O
the,IN,O
company,PRP,B-LEGAL
in,VBZ,O
liquidation,DT,O
the,JJ,O
payment,NN,O
will,IN,O
be,DT,O
a,NN,O
necessary,IN,O
disbursement,NN,O
within,DT,O
the,NN,O
meaning,MD,O
of,VB,O
rule,DT,O
195,JJ,O
that,NN,O
is,IN,O
what,DT,O
the,NN,O
liquidator,IN,O
is,NN,O
doing,CD,O
in,WDT,O
this,VBZ,O
case,WP,O
the,DT,O
company,NN,B-LEGAL
is,VBZ,O
liable,VBG,O
for,IN,O
the,DT,O
tax,NN,O
which,DT,O
is,NN,O
due,VBZ,O
the,JJ,O
tax,IN,O
ought,DT,O
to,NN,O
be,WDT,O
paid,VBZ,O
the,JJ,O
liquidator,DT,O
is,NN,O
the,MD,O
proper,TO,O
officer,VB,O
to,VBN,O
pay,DT,O
it,NN,O
when,VBZ,O
he,DT,O
pays,JJ,O
it,NN,O
he,TO,O
will,VB,O
clearly,PRP,O
make,WRB,O
a,PRP,O
disbursement,VBZ,O
in,PRP,O
my,PRP,O
judgment,MD,O
it,RB,O
will,VB,O
be,DT,O
a,NN,O
necessary,IN,O
disbursement,PRP$,O
within,NN,O
the,PRP,O
meaning,MD,O
of,VB,O
the,DT,O
rule,JJ,O
moreover,NN,O
common,IN,O
sense,DT,O
and,NN,O
justice,IN,O
seem,DT,O
to,NN,O
me,RB,O
to,JJ,O
require,NN,O
that,CC,O
it,NN,O
should,VBP,O
be,TO,O
discharged,PRP,O
in,TO,O
full,VB,O
in,IN,O
priority,PRP,O
to,MD,O
the,VB,O
unsecured,VBN,O
creditors,IN,B-LEGAL
and,JJ,O
to,IN,O
any,NN,O
expenses,TO,O
which,DT,O
rank,JJ,O
lower,NNS,O
in,CC,O
priority,TO,O
under,DT,O
rule,NNS,O
195,WDT,O
the,VBP,O
tax,JJR,O
is,IN,O
a,NN,O
consequence,IN,O
of,NN,O
the,CD,O
realisation,DT,O
of,NN,O
the,VBZ,O
assets,DT,O
in,NN,O
the,IN,O
course,DT,O
of,NN,O
the,IN,O
winding,DT,O
up,NNS,O
of,IN,O
the,DT,O
company,NN,B-LEGAL
that,IN,O
realisation,DT,O
was,VBG,O
a,IN,O
necessary,IN,O
step,DT,O
in,NN,O
the,WDT,O
liquidation,NN,O
that,VBD,O
is,DT,O
to,JJ,O
say,NN,O
in,IN,O
the,DT,O
administration,NN,O
of,WDT,O
the,VBZ,O
insolvent,TO,O
estate,VB,O
the,IN,O
fact,DT,O
that,NN,O
in,IN,O
the,DT,O
event,JJ,O
there,NN,O
may,DT,O
be,NN,O
nothing,IN,O
available,IN,O
for,DT,O
the,NN,O
unsecured,EX,O
creditors,MD,B-LEGAL
does,VB,O
not,NN,O
in,JJ,O
my,IN,O
view,DT,O
mean,JJ,O
that,NNS,O
the,VBZ,O
realisation,RB,O
was,IN,O
not,PRP$,O
a,NN,O
step,VBP,O
taken,IN,O
in,DT,O
the,NN,O
interests,VBD,O
of,RB,O
all,DT,O
who,NN,O
have,VBN,O
claims,IN,O
against,DT,O
the,NNS,O
company,IN,B-LEGAL
those,DT,O
claims,WP,O
must,VBP,O
necessarily,NNS,O
be,IN,O
met,DT,O
out,NN,O
of,DT,O
the,NNS,O
available,MD,O
assets,RB,O
in,VB,O
due,VBN,O
order,IN,O
of,IN,O
priority,DT,O
superior,JJ,O
claims,NNS,O
may,IN,O
baulk,JJ,O
inferior,NN,O
ones,IN,O
but,NN,O
the,JJ,O
liquidator,NNS,O
s,MD,O
duty,VB,O
is,JJ,O
to,NNS,O
realise,CC,O
the,DT,O
assets,NN,O
for,NN,O
the,NN,O
benefit,VBZ,O
of,TO,O
all,VB,O
in,DT,O
accordance,NNS,O
with,IN,O
their,DT,O
rights,NN,O
if,IN,O
in,DT,O
consequence,IN,O
of,NN,O
the,IN,O
realisation,PRP$,O
the,NNS,O
company,IN,B-LEGAL
incurs,IN,O
a,NN,O
liability,IN,O
the,DT,O
discharge,NN,O
of,DT,O
such,NN,O
liability,VBZ,O
must,DT,O
in,NN,O
my,DT,O
judgment,NN,O
constitute,IN,O
a,JJ,O
charge,NN,B-LEGAL
or,MD,O
expense,IN,O
incurred,PRP$,O
in,NN,O
the,NN,O
winding,DT,O
up,NN,O
within,CC,O
section,NN,O
267,VBN,O
of,IN,O
the,DT,O
companies,VBG,O
act,RP,O
1948,IN,O
and,NN,O
must,CD,O
also,IN,O
in,DT,O
my,NNS,O
view,VBP,O
fall,CD,O
within,CC,O
rule,MD,O
195,RB,O
53,IN,O
further,PRP$,O
the,NN,O
house,NN,O
of,IN,O
lords,NN,O
in,CD,O
ayerst,CD,O
inspector,RB,O
of,DT,O
taxes,NN,O
v,IN,O
c,NNS,O
and,IN,O
k,JJ,O
construction,NN,O
ltd,IN,O
1975,NNS,O
2,JJ,O
all,NNS,O
er,CC,O
537,JJ,O
held,NN,O
that,NN,O
a,CD,O
company,CD,B-LEGAL
pursuant,DT,O
to,VBP,O
a,CD,O
winding,VBD,O
up,IN,O
order,DT,O
ceases,NN,O
to,NN,O
have,TO,O
the,DT,O
custody,VBG,O
and,RP,O
control,NN,O
of,NNS,O
its,TO,O
assets,VB,O
which,DT,O
are,NN,O
thereafter,CC,O
administered,NN,O
exclusively,IN,O
for,PRP$,O
the,NNS,O
benefit,WDT,O
of,VBP,O
those,RB,O
persons,VBN,O
who,RB,O
are,IN,O
entitled,DT,O
to,NN,O
share,IN,O
in,DT,O
the,NNS,O
proceeds,WP,O
of,VBP,O
realisation,VBN,O
of,TO,O
the,NN,O
assets,IN,O
the,DT,O
house,NNS,O
of,IN,O
lords,NN,O
elaborately,IN,O
discussed,DT,O
the,NNS,O
role,DT,O
of,NN,O
the,IN,O
official,NNS,O
liquidator,RB,O
in,VBD,O
this,DT,O
regard,NN,O
and,IN,O
observed,DT,O
at,JJ,O
p,NN,O
177,IN,O
as,DT,O
follows,NN,O
the,CC,O
functions,VBD,O
of,IN,O
the,JJ,O
liquidator,CD,O
are,IN,O
thus,VBZ,O
similar,DT,O
to,NNS,O
those,IN,O
of,DT,O
a,NN,O
trustee,VBP,O
formerly,RB,O
official,JJ,O
assignee,TO,O
in,DT,O
bankruptcy,IN,B-LEGAL
or,DT,O
an,NN,O
executor,RB,O
in,JJ,O
the,NN,O
administration,IN,O
of,NN,O
an,CC,O
estate,DT,O
of,NN,O
a,IN,O
deceased,DT,O
person,NN,O
there,IN,O
is,DT,O
however,NN,O
this,IN,O
difference,DT,O
that,JJ,O
whereas,NN,O
the,EX,O
legal,VBZ,O
title,RB,O
in,DT,O
the,NN,O
property,WDT,O
of,VBZ,O
the,DT,O
bankrupt,JJ,B-LEGAL
vests,NN,O
in,IN,O
the,DT,O
trustee,NN,O
and,IN,O
the,DT,O
legal,JJ,O
title,NNS,O
to,IN,O
property,DT,O
of,NN,O
the,CC,O
deceased,DT,O
vests,JJ,O
in,NN,O
the,TO,O
executor,NN,O
a,IN,O
winding,DT,O
up,JJ,O
order,NNS,O
does,IN,O
not,DT,O
of,NN,O
itself,DT,O
divest,VBG,O
the,RP,O
company,NN,B-LEGAL
of,VBZ,O
the,RB,O
legal,IN,O
title,PRP,O
to,VBP,O
any,DT,O
of,NN,O
its,IN,O
assets,DT,O
though,JJ,O
this,NN,O
is,TO,O
not,DT,O
expressly,IN,O
stated,PRP$,O
in,NNS,O
the,IN,O
act,DT,O
it,VBZ,O
is,RB,O
implicit,RB,O
in,VBN,O
the,IN,O
language,DT,O
used,NN,O
throughout,PRP,O
part,VBZ,O
v,JJ,O
particularly,IN,O
in,DT,O
sections,NN,O
243,VBN,O
to,IN,O
246,NN,O
which,VBP,O
relate,RB,O
to,IN,O
the,NNS,O
powers,CD,O
of,TO,O
liquidators,CD,O
and,WDT,O
refer,NN,O
to,TO,O
property,DT,O
to,NNS,O
which,IN,O
the,NNS,O
company,CC,B-LEGAL
is,VBP,O
entitled,TO,O
to,NN,O
property,TO,O
belonging,WDT,O
to,DT,O
the,NN,O
company,VBZ,B-LEGAL
to,VBN,O
assets,TO,O
of,NN,O
the,NN,O
company,TO,B-LEGAL
and,DT,O
to,NN,O
acts,TO,O
to,NNS,O
be,IN,O
done,DT,O
by,NN,O
the,CC,O
liquidator,TO,O
in,NNS,O
the,TO,O
name,VB,O
and,VBN,O
