rp,NN,O
the,DT,O
facts,NN,O
of,VBD,O
the,IN,O
case,DT,O
were,NNS,O
covered,IN,O
by,DT,O
the,NN,O
decisions,VBD,O
of,VBN,O
this,IN,O
court,DT,O
in,NNS,O
lic,IN,O
s,DT,O
case,NN,O
and,IN,O
guntur,JJ,O
town,NN,O
rate,NN,O
payer,CC,O
s,JJ,O
case,NN,O
suprathe,NN,O
landlord,NN,O
cannot,NN,O
reasonably,NN,O
expect,NN,O
to,NN,O
get,MD,O
more,RB,O
rent,VB,O
than,VB,O
the,TO,O
standard,VB,B-LEGAL
rent,RBR,I-LEGAL
payable,NN,O
in,IN,O
accordance,DT,O
with,JJ,O
the,NN,O
principles,JJ,O
laid,IN,O
down,NN,O
in,IN,O
the,DT,O
rent,NNS,O
control,VBP,O
act,RB,O
in,IN,O
a,DT,O
case,NN,O
where,NN,O
the,NN,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
of,NN,O
the,WRB,O
building,DT,O
has,JJ,O
not,NN,O
been,IN,O
fixed,DT,O
by,NN,O
the,VBZ,O
controller,RB,O
the,VBN,O
assessing,VBN,O
authority,IN,O
has,DT,O
to,NN,O
arrive,DT,O
at,VBG,O
its,NN,O
own,VBZ,O
figures,TO,O
of,VB,O
standard,IN,B-LEGAL
rent,PRP$,I-LEGAL
by,JJ,O
applying,NNS,O
the,IN,O
principles,JJ,O
laid,NN,O
down,IN,O
in,VBG,O
the,DT,O
rent,NNS,O
act,VBP,O
such,RB,O
a,IN,O
task,DT,O
has,NN,O
to,NN,O
be,PDT,O
performed,DT,O
by,NN,O
the,VBZ,O
assessing,TO,O
authority,VB,O
as,VBN,O
a,IN,O
part,DT,O
of,VBG,O
process,NN,O
of,IN,O
assessment,DT,B-LEGAL
and,NN,O
in,IN,O
doing,NN,O
do,IN,O
it,NN,O
does,CC,O
not,IN,O
usurp,VBG,O
the,VBP,O
functions,PRP,O
of,VBZ,O
the,RB,O
rent,VB,O
controller,DT,O
because,NNS,O
it,IN,O
does,DT,O
not,NN,O
fix,NN,O
the,IN,O
standard,PRP,B-LEGAL
rent,VBZ,I-LEGAL
which,RB,O
would,VB,O
be,DT,O
binding,NN,O
between,NN,O
the,WDT,O
landlord,MD,O
and,VB,O
tenant,VBG,O
but,IN,O
merely,DT,O
arrives,NN,O
at,CC,O
an,NN,O
estimate,CC,O
of,RB,O
standard,VBZ,B-LEGAL
rent,IN,I-LEGAL
for,DT,O
the,NN,O
purposes,IN,O
of,JJ,O
determining,NN,O
the,IN,O
annual,DT,B-LEGAL
value,NNS,I-LEGAL
of,IN,O
the,VBG,O
building,DT,O
the,JJ,O
court,NN,O
referred,IN,O
to,DT,O
section,NN,O
2k,DT,O
of,NN,O
the,VBD,O
delhi,TO,O
rent,VB,O
control,CD,O
act,IN,O
1958,DT,O
which,JJ,O
defines,NN,O
the,NN,O
standard,NN,B-LEGAL
rent,CD,I-LEGAL
sub,WDT,O
section,VBZ,O
1of,DT,O
section,JJ,O
4,NN,O
of,NN,O
the,NN,O
delhi,CD,O
rent,NN,O
control,CD,O
act,IN,O
provided,DT,O
that,JJ,O
no,NN,O
tenant,NN,O
shall,NN,O
notwithstanding,VBD,O
any,IN,O
agreement,DT,O
to,NN,O
the,MD,O
contrary,VB,O
be,DT,O
liable,NN,O
to,TO,O
pay,DT,O
to,JJ,O
his,VB,O
landlord,JJ,O
for,TO,O
the,VB,O
occupation,TO,O
of,PRP$,O
any,NN,O
premises,IN,O
any,DT,O
amount,NN,O
in,IN,O
excess,DT,O
of,NNS,O
the,DT,O
standard,NN,B-LEGAL
rent,IN,I-LEGAL
of,NN,O
the,IN,O
premises,DT,O
and,JJ,O
sub,NN,O
section,IN,O
2,DT,O
of,NNS,O
section,CC,O
4,JJ,O
declares,NN,O
that,CD,O
subject,IN,O
to,NN,O
provisions,CD,O
of,NNS,O
sub,WDT,O
section1,VBP,O
any,TO,O
agreement,NNS,O
for,IN,O
the,JJ,O
payment,NN,O
of,DT,O
rent,NN,O
in,IN,O
excess,DT,O
of,NN,O
the,IN,O
standard,NN,B-LEGAL
rent,IN,I-LEGAL
shall,NN,O
be,IN,O
construed,DT,O
as,JJ,O
if,NN,O
it,MD,O
were,VB,O
an,VBN,O
agreement,IN,O
for,IN,O
the,PRP,O
payment,VBD,O
of,DT,O
the,NN,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
only,NN,O
section,IN,O
5,DT,O
sub,JJ,O
section,NN,O
1,RB,O
enacted,NN,O
a,CD,O
prohibition,NN,O
injuncting,NN,O
that,CD,O
no,VBD,O
person,DT,O
shall,NN,O
claim,VBG,O
or,IN,O
receive,DT,O
any,NN,O
rent,MD,O
in,VB,O
excess,CC,O
of,VB,O
the,DT,O
standard,NN,B-LEGAL
rent,IN,I-LEGAL
notwithstanding,NN,O
any,IN,O
agreement,DT,O
to,JJ,O
the,NN,O
contrary,VBG,O
section,DT,O
6,NN,O
proceeded,TO,O
to,DT,O
set,JJ,O
out,NN,O
different,CD,O
formulae,VBD,O
for,TO,O
determination,VB,O
of,RP,O
standard,JJ,B-LEGAL
rent,NN,I-LEGAL
in,IN,O
different,NN,O
classes,IN,O
of,JJ,O
cases,NN,O
section,IN,O
9,JJ,O
sub,NNS,O
section,IN,O
1,NNS,O
provided,NN,O
that,CD,O
the,NN,O
controller,NN,O
shall,CD,O
on,VBD,O
an,IN,O
application,DT,O
made,NN,O
to,MD,O
him,IN,O
either,DT,O
by,NN,O
the,VBD,O
landlord,TO,O
or,PRP,O
by,RB,O
the,IN,O
tenant,DT,O
fix,NN,O
in,CC,O
respect,IN,O
of,DT,O
any,NN,O
premises,NN,O
the,IN,O
standard,NN,B-LEGAL
rent,IN,I-LEGAL
referred,DT,O
to,NNS,O
in,DT,O
section,JJ,O
6,NN,O
and,VBD,O
sub,TO,O
section,IN,O
2,NN,O
of,CD,O
section,CC,O
9,JJ,O
laid,NN,O
down,CD,O
that,IN,O
in,NN,O
fixing,CD,O
the,VBD,O
standard,RB,B-LEGAL
rent,RB,I-LEGAL
of,IN,O
any,VBG,O
premises,DT,O
the,JJ,O
controller,NN,O
shall,IN,O
fix,DT,O
an,NNS,O
amount,DT,O
which,NN,O
appears,MD,O
to,VB,O
him,DT,O
to,NN,O
be,WDT,O
reasonable,VBZ,O
having,TO,O
regard,PRP,O
to,TO,O
the,VB,O
provisions,JJ,O
of,VBG,O
section,NN,O
6,TO,O
and,DT,O
the,NNS,O
circumstances,IN,O
of,NN,O
the,CD,O
case,CC,O
it,DT,O
appears,NNS,O
that,IN,O
in,DT,O
this,NN,O
case,PRP,O
the,VBZ,O
court,IN,O
did,IN,O
not,DT,O
directly,NN,O
deal,DT,O
with,NN,O
the,VBD,O
effect,RB,O
of,RB,O
a,VB,O
non,IN,O
obstante,DT,O
clause,NN,O
in,IN,O
the,DT,O
taxing,JJ,O
municipal,NN,O
law,NN,O
the,IN,O
case,DT,O
was,NN,O
found,JJ,O
to,NN,O
be,DT,O
nearer,NN,O
to,VBD,O
the,VBN,O
law,TO,O
settled,VB,O
in,VBN,O
lic,TO,O
s,DT,O
case,NN,O
and,VBD,O
guntur,IN,O
town,JJ,O
rate,NN,O
payee,NN,O
s,CC,O
case,JJ,O
supra,NN,O
dealing,NN,O
with,NN,O
the,NN,O
case,NN,O
for,VBD,O
the,VBG,O
determination,IN,O
of,DT,O
the,NN,O
annual,IN,B-LEGAL
value,DT,I-LEGAL
where,NN,O
no,IN,O
standard,DT,B-LEGAL
rent,JJ,I-LEGAL
has,NN,O
been,WRB,O
fixed,DT,O
the,JJ,O
court,NN,O
observed,VBZ,O
the,VBN,O
problem,VBN,O
can,DT,O
also,NN,O
be,VBD,O
looked,DT,O
at,NN,O
from,MD,O
a,RB,O
slightly,VB,O
different,VBN,O
angle,IN,O
when,IN,O
the,DT,O
rent,RB,O
control,JJ,O
legislation,NN,O
provides,WRB,O
for,DT,O
fixation,NN,O
of,NN,O
standard,NN,B-LEGAL
rent,VBZ,I-LEGAL
which,IN,O
alone,NN,O
and,IN,O
nothing,JJ,O
more,NN,O
than,WDT,O
which,RB,O
the,CC,O
tenant,NN,O
shall,JJR,O
be,IN,O
liable,WDT,O
to,DT,O
pay,NN,O
to,MD,O
the,VB,O
landlord,JJ,O
it,TO,O
does,VB,O
so,TO,O
because,DT,O
it,NN,O
considers,PRP,O
the,VBZ,O
measure,RB,O
of,IN,O
the,PRP,O
standard,VBZ,B-LEGAL
rent,DT,I-LEGAL
prescribed,NN,O
by,IN,O
it,DT,O
to,JJ,O
be,NN,O
reasonable,VBN,O
it,IN,O
lays,PRP,O
down,TO,O
the,VB,O
norm,JJ,O
of,PRP,O
reasonableness,VBZ,O
in,IN,O
regard,DT,O
to,NN,O
the,IN,O
rent,NN,O
payable,IN,O
by,NN,O
the,TO,O
tenant,DT,O
to,NN,O
the,JJ,O
landlord,IN,O
any,DT,O
rent,NN,O
which,TO,O
exceeds,DT,O
this,NN,O
norm,DT,O
of,NN,O
reasonableness,WDT,O
is,VBZ,O
regarded,DT,O
by,NN,O
the,IN,O
legislature,NN,O
as,VBZ,O
unreasonable,VBN,O
or,IN,O
excessive,DT,O
when,NN,O
the,IN,O
legislature,JJ,O
has,CC,O
laid,JJ,O
down,WRB,O
this,DT,O
standard,NN,O
of,VBZ,O
reasonableness,VBN,O
would,RP,O
it,DT,O
be,NN,O
right,IN,O
for,NN,O
the,MD,O
court,PRP,O
to,VB,O
say,JJ,O
that,IN,O
the,DT,O
landlord,NN,O
may,TO,O
reasonably,VB,O
expect,IN,O
to,DT,O
receive,NN,O
rent,MD,O
exceeding,VB,O
the,VB,O
measure,TO,O
provided,VB,O
by,NN,O
this,VBG,O
standard,DT,O
would,NN,O
it,VBN,O
be,IN,O
reasonable,DT,O
on,NN,O
the,MD,O
part,PRP,O
of,VB,O
the,JJ,O
landlord,IN,O
to,DT,O
expect,NN,O
to,IN,O
receive,DT,O
any,NN,O
rent,TO,O
in,VB,O
excess,TO,O
of,VB,O
the,DT,O
standard,NN,O
or,IN,O
norm,NN,O
of,IN,O
reasonableness,DT,O
laid,NN,O
down,CC,O
by,NN,O
the,IN,O
legislature,NN,O
and,VBN,O
would,RB,O
such,IN,O
expectation,DT,O
be,NN,O
countenanced,CC,O
by,MD,O
the,JJ,O
court,NN,O
as,VB,O
reasonable,VBN,O
the,IN,O
legislature,DT,O
obviously,NN,O
regards,IN,O
recovery,JJ,O
of,DT,O
rent,NN,O
in,RB,O
excess,JJ,O
of,NN,O
the,IN,O
standard,NN,B-LEGAL
rent,IN,I-LEGAL
as,NN,O
exploitative,IN,O
of,DT,O
the,JJ,O
tenant,NN,O
and,IN,O
would,NN,O
it,IN,O
be,DT,O
proper,NN,O
for,CC,O
the,MD,O
court,PRP,O
to,VB,O
say,JJ,O
that,IN,O
it,DT,O
would,NN,O
be,TO,O
reasonable,VB,O
on,IN,O
the,PRP,O
part,MD,O
of,VB,O
the,JJ,O
landlord,IN,O
to,DT,O
recover,NN,O
such,IN,O
exploitative,DT,O
rent,NN,O
from,TO,O
the,VB,O
tenant,JJ,O
we,JJ,O
are,NN,O
therefore,IN,O
of,DT,O
the,NN,O
view,PRP,O
that,VBP,O
even,RB,O
if,IN,O
the,DT,O
standard,NN,B-LEGAL
rent,IN,I-LEGAL
has,RB,O
not,IN,O
been,DT,O
fixed,JJ,O
by,NN,O
the,VBZ,O
controller,RB,O
the,VBN,O
landlord,VBN,O
cannot,IN,O
reasonably,DT,O
expect,NN,O
to,DT,O
receive,NN,O
from,MD,O
a,RB,O
hypothetical,VB,B-LEGAL
tenant,VB,I-LEGAL
anything,TO,O
more,VB,O
than,IN,O
the,DT,O
standard,JJ,B-LEGAL
rent,NN,I-LEGAL
determinable,NN,O
under,JJR,O
the,IN,O
act,DT,O
and,JJ,O
this,NN,O
would,JJ,O
be,IN,O
so,DT,O
equally,NN,O
whether,CC,O
the,DT,O
building,MD,O
has,VB,O
been,RB,O
let,RB,O
out,IN,O
to,DT,O
a,NN,O
tenant,VBZ,O
who,VBN,O
has,VBN,O
lost,RP,O
his,TO,O
right,DT,O
to,NN,O
apply,WP,O
for,VBZ,O
fixation,VBN,O
of,PRP$,O
the,NN,O
standard,TO,B-LEGAL
rent,VB,I-LEGAL
or,IN,O
the,NN,O
building,IN,O
is,DT,O
self,JJ,O
occupied,NN,O
by,CC,O
the,DT,O
owner,NN,O
the,VBZ,O
assessing,VBN,O
authority,VBN,O
would,IN,O
in,DT,O
either,NN,O
case,DT,O
have,JJ,O
to,NN,O
arrive,MD,O
at,IN,O
its,DT,O
own,NN,O
figure,VBP,O
of,TO,O
the,VB,O
standard,IN,B-LEGAL
rent,PRP$,I-LEGAL
by,JJ,O
applying,NN,O
principles,IN,O
laid,DT,O
down,JJ,O
in,NN,O
the,IN,O
delhi,VBG,O
rent,NNS,O
control,VBD,O
act,RB,O
1958,IN,O
for,DT,O
determination,JJ,O
of,NN,O
standard,NN,B-LEGAL
rent,NN,I-LEGAL
and,CD,O
determine,IN,O
the,NN,O
annual,IN,B-LEGAL
value,JJ,I-LEGAL
of,NN,O
the,CC,O
building,VB,O
on,DT,O
the,JJ,O
basis,NN,O
of,IN,O
such,DT,O
figure,NN,O
of,IN,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
18,IN,O
in,JJ,O
balbir,NN,O
singh,IN,O
s,JJ,O
case,NN,O
supra,CD,O
the,IN,O
court,NN,O
dealt,NN,O
with,NN,O
four,NN,O
different,VBD,O
categories,DT,O
of,NN,O
properties,VBD,O
namely,IN,O
i,CD,O
where,JJ,O
the,NNS,O
properties,IN,O
are,NNS,O
self,RB,O
occupied,VBP,O
that,WRB,O
is,DT,O
occupied,NNS,O
by,VBP,O
the,PRP,O
owners,JJ,O
ii,WDT,O
where,VBZ,O
the,VBN,O
properties,IN,O
are,DT,O
partly,NNS,O
self,VBP,O
occupied,WRB,O
and,DT,O
partly,NNS,O
tenanted,VBP,O
iii,RB,O
where,JJ,O
the,VBN,O
land,CC,O
on,RB,O
which,VBD,O
the,NN,O
property,WRB,O
is,DT,O
constructed,NN,O
is,IN,O
leasehold,WDT,O
land,DT,O
with,NN,O
a,VBZ,O
restriction,VBN,O
that,VBZ,O
the,JJ,O
leasehold,NN,O
interest,IN,O
shall,DT,O
not,NN,O
be,IN,O
transferable,DT,O
without,JJ,O
the,NN,O
approval,MD,O
of,RB,O
the,VB,O
lessor,JJ,O
and,IN,O
iv,DT,O
where,NN,O
the,IN,O
property,DT,O
has,NN,O
been,CC,O
constructed,NN,O
in,WRB,O
stages,DT,O
and,NN,O
to,VBZ,O
provide,VBN,O
a,VBN,O
criteria,IN,O
how,NNS,O
rate,CC,O
able,TO,O
value,VB,O
can,DT,O
be,JJ,O
determined,WRB,O
in,NN,O
respect,JJ,O
of,NN,O
those,MD,O
four,VB,O
categories,VBN,O
of,IN,O
properties,NN,O
relying,IN,O
upon,DT,O
dewan,CD,O
dault,NNS,O
raj,IN,O
kapoor,NNS,O
s,VBG,O
case,IN,O
it,JJ,O
was,NN,O
held,NN,O
that,NN,O
criteria,NN,O
for,NN,O
determining,PRP,O
the,VBD,O
rate,VBN,O
able,IN,O
value,NNS,O
of,IN,O
building,VBG,O
is,DT,O
the,NN,O
annual,JJ,B-LEGAL
rent,NN,I-LEGAL
which,IN,O
the,NN,O
owner,VBZ,O
might,DT,O
reasonably,JJ,O
expect,NN,O
to,WDT,O
get,DT,O
from,NN,O
a,MD,O
hypothetical,RB,B-LEGAL
tenant,VB,I-LEGAL
if,TO,O
the,VB,O
building,IN,O
were,DT,O
to,JJ,O
let,NN,O
from,IN,O
year,DT,O
to,NN,O
year,VBD,O
less,TO,O
certain,VB,O
deductions,IN,O
what,NN,O
is,TO,O
reasonable,NN,O
is,RBR,O
a,JJ,O
question,NNS,O
of,WP,O
fact,VBZ,O
which,JJ,O
depended,VBZ,O
on,DT,O
the,NN,O
fact,IN,O
and,NN,O
circumstances,WDT,O
of,VBD,O
a,IN,O
given,DT,O
situation,NN,O
ordinarily,CC,O
a,NNS,O
bargain,IN,O
between,DT,O
a,VBN,O
willing,NN,O
lessor,RB,O
and,DT,O
a,NN,O
willing,IN,O
lessee,DT,O
uninfluenced,JJ,O
by,NN,O
any,CC,O
extraneous,DT,O
circumstances,JJ,O
may,NN,O
afford,VBN,O
a,IN,O
guiding,DT,O
test,JJ,O
of,NNS,O
reasonableness,MD,O
and,VB,O
in,DT,O
normal,JJ,O
circumstances,NN,O
the,IN,O
actual,NN,O
rent,CC,O
payable,IN,O
by,JJ,O
a,NNS,O
tenant,DT,O
to,JJ,O
the,NN,O
landlord,JJ,O
would,IN,O
afford,DT,O
reliable,NN,O
evidence,TO,O
of,DT,O
what,NN,O
the,MD,O
landlord,VB,O
may,JJ,O
reasonably,NN,O
expect,IN,O
to,WP,O
get,DT,O
from,NN,O
the,MD,O
hypothetical,VB,B-LEGAL
tenant,VB,I-LEGAL
unless,TO,O
the,VB,O
rent,IN,O
is,DT,O
inflated,JJ,O
or,NN,O
depressed,IN,O
by,DT,O
reason,NN,O
of,VBZ,O
extraneous,VBN,O
considerations,CC,O
such,VBN,O
as,IN,O
relationship,NN,O
expectation,IN,O
of,JJ,O
some,NNS,O
other,JJ,O
benefit,IN,O
etc,NN,O
but,NN,O
in,IN,O
case,DT,O
of,JJ,O
a,NN,O
building,NNS,O
subject,CC,O
to,IN,O
rent,NN,O
control,IN,O
legislation,DT,O
this,NN,O
approximation,NN,O
between,TO,O
may,VB,O
and,NN,O
often,NN,O
does,DT,O
get,NN,O
displaced,IN,O
because,MD,O
under,CC,O
rent,RB,O
control,VBZ,O
legislation,VB,O
the,VBN,O
landlord,IN,O
cannot,IN,O
claim,NN,O
to,NN,O
recover,NN,O
from,DT,O
the,NN,O
tenant,MD,O
anything,RB,O
more,VB,O
than,TO,O
the,VB,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
and,NN,O
his,NN,O
reasonable,JJR,O
expectation,IN,O
must,DT,O
therefore,JJ,O
be,NN,O
limited,CC,O
to,PRP$,O
the,JJ,O
measure,NN,O
of,MD,O
the,RB,O
standard,VB,B-LEGAL
rent,VBN,I-LEGAL
lawfully,TO,O
recoverable,DT,O
by,NN,O
him,IN,O
there,DT,O
was,JJ,O
no,NN,O
dispute,RB,O
that,JJ,O
the,IN,O
area,PRP,O
where,EX,O
the,VBD,O
property,DT,O
sought,NN,O
to,IN,O
be,DT,O
taxed,NN,O
was,WRB,O
situated,DT,O
the,NN,O
provisions,VBD,O
of,TO,O
rent,VB,O
restriction,VBN,O
acts,VBD,O
were,VBN,O
applicable,DT,O
and,NNS,O
there,IN,O
was,NN,O
non,NN,O
obstante,NNS,O
clause,VBD,O
in,JJ,O
the,CC,O
municipal,EX,O
law,VBD,O
under,JJ,O
which,JJ,O
the,NN,O
annual,IN,B-LEGAL
value,DT,I-LEGAL
had,JJ,O
been,NN,O
assessed,IN,O
19,WDT,O
in,DT,O
srikant,JJ,O
kashinath,NN,O
jituri,VBD,O
s,VBN,O
case,VBN,O
supra,CD,O
this,IN,O
court,JJ,O
observed,NN,O
we,NN,O
feel,NN,O
compelled,NN,O
to,VB,O
express,DT,O
our,NN,O
doubts,VBD,O
as,PRP,O
to,VBP,O
the,VBN,O
soundness,TO,O
and,VB,O
continuing,PRP$,O
relevance,NNS,O
of,IN,O
the,TO,O
view,DT,O
taken,NN,O
by,CC,O
this,VBG,O
court,NN,O
in,IN,O
several,DT,O
earlier,NN,O
decisions,VBN,O
that,IN,O
the,DT,O
property,NN,B-LEGAL
tax,IN,I-LEGAL
must,JJ,O
be,JJR,O
determined,NNS,O
on,IN,O
the,DT,O
basis,NN,O
of,NN,O
fair,MD,O
rent,VB,O
alone,VBN,O
regardless,IN,O
of,DT,O
the,NN,O
actual,IN,O
rent,JJ,O
received,NN,O
fair,RB,O
rent,RB,O
very,IN,O
often,DT,O
means,JJ,O
the,NN,O
rent,VBD,O
prevailing,JJ,O
prior,JJ,O
to,RB,O
1950,RB,O
with,VBZ,O
some,DT,O
minor,NN,O
modifications,VBG,O
and,RB,O
additions,TO,O
property,CD,B-LEGAL
tax,IN,I-LEGAL
is,DT,O
the,JJ,O
main,NNS,O
source,CC,O
of,NNS,O
revenue,NN,O
to,NN,O
the,VBZ,O
municipalities,DT,O
and,JJ,O
municipal,NN,O
corporations,IN,O
to,NN,O
compel,TO,O
these,DT,O
local,NNS,O
bodies,CC,O
to,JJ,O
levy,NNS,O
and,TO,O
collect,VB,O
the,DT,O
property,JJ,B-LEGAL
tax,NNS,I-LEGAL
on,TO,O
the,VB,O
basis,CC,O
of,VB,O
fair,DT,O
rent,NN,O
alone,NN,O
while,IN,O
asking,DT,O
them,NN,O
at,IN,O
the,JJ,O
same,NN,O
time,RB,O
to,IN,O
perform,VBG,O
all,PRP,O
their,IN,O
obligatory,DT,O
and,JJ,O
discretionary,NN,O
functions,TO,O
prescribed,VB,O
by,DT,O
the,PRP$,O
statute,NN,O
may,CC,O
be,JJ,O
to,NNS,O
ask,VBN,O
for,IN,O
the,DT,O
impossible,NN,O
the,MD,O
cost,VB,O
of,TO,O
maintaining,VB,O
and,IN,O
laying,DT,O
roads,JJ,O
drains,DT,O
and,NN,O
other,IN,O
amenities,VBG,O
the,CC,O
salaries,VBG,O
of,NNS,O
staff,NNS,O
and,CC,O
wages,JJ,O
of,NNS,O
employees,DT,O
in,NNS,O
short,IN,O
all,NN,O
types,CC,O
of,NNS,O
expenditure,IN,O
have,NNS,O
gone,IN,O
up,JJ,O
steeply,DT,O
over,NNS,O
the,IN,O
least,NN,O
more,VBP,O
than,VBN,O
forty,RP,O
years,RB,O
in,IN,O
such,DT,O
a,JJS,O
situation,JJR,O
insistence,IN,O
upon,CD,O
levy,NNS,O
of,IN,O
property,JJ,B-LEGAL
tax,DT,I-LEGAL
on,NN,O
the,NN,O
basis,IN,O
of,NN,O
fair,IN,O
rent,NN,O
alone,NN,O
disregarding,IN,O
the,DT,O
actual,NN,O
rent,IN,O
received,JJ,O
is,NN,O
neither,RB,O
justified,VBG,O
nor,DT,O
practicable,JJ,O
none,NN,O
of,VBD,O
the,VBZ,O
enactments,DT,O
says,JJ,O
so,CC,O
expressly,JJ,O
the,NN,O
said,IN,O
principle,DT,O
has,NNS,O
been,VBZ,O
evolved,RB,O
by,RB,O
courts,DT,O
by,VBD,O
a,NN,O
process,VBZ,O
of,VBN,O
interpretation,VBN,O
probably,IN,O
a,NNS,O
time,IN,O
has,DT,O
come,NN,O
when,IN,O
the,NN,O
said,RB,O
principle,DT,O
may,NN,O
have,VBZ,O
to,VBN,O
be,WRB,O
reviewed,DT,O
20,VBD,O
in,NN,O
indian,MD,O
oil,VB,O
corporation,TO,O
s,VB,O
case,VBN,O
supra,CD,O
this,IN,O
court,JJ,O
approved,NN,O
the,NN,O
view,NN,O
taken,NN,O
in,VB,O
ratnaprabha,DT,O
s,NN,O
case,VBD,O
and,DT,O
in,NN,O
the,VBN,O
interest,IN,O
of,NN,O
public,NN,O
good,NN,O
declined,CC,O
to,IN,O
reconsider,DT,O
the,NN,O
aforesaid,IN,O
decision,JJ,O
it,JJ,O
was,VBD,O
observed,TO,O
that,VB,O
the,DT,O
decision,NN,O
of,NN,O
this,PRP,O
court,VBD,O
in,VBN,O
ratnaprabha,IN,O
s,DT,O
case,NN,O
on,IN,O
the,DT,O
construction,NN,O
of,IN,O
section,NN,O
138bof,NN,O
mp,NN,O
act,IN,O
has,DT,O
all,NN,O
along,IN,O
been,NN,O
understood,CD,O
and,NN,O
justified,NN,O
on,VBZ,O
the,DT,O
basis,RB,O
of,VBN,O
the,JJ,O
presence,CC,O
of,VBN,O
non,IN,O
obstante,DT,O
clause,NN,O
and,IN,O
the,DT,O
later,NN,O
decisions,IN,O
have,JJ,O
distinguished,NN,O
it,NN,O
on,CC,O
that,DT,O
ground,JJ,O
the,NNS,O
existence,VBP,O
of,VBN,O
non,PRP,O
obstante,IN,O
clause,DT,O
in,NN,O
mp,DT,O
act,NN,O
was,IN,O
held,JJ,O
to,NN,O
be,NN,O
the,IN,O
basis,NN,O
on,NN,O
which,VBD,O
the,VBN,O
decision,TO,O
in,VB,O
padma,DT,O
debi,NN,O
s,IN,O
case,WDT,O
was,DT,O
distinguished,NN,O
in,IN,O
ratnaprabha,NN,O
s,NN,O
case,NN,O
itself,NN,O
21,VBD,O
it,VBN,O
assistant,IN,O
general,NN,O
manager,NN,O
central,NN,O
bank,PRP,O
of,CD,O
india,PRP,O
s,JJ,O
case,JJ,O
supra,NN,O
it,JJ,O
was,NN,O
contended,IN,O
on,JJ,O
behalf,NN,O
of,NN,O
the,VBD,O
appellant,PRP,O
that,VBD,O
even,VBN,O
where,IN,O
the,NN,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
was,NN,O
not,WDT,O
fixed,RB,O
and,WRB,O
the,DT,O
rent,JJ,O
act,NN,O
not,VBD,O
applicable,RB,O
it,VBN,O
must,CC,O
be,DT,O
presumed,NN,O
that,NN,O
the,RB,O
annual,JJ,B-LEGAL
rent,PRP,I-LEGAL
for,MD,O
such,VB,O
buildings,VBN,O
or,IN,O
lands,DT,O
or,JJ,O
premises,NN,O
would,IN,O
be,JJ,O
the,NNS,O
standard,CC,B-LEGAL
rent,NNS,I-LEGAL
alone,CC,O
and,NNS,O
not,MD,O
the,VB,O
actual,DT,O
rent,JJ,O
received,NN,O
in,RB,O
that,CC,O
case,RB,O
section,DT,O
129c,JJ,O
of,NN,O
the,VBD,O
municipal,IN,B-LEGAL
corporation,DT,I-LEGAL
act,NN,O
provided,NN,O
that,CD,O
the,IN,O
general,DT,O
taxes,JJ,O
not,NN,O
less,NN,O
than,VBD,O
12,IN,O
and,DT,O
not,JJ,O
more,NNS,O
than,RB,O
13,JJR,O
of,IN,O
the,CD,O
rate,CC,O
able,RB,O
value,JJR,O
of,IN,O
the,CD,O
buildings,IN,O
lands,DT,O
may,NN,O
be,JJ,O
levied,NN,O
if,IN,O
the,DT,O
corporation,NNS,O
so,NNS,O
determines,MD,O
on,VB,O
a,VBN,O
graduated,IN,O
scale,DT,O
the,NN,O
expression,RB,O
rate,VBZ,O
able,IN,O
value,DT,O
was,VBN,O
defined,NN,O
in,DT,O
clause,NN,O
54,NN,O
of,JJ,O
the,NN,O
section,VBD,O
2,VBN,O
to,IN,O
mean,NN,O
the,CD,O
value,IN,O
of,DT,O
any,NN,O
building,CD,O
or,TO,O
land,VB,O
fixed,DT,O
whether,NN,O
with,IN,O
reference,DT,O
to,NN,O
any,CC,O
given,NN,O
premises,VBN,O
or,IN,O
otherwise,IN,O
in,NN,O
accordance,TO,O
with,DT,O
the,VBN,O
provisions,NNS,O
of,CC,O
this,RB,O
act,IN,O
and,NN,O
the,IN,O
rules,DT,O
for,NNS,O
the,IN,O
purpose,DT,O
of,NN,O
assessment,CC,B-LEGAL
of,DT,O
property,NNS,O
taxes,IN,O
rule,DT,O
7,NN,O
of,IN,O
the,NN,O
taxation,IN,O
rules,NN,O
provided,NNS,O
that,VBD,O
in,CD,O
order,IN,O
to,DT,O
fix,NN,O
the,NNS,O
rate,VBD,O
able,IN,O
value,IN,O
of,NN,O
any,TO,O
building,VB,O
land,DT,O
or,NN,O
premises,JJ,O
there,NN,O
shall,IN,O
be,DT,O
deducted,NN,O
from,NN,O
the,CC,O
amount,NNS,O
of,EX,O
the,MD,O
annual,VB,B-LEGAL
letting,VBN,I-LEGAL
value,IN,I-LEGAL
of,DT,O
such,NN,O
building,IN,O
a,DT,O
sum,JJ,O
equal,VBG,O
to,NN,O
ten,IN,O
per,JJ,O
cent,VBG,O
of,DT,O
the,NN,O
annual,JJ,B-LEGAL
letting,TO,I-LEGAL
value,VB,I-LEGAL
and,IN,O
