js,NN,O
of,NNS,O
these,IN,O
candidates,DT,O
it,NNS,O
eventually,PRP,O
deputed,RB,O
these,VBD,O
candidates,DT,O
for,NNS,O
training,IN,O
on,VBG,O
1461992,IN,O
from,CD,O
the,IN,O
factual,DT,O
position,JJ,O
depicted,NN,O
hereinabove,VBN,O
it,IN,O
is,PRP,O
not,VBZ,O
possible,RB,O
for,JJ,O
us,IN,O
to,PRP,O
accept,TO,O
that,VB,O
the,IN,O
candidates,DT,O
who,NNS,O
were,WP,O
deputed,VBD,O
for,VBN,O
training,IN,O
on,VBG,O
1571991,IN,O
and,CD,O
those,CC,O
deputed,DT,O
for,VBN,O
training,IN,O
on,VBG,O
1461992,IN,O
to,CD,O
fulfill,TO,O
the,VB,O
deficiency,DT,O
can,NN,O
be,MD,O
described,VB,O
as,VBN,O
two,IN,O
different,CD,O
batches,JJ,O
the,NNS,O
selection,DT,O
process,NN,O
having,NN,O
been,VBG,O
joint,VBN,O
and,JJ,O
in,CC,O
furtherance,IN,O
of,NN,O
the,IN,O
same,DT,O
notification,JJ,O
dated,NN,O
2211991,VBD,O
issued,CD,O
by,VBN,O
the,IN,O
recruitment,DT,O
board,NN,O
it,NN,O
is,PRP,O
inevitable,VBZ,O
for,JJ,O
us,IN,O
to,PRP,O
conclude,TO,O
that,VB,O
the,IN,O
candidates,DT,O
deputed,NNS,O
to,VBD,O
the,TO,O
two,DT,O
different,CD,O
courses,JJ,O
of,NNS,O
training,IN,O
on,VBG,O
1571991,IN,O
and,CD,O
1461992,CC,O
were,CD,O
essentially,VBD,O
candidates,RB,O
belonging,NNS,O
to,VBG,O
a,TO,O
singular,DT,O
batch,JJ,O
who,NN,O
were,WP,O
selected,VBD,O
through,VBN,O
a,IN,O
common,DT,O
process,JJ,O
of,NN,O
selection,IN,O
in,NN,O
fact,IN,O
the,NN,O
instant,DT,O
inference,JJ,O
insofar,NN,O
as,NN,O
the,IN,O
issue,DT,O
of,NN,O
inter,IN,O
se,NN,O
seniority,NN,B-LEGAL
is,NN,O
concerned,VBZ,O
is,VBN,O
inevitable,VBZ,O
as,JJ,O
the,IN,O
dates,DT,O
on,NNS,O
which,IN,O
the,WDT,O
candidates,DT,O
were,NNS,O
deputed,VBD,O
for,VBN,O
training,IN,O
are,NN,O
inconsequential,VBP,O
so,JJ,O
far,RB,O
as,RB,O
rule,IN,O
15,NN,O
is,CD,O
concerned,VBZ,O
rule,VBN,O
15,NN,O
leaves,CD,O
no,VBZ,O
room,DT,O
for,NN,O
any,IN,O
doubt,DT,O
that,NN,O
even,WDT,O
the,RB,O
merit,DT,O
position,NN,O
in,NN,O
the,IN,O
selection,DT,O
process,NN,O
is,NN,O
not,VBZ,O
to,RB,O
be,TO,O
taken,VB,O
into,VBN,O
consideration,IN,O
while,NN,O
determining,IN,O
the,VBG,O
inter,DT,O
se,NN,O
seniority,JJ,B-LEGAL
of,NN,O
candidates,IN,O
selected,NNS,O
from,VBN,O
a,IN,O
common,DT,O
process,JJ,O
of,NN,O
selection,IN,O
if,NN,O
we,IN,O
were,PRP,O
to,VBD,O
accept,TO,O
the,VB,O
contention,DT,O
advanced,NN,O
on,VBD,O
behalf,IN,O
of,NN,O
the,IN,O
appellants,DT,O
that,NNS,O
those,WDT,O
deputed,DT,O
in,VBN,O
the,IN,O
first,DT,O
batch,JJ,O
should,NN,O
be,MD,O
placed,VB,O
above,VBN,O
all,IN,O
those,PDT,O
deputed,DT,O
in,VBN,O
the,IN,O
second,DT,O
batch,JJ,O
we,NN,O
would,PRP,O
necessarily,MD,O
be,RB,O
placing,VB,O
the,VBG,O
selected,DT,O
candidates,VBN,O
in,NNS,O
two,IN,O
groups,CD,O
based,NNS,O
on,VBN,O
their,IN,O
merit,PRP$,O
position,NN,O
in,NN,O
the,IN,O
selection,DT,O
process,NN,O
those,NN,O
deputed,DT,O
for,VBN,O
training,IN,O
in,NN,O
the,IN,O
two,DT,O
batches,CD,O
of,NNS,O
1571991,IN,O
and,CD,O
1461992,CC,O
came,CD,O
to,VBD,O
be,TO,O
so,VB,O
deputed,RB,O
only,VBN,O
because,RB,O
of,IN,O
their,IN,O
respective,PRP$,O
merit,JJ,O
position,NN,O
in,NN,O
the,IN,O
selection,DT,O
process,NN,O
this,NN,O
determination,DT,O
would,NN,O
be,MD,O
in,VB,O
clear,IN,O
breach,JJ,O
of,NN,O
the,IN,O
proviso,DT,O
to,NN,O
rule,TO,O
15,VB,O
which,CD,O
postulates,WDT,O
that,VBZ,O
inter,IN,O
se,NN,O
seniority,VBP,B-LEGAL
of,NN,O
sub,IN,O
inspectors,JJ,O
of,NNS,O
police,IN,O
is,NN,O
not,VBZ,O
to,RB,O
be,TO,O
determined,VB,O
in,VBN,O
accordance,IN,O
with,NN,O
the,IN,O
merit,DT,O
list,NN,O
drawn,NN,O
up,VBN,O
at,RP,O
the,IN,O
time,DT,O
of,NN,O
their,IN,O
selection,PRP$,O
the,NN,O
seniority,DT,B-LEGAL
of,NN,O
candidates,IN,O
who,NNS,O
are,WP,O
selected,VBP,O
from,VBN,O
a,IN,O
common,DT,O
process,JJ,O
of,NN,O
selection,IN,O
is,NN,O
to,VBZ,O
be,TO,O
determined,VB,O
on,VBN,O
the,IN,O
basis,DT,O
of,NN,O
the,IN,O
final,DT,O
aggregate,JJ,O
marks,NN,O
obtained,NNS,O
by,VBN,O
them,IN,O
during,PRP,O
the,IN,O
course,DT,O
of,NN,O
their,IN,O
training,PRP$,O
at,NN,O
the,IN,O
police,DT,O
training,NN,O
colleges,NN,O
in,NNS,O
the,IN,O
state,DT,O
of,NN,O
andhra,IN,O
pradesh,NN,O
that,NN,O
being,WDT,O
the,VBG,O
mandate,DT,O
of,NN,O
the,IN,O
rule,DT,O
we,NN,O
are,PRP,O
of,VBP,O
the,IN,O
considered,DT,O
view,VBN,O
that,NN,O
for,IN,O
candidates,IN,O
who,NNS,O
had,WP,O
participated,VBD,O
in,VBN,O
a,IN,O
common,DT,O
process,JJ,O
of,NN,O
selection,IN,O
irrespective,NN,O
of,NN,O
the,IN,O
dates,DT,O
on,NNS,O
which,IN,O
they,WDT,O
were,PRP,O
deputed,VBD,O
for,VBN,O
training,IN,O
their,VBG,O
inter,PRP$,O
se,NN,O
seniority,NN,B-LEGAL
is,NN,O
liable,VBZ,O
to,JJ,O
be,TO,O
determined,VB,O
on,VBN,O
the,IN,O
basis,DT,O
of,NN,O
the,IN,O
aggregate,DT,O
of,NN,O
marks,IN,O
obtained,NNS,O
by,VBN,O
them,IN,O
at,PRP,O
the,IN,O
final,DT,O
examination,JJ,O
at,NN,O
the,IN,O
concerned,DT,O
police,JJ,O
training,NNS,O
college,VBG,O
this,NN,O
interpretation,DT,O
placed,NN,O
by,VBN,O
us,IN,O
on,PRP,O
rule,IN,O
15,NN,O
of,CD,O
the,IN,O
service,DT,O
rules,NN,O
satisfies,NNS,O
the,VBZ,O
underlying,DT,O
principle,JJ,O
given,NN,O
effect,VBN,O
to,NN,O
in,TO,O
the,IN,O
rule,DT,O
namely,NN,O
that,RB,O
the,IN,O
candidates,DT,O
appointed,NNS,O
against,VBN,O
the,IN,O
posts,DT,O
of,NNS,O
sub,IN,O
inspector,JJ,O
of,NN,O
police,IN,O
were,NNS,O
to,VBD,O
be,TO,O
arranged,VB,O
in,VBN,O
the,IN,O
seniority,DT,B-LEGAL
list,NN,O
not,NN,O
on,RB,O
the,IN,O
basis,DT,O
of,NN,O
the,IN,O
marks,DT,O
obtained,NNS,O
in,VBN,O
the,IN,O
process,DT,O
of,NN,O
selection,IN,O
but,NN,O
according,CC,O
to,VBG,O
the,TO,O
aggregate,DT,O
marks,NN,O
obtained,NNS,O
by,VBN,O
them,IN,O
at,PRP,O
the,IN,O
culmination,DT,O
of,NN,O
the,IN,O
training,DT,O
processes,NN,O
additionally,VBZ,O
the,RB,O
instant,DT,O
interpretation,JJ,O
would,NN,O
result,MD,O
in,VB,O
a,IN,O
uniform,DT,O
determination,JJ,O
of,NN,O
the,IN,O
three,DT,O
separate,CD,O
considerations,JJ,O
dealt,NNS,O
with,VBP,O
by,IN,O
us,IN,O
it,PRP,O
would,PRP,O
be,MD,O
absurd,VB,O
to,JJ,O
apply,TO,O
one,VB,O
principle,CD,O
to,NN,O
munuswamy,TO,O
another,VB,O
principle,DT,O
to,NN,O
those,TO,O
selected,DT,O
and,VBN,O
appointed,CC,O
in,VBN,O
furtherance,IN,O
of,NN,O
the,IN,O
directions,DT,O
issued,NNS,O
by,VBN,O
the,IN,O
administrative,DT,B-LEGAL
tribunal,JJ,O
on,NN,O
3071991,IN,O
in,CD,O
original,IN,O
application,JJ,O
no,NN,O
29957,DT,O
of,CD,O
1991,IN,O
and,CD,O
a,CC,O
separate,DT,O
principle,JJ,O
for,NN,O
determining,IN,O
seniority,VBG,B-LEGAL
of,NN,O
candidates,IN,O
who,NNS,O
were,WP,O
deputed,VBD,O
for,VBN,O
training,IN,O
later,NN,O
because,RB,O
some,IN,O
of,DT,O
the,IN,O
selected,DT,O
and,VBN,O
appointed,CC,O
candidates,VBN,O
did,NNS,O
not,VBD,O
join,RB,O
training,VB,O
this,VBG,O
process,DT,O
of,NN,O
deputing,IN,O
candidates,VBG,O
for,NNS,O
training,IN,O
could,NN,O
have,MD,O
been,VB,O
adopted,VBN,O
within,VBN,O
a,IN,O
few,DT,O
days,JJ,O
of,NNS,O
the,IN,O
candidates,DT,O
not,NNS,O
assuming,RB,O
training,VBG,O
at,VBG,O
the,IN,O
police,DT,O
training,NN,O
colleges,NN,O
despite,NNS,O
being,IN,O
required,VBG,O
to,VBN,O
do,TO,O
so,VB,O
the,RB,O
concerned,DT,O
authorities,JJ,O
delayed,NNS,O
the,VBD,O
matter,DT,O
for,NN,O
about,IN,O
a,IN,O
year,DT,O
neither,NN,O
is,RB,O
it,VBZ,O
possible,PRP,O
for,JJ,O
us,IN,O
to,PRP,O
find,TO,O
fault,VB,O
with,NN,O
the,IN,O
concerned,DT,O
individuals,JJ,O
deputed,NNS,O
for,VBN,O
training,IN,O
belatedly,VBG,O
nor,RB,O
is,CC,O
it,VBZ,O
possible,PRP,O
for,JJ,O
us,IN,O
to,PRP,O
interpret,TO,O
a,VB,O
simple,DT,O
and,JJ,O
straightforward,CC,O
rule,JJ,O
of,NN,O
seniority,IN,B-LEGAL
differently,NN,O
just,RB,O
because,RB,O
candidates,IN,O
were,NNS,O
deputed,VBD,O
to,VBN,O
the,TO,O
training,DT,O
course,NN,O
belatedly,NN,O
17,RB,O
the,CD,O
view,DT,O
expressed,NN,O
by,VBN,O
us,IN,O
upholds,PRP,O
the,VBP,O
order,DT,O
passed,NN,O
by,VBN,O
the,IN,O
state,DT,O
government,NN,O
and,NN,O
also,CC,O
affirms,RB,O
the,VBZ,O
legal,DT,O
position,JJ,O
expressed,NN,O
by,VBN,O
the,IN,O
administrative,DT,B-LEGAL
tribunal,JJ,O
in,NN,O
its,IN,O
common,PRP$,O
order,JJ,O
dated,NN,O
2492004,VBD,O
as,CD,O
well,RB,O
as,RB,O
in,IN,O
the,IN,O
impugned,DT,O
order,JJ,O
dated,NN,O
822005,VBD,O
passed,CD,O
by,VBN,O
the,IN,O
high,DT,O
court,JJ,O
18,NN,O
insofar,CD,O
as,NN,O
the,IN,O
conclusions,DT,O
in,NNS,O
the,IN,O
consideration,DT,O
three,NN,O
recorded,CD,O
hereinabove,VBN,O
are,NN,O
concerned,VBP,O
it,VBN,O
would,PRP,O
be,MD,O
relevant,VB,O
to,JJ,O
mention,TO,O
here,VB,O
that,RB,O
the,IN,O
learned,DT,O
counsel,JJ,O
for,NN,O
the,IN,O
appellants,DT,O
namely,NNS,O
the,RB,O
candidates,DT,O
who,NNS,O
were,WP,O
deputed,VBD,O
for,VBN,O
training,IN,O
on,VBG,O
1571991,IN,O
had,CD,O
also,VBD,O
vehemently,RB,O
contended,RB,O
that,VBD,O
the,IN,O
first,DT,O
proviso,JJ,O
to,NN,O
rule,TO,O
15a,VB,O
would,CD,O
not,MD,O
be,RB,O
applicable,VB,O
to,JJ,O
the,TO,O
facts,DT,O
and,NNS,O
circumstances,CC,O
of,NNS,O
the,IN,O
present,DT,O
case,JJ,O
because,NN,O
the,IN,O
first,DT,O
proviso,JJ,O
contemplates,NN,O
a,VBZ,O
joint,DT,O
training,JJ,O
process,NN,O
where,NN,O
those,WRB,O
selected,DT,O
and,VBN,O
appointed,CC,O
as,VBN,O
sub,IN,O
inspector,JJ,O
of,NN,O
police,IN,O
are,NNS,O
graded,VBP,O
on,VBN,O
the,IN,O
basis,DT,O
of,NN,O
their,IN,O
performance,PRP$,O
during,NN,O
a,IN,O
joint,DT,O
common,JJ,O
training,JJ,O
process,NN,O
at,NN,O
the,IN,O
police,DT,O
training,NN,O
college,NN,O
it,NN,O
was,PRP,O
submitted,VBD,O
that,VBN,O
it,IN,O
would,PRP,O
be,MD,O
unfair,VB,O
and,JJ,O
unreasonable,CC,O
to,JJ,O
determine,TO,O
inter,VB,O
se,NN,O
seniority,JJ,B-LEGAL
of,NN,O
candidates,IN,O
on,NNS,O
the,IN,O
basis,DT,O
of,NN,O
two,IN,O
different,CD,O
training,JJ,O
processes,NN,O
the,VBZ,O
first,DT,O
which,JJ,O
had,WDT,O
commenced,VBD,O
on,VBN,O
1571991,IN,O
and,CD,O
the,CC,O
second,DT,O
which,JJ,O
had,WDT,O
commenced,VBD,O
on,VBN,O
1461992,IN,O
19,CD,O
the,CD,O
submission,DT,O
noticed,NN,O
in,VBN,O
the,IN,O
foregoing,DT,O
paragraph,NN,O
seems,NN,O
to,VBZ,O
be,TO,O
attractive,VB,O
on,JJ,O
first,IN,O
blush,JJ,O
learned,NN,O
counsel,VBN,O
for,NN,O
the,IN,O
respondent,DT,O
state,NN,O
however,NN,O
pointed,RB,O
out,VBD,O
that,RP,O
those,IN,O
selected,DT,O
provisionally,VBN,O
vide,RB,O
letter,JJ,O
dated,NN,O
1141991,VBD,O
751991,CD,O
and,CD,O
who,CC,O
were,WP,O
deputed,VBD,O
for,VBN,O
training,IN,O
on,VBG,O
1571991,IN,O
had,CD,O
been,VBD,O
sent,VBN,O
to,VBN,O
undergo,TO,O
training,VB,O
to,VBG,O
two,TO,O
different,CD,O
police,JJ,O
training,NNS,O
colleges,VBG,O
in,NNS,O
the,IN,O
state,DT,O
of,NN,O
andhra,IN,O
pradesh,NN,O
if,NN,O
the,IN,O
submission,DT,O
advanced,NN,O
at,VBD,O
the,IN,O
hands,DT,O
of,NNS,O
the,IN,O
learned,DT,O
counsel,JJ,O
for,NN,O
the,IN,O
appellants,DT,O
was,NNS,O
to,VBD,O
be,TO,O
accepted,VB,O
according,VBN,O
to,VBG,O
learned,TO,O
counsel,JJ,O
for,NN,O
the,IN,O
state,DT,O
government,NN,O
even,NN,O
the,RB,O
seniority,DT,B-LEGAL
position,NN,O
of,NN,O
the,IN,O
58,DT,O
candidates,CD,O
who,NNS,O
had,WP,O
joined,VBD,O
training,VBN,O
on,VBG,O
1571991,IN,O
having,CD,O
been,VBG,O
selected,VBN,O
in,VBN,O
zone,IN,O
v,NN,O
warangal,NN,O
range,JJ,O
could,NN,O
not,MD,O
be,RB,O
validly,VB,O
determined,RB,O
for,VBN,O
the,IN,O
simple,DT,O
reason,JJ,O
that,NN,O
they,IN,O
had,PRP,O
undertaken,VBD,O
training,VBN,O
at,VBG,O
two,IN,O
different,CD,O
police,JJ,O
training,NNS,O
colleges,NN,O
according,NNS,O
to,VBG,O
learned,TO,O
state,VBN,O
counsel,NN,O
candidates,NN,O
who,NNS,O
were,WP,O
deputed,VBD,O
for,VBN,O
training,IN,O
subsequently,VBG,O
on,RB,O
1461992,IN,O
were,CD,O
also,VBD,O
deputed,RB,O
to,VBN,O
the,TO,O
same,DT,O
two,JJ,O
police,CD,O
training,NNS,O
colleges,VBG,O
in,NNS,O
the,IN,O
state,DT,O
of,NN,O
andhra,IN,O
pradesh,NN,O
the,VBP,O
curricula,DT,O
for,NN,O
the,IN,O
police,DT,O
training,NN,O
colleges,NN,O
and,NNS,O
the,CC,O
standard,DT,O
prescribed,NN,O
being,VBD,O
the,VBG,O
same,DT,O
just,JJ,O
as,RB,O
the,IN,O
manner,DT,O
in,NN,O
which,IN,O
the,WDT,O
candidates,DT,O
deputed,NNS,O
for,VBD,O
training,IN,O
to,NN,O
the,TO,O
two,DT,O
different,CD,O
police,JJ,O
training,NNS,O
colleges,NN,O
could,NNS,O
be,MD,O
compared,VB,O
with,VBN,O
one,IN,O
another,CD,O
on,DT,O
the,IN,O
basis,DT,O
of,NN,O
the,IN,O
aggregate,DT,O
marks,NN,O
obtained,NNS,O
by,VBN,O
them,IN,O
for,PRP,O
fixing,IN,O
their,VBG,O
position,PRP$,O
in,NN,O
the,IN,O
seniority,DT,B-LEGAL
list,NN,O
so,NN,O
also,RB,O
those,RB,O
deputed,DT,O
for,VBN,O
training,IN,O
on,VBG,O
different,IN,O
dates,JJ,O
on,NNS,O
1571991,IN,O
and,CD,O
1461992,CC,O
could,CD,O
likewise,MD,O
be,RB,O
compared,VB,O
with,VBN,O
one,IN,O
another,CD,O
on,DT,O
the,IN,O
basis,DT,O
of,NN,O
the,IN,O
aggregate,DT,O
marks,NN,O
obtained,NNS,O
by,VBN,O
them,IN,O
in,PRP,O
the,IN,O
final,DT,O
examination,JJ,O
of,NN,O
their,IN,O
police,PRP$,O
training,NNS,O
we,VBG,O
find,PRP,O
merit,VBP,O
in,JJ,O
the,IN,O
submissions,DT,O
advanced,NNS,O
by,VBN,O
the,IN,O
learned,DT,O
counsel,JJ,O
representing,NN,O
the,VBG,O
state,DT,O
of,NN,O
andhra,IN,O
pradesh,NN,O
for,NN,O
the,IN,O
above,DT,O
reason,JJ,O
it,NN,O
is,PRP,O
not,VBZ,O
possible,RB,O
for,JJ,O
us,IN,O
to,PRP,O
accept,TO,O
the,VB,O
above,DT,O
noticed,NN,O
contention,VBD,O
advanced,NN,O
at,VBD,O
the,IN,O
hands,DT,O
of,NNS,O
the,IN,O
learned,DT,O
counsel,JJ,O
for,NN,O
the,IN,O
appellants,DT,O
20,NNS,O
during,CD,O
the,IN,O
course,DT,O
of,NN,O
hearing,IN,O
some,VBG,O
judgments,DT,O
were,NNS,O
cited,VBD,O
at,VBN,O
the,IN,O
bar,DT,O
to,NN,O
support,TO,O
the,VB,O
cause,DT,O
of,NN,O
the,IN,O
appellants,DT,O
and,NNS,O
that,CC,O
of,DT,O
the,IN,O
private,DT,O
respondents,JJ,O
the,NNS,O
judgments,DT,O
cited,NNS,O
pertain,VBD,O
to,NN,O
the,TO,O
particular,DT,O
rule,JJ,O
of,NN,O
seniority,IN,B-LEGAL
which,NN,O
was,WDT,O
subject,VBD,O
matter,JJ,O
of,NN,O
consideration,IN,O
none,NN,O
of,NN,O
the,IN,O
seniority,DT,B-LEGAL
rules,NN,O
which,NNS,O
were,WDT,O
taken,VBD,O
into,VBN,O
consideration,IN,O
is,NN,O
akin,VBZ,O
to,JJ,O
rule,TO,O
15,VB,O
which,CD,O
is,WDT,O
to,VBZ,O
be,TO,O
applied,VB,O
for,VBN,O
determining,IN,O
the,VBG,O
inter,DT,O
se,NN,O
seniority,JJ,B-LEGAL
of,NN,O
sub,IN,O
inspectors,JJ,O
of,NNS,O
police,IN,O
in,NN,O
the,IN,O
present,DT,O
case,JJ,O
since,NN,O
the,IN,O
validity,DT,O
of,NN,O
rule,IN,O
15,NN,O
aforementioned,CD,O
is,VBN,O
not,VBZ,O
a,RB,O
subject,DT,O
matter,JJ,O
of,NN,O
challenge,IN,O
we,NN,O
have,PRP,O
ventured,VBP,O
to,VBN,O
interpret,TO,O
the,VB,O
same,DT,O
in,JJ,O
consonance,IN,O
with,NN,O
the,IN,O
mandate,DT,O
and,NN,O
intent,CC,O
thereof,NN,O
we,NN,O
would,PRP,O
not,MD,O
like,RB,O
to,VB,O
burden,TO,O
this,VB,O
judgment,DT,O
with,NN,O
the,IN,O
judgments,DT,O
cited,NNS,O
at,VBD,O
the,IN,O
bar,DT,O
by,NN,O
the,IN,O
rival,DT,O
parties,JJ,O
21,NNS,O
for,CD,O
the,IN,O
reasons,DT,O
recorded,NNS,O
hereinabove,VBN,O
we,NN,O
find,PRP,O
no,VBP,O
merit,DT,O
in,NN,O
the,IN,O
instant,DT,O
civil,JJ,O
appeals,JJ,O
the,NNS,O
same,DT,O
are,JJ,O
accordingly,VBP,O
dismissed,RB,O
22,JJ,O
hon,CD,O
ble,NN,O
mr,JJ,O
justice,NN,O
jagdish,NN,O
singh,JJ,O
khehar,NN,O
pronounced,NN,O
the,VBD,O
judgment,DT,O
of,NN,O
the,IN,O
bench,DT,O
comprising,NN,O
his,VBG,O
lordship,PRP$,O
and,NN,O
hon,CC,O
ble,NN,O
mr,JJ,O
justice,NN,O
sa,NN,O
bobde,VBD,O
23,$,O
for,CD,O
the,IN,O
reasons,DT,O
recorded,NNS,O
in,VBN,O
the,IN,O
reportable,DT,O
judgment,JJ,O
which,NN,O
is,WDT,O
placed,VBZ,O
on,VBN,O
the,IN,O
file,DT,O
the,NN,O
appeals,DT,O
are,NNS,O
dismissed,VBP,O
