ruma,NN,O 
as,NN,O
the,NN,O
market,NN,O
committee,CD,O
act,CD,O
is,NN,O
a,CD,O
duly,CD,O
enacted,NN,O
law,NN,O
by,VBG,O
the,TO,O
state,VB,B-LEGAL
legislature,PDT,I-LEGAL
within,DT,O
its,NN,O
competence,NN,O
to,IN,O
legislate,VBG,O
under,NN,O
entry,CD,O
14,VBZ,O
and,DT,O
28,NN,O
dr,IN,O
singhvi,DT,O
also,NN,O
urged,IN,O
that,DT,O
mere,NN,O
declaration,MD,O
under,RB,O
entry,VB,O
52,DT,O
is,JJ,O
not,NN,O
enough,IN,O
but,NN,O
the,TO,O
law,DT,O
in,JJ,O
question,NNS,O
must,IN,O
be,NN,O
found,IN,O
which,DT,O
actually,NN,O
occupied,IN,O
the,DT,O
field,NN,O
dr,RB,O
singhvi,MD,O
urged,RB,O
that,VB,O
mere,DT,O
existence,NN,O
of,IN,O
power,VBG,O
is,DT,O
not,NN,O
enough,NN,O
but,TO,O
the,VB,O
power,NN,O
must,NN,O
be,IN,O
exercised,NN,O
and,IN,O
on,DT,O
account,NN,O
of,CC,O
such,NN,O
exercise,IN,O
the,NN,O
field,IN,O
must,DT,O
be,NN,O
occupied,NN,O
so,IN,O
as,DT,O
to,NN,O
hold,NN,O
that,NN,O
the,VBZ,O
central,DT,O
law,RB,O
would,VBN,O
collide,NN,O
with,IN,O
the,DT,O
state,NN,O
law,NN,O
it,IN,O
was,PRP$,O
so,NN,O
held,TO,O
in,VB,O
belsund,IN,O
manu,NN,O
sc,CD,O
0457,CC,O
1999manu,CD,O
sc,NN,O
0457,NN,O
1999,RB,O
air1999sc3125,VBD,O
air1999sc3125,IN,O
with,JJ,O
regard,NN,O
to,IN,O
tea,NN,O
to,CD,O
the,VBZ,O
same,RB,O
effect,RB,O
is,CC,O
the,DT,O
ratio,NN,O
in,IN,O
the,NN,O
case,MD,O
of,VB,O
western,VBN,O
coal,WDT,O
fields,RB,O
manu,VBD,O
sc,DT,O
0244,NN,O
1982manu,NN,O
sc,NN,O
0244,VBD,O
1982,IN,O
1982,JJ,O
2scr1,NN,O
1982,IN,O
2scr1,NN,O
and,VBZ,O
fateh,RB,O
chand,RB,O
1977,CC,O
2,DT,O
scc,NN,O
677,MD,O
according,VB,O
to,VBN,O
the,CC,O
learned,IN,O
counsel,NN,O
in,IN,O
the,JJ,O
case,NN,O
in,DT,O
hand,NN,O
there,MD,O
is,VB,O
no,VBN,O
question,RB,O
of,IN,O
conflict,TO,O
or,VB,O
repugnancy,IN,B-LEGAL
between,DT,O
the,JJ,O
tobacco,NN,O
act,MD,O
and,VB,O
the,IN,O
bihar,DT,O
act,NN,O
since,NN,O
both,PRP,O
acts,VBD,O
operate,RB,O
in,VBN,O
mutually,IN,O
exclusive,NN,O
and,NN,O
different,NN,O
field,CD,O
and,CD,O
therefore,NN,O
the,CD,O
majority,CD,B-LEGAL
judgment,NN,I-LEGAL
in,NN,O
itc,IN,O
case,NN,O
would,TO,O
not,VB,O
apply,TO,O
to,DT,O
the,JJ,O
bihar,NN,O
agricultural,VBZ,O
produce,DT,O
act,NN,O
dr,IN,O
singhvi,DT,O
also,NN,O
made,IN,O
an,JJ,O
extreme,NN,O
argument,NNS,O
to,VBP,O
the,JJ,O
effect,CD,O
that,CD,O
even,NN,O
if,CD,O
the,CD,O
central,CD,O
legislation,CD,B-LEGAL
is,CD,O
construed,CD,O
to,CC,O
occupy,JJ,O
the,NN,O
entire,CD,O
filed,CD,O
under,NN,O
list,CD,O
i,VBG,O
yet,TO,O
the,DT,O
state,JJ,O
act,NN,O
can,IN,O
still,DT,O
be,NN,O
operative,IN,O
and,NN,O
market,EX,O
fee,VBZ,O
could,DT,O
be,NN,O
levied,IN,O
by,NN,O
the,CC,O
market,NN,O
committee,IN,O
under,DT,O
the,NN,O
state,NN,O
act,CC,O
for,DT,O
services,NN,O
provided,NN,O
by,IN,O
it,DT,O
on,NNS,O
the,VBP,O
principle,IN,O
of,RB,O
quid,JJ,O
pro,CC,O
quo,JJ,O
it,NN,O
is,CC,O
in,RB,O
this,DT,O
connection,NN,O
he,NN,O
placed,IN,O
reliance,JJ,O
on,NN,O
the,MD,O
decision,RB,O
in,VB,O
synthetics,TO,O
and,DT,O
chemicals,JJ,O
jt,JJ,O
19894sc,NN,O
467,NN,O
according,NN,O
to,NN,O
dr,RB,O
singhvi,VBD,O
the,DT,O
expression,JJ,O
industry,NN,O
both,TO,O
under,DT,O
entry,NN,O
24,IN,O
of,RB,O
list,IN,O
ii,DT,O
and,JJ,O
entry,NN,O
52,VBZ,O
of,VBN,O
list,TO,O
i,VB,O
would,DT,O
not,JJ,O
cover,VBN,O
subject,IN,O
matters,NN,O
which,NN,O
are,RB,O
mentioned,DT,O
sui,NN,O
generis,NN,O
in,MD,O
different,RB,B-LEGAL
entries,VB,I-LEGAL
and,JJ,O
separately,CC,O
from,NN,O
entry,NN,O
24,MD,O
of,VB,O
list,VBN,O
ii,IN,O
if,DT,O
a,NN,O
wide,NN,O
meaning,IN,O
to,DT,O
the,NN,O
expression,NN,O
is,IN,O
given,NNS,O
it,VBN,O
would,IN,O
run,PRP,O
counter,IN,O
to,DT,O
the,NN,O
scheme,IN,O
of,JJ,O
distribution,FW,O
of,FW,O
powers,PRP,O
and,VBZ,O
the,IN,O
structural,DT,O
inter,NN,O
relationship,PRP,O
between,VBD,O
entry,NN,O
52,IN,O
of,DT,O
list,NN,O
i,IN,O
and,NNS,O
entries,CC,O
24,NNS,O
26,VBP,O
and,CD,O
27,CD,O
of,VBG,O
list,TO,O
ii,VB,O
and,PDT,O
entry,DT,O
33,NN,O
of,NN,O
list,DT,O
iii,IN,O
and,NN,O
would,CD,O
make,IN,O
the,NN,O
state,NN,B-LEGAL
list,CC,I-LEGAL
redundant,NN,O
qua,CD,O
that,IN,O
industry,NN,O
in,NN,O
this,MD,O
view,RB,O
of,VB,O
the,NN,O
matter,NNS,O
the,WDT,O
counsel,VBP,O
urged,VBN,O
that,JJ,O
the,NN,O
decisions,IN,O
relating,JJ,O
to,NNS,O
mines,CC,O
and,RB,O
minerals,IN,O
would,NN,O
not,CD,O
be,IN,O
relevant,NN,O
because,NN,O
of,IN,O
inter,DT,O
relationship,JJ,O
of,NN,O
entry,TO,O
23,DT,O
of,NN,O
list,VBZ,O
ii,VBN,O
and,PRP,O
entry,MD,O
54,VB,O
of,RB,O
list,TO,O
i,DT,O
once,NN,O
the,IN,O
declaration,NN,O
is,IN,O
made,NNS,O
by,CC,O
parliament,DT,B-LEGAL
in,JJ,O
terms,NN,O
of,NN,O
entry,IN,O
54,NN,O
of,CD,O
list,IN,O
i,NN,O
then,NN,O
both,CC,O
mines,NNS,O
and,CD,O
its,CD,O
product,CC,O
minerals,CD,O
get,IN,O
extracted,NN,O
from,NN,O
the,CC,O
state,NN,B-LEGAL
list,CD,I-LEGAL
and,IN,O
get,NN,O
submerged,NN,O
in,CC,O
the,MD,O
entry,VB,O
54,DT,O
of,NN,O
list,NN,O
i,NN,O
but,VBZ,O
that,IN,O
would,NN,O
not,IN,O
be,DT,O
the,NN,O
case,IN,O
when,DT,O
the,NN,O
power,DT,O
under,NN,O
entry,VBD,O
52,IN,O
of,DT,O
list,NNS,O
i,VBG,O
and,TO,O
entry,NNS,O
24,CC,O
of,NNS,O
list,MD,O
ii,RB,O
as,VB,O
well,JJ,O
as,IN,O
other,IN,O
relevant,NN,O
entry,NN,O
in,IN,O
list,NN,O
ii,CD,O
are,IN,O
considered,NN,O
consequently,NN,O
the,CC,O
majority,NN,O
view,CD,O
in,IN,O
itc,NN,O
case,NN,O
must,RB,O
be,DT,O
over,NN,O
ruled,VBZ,O
180,VBN,O
mr,IN,O
gl,NN,O
sanghi,IN,O
the,NNS,O
learned,IN,O
senior,NN,O
counsel,CD,O
appearing,IN,O
for,NN,O
mandi,NN,O
samiti,RB,O
in,DT,O
madhya,NNS,O
pradesh,CC,O
batch,PRP$,O
of,NN,O
appeals,NNS,O
submitted,VBP,O
that,VBN,O
in,IN,O
the,DT,O
case,NN,O
in,NN,O
hand,CC,O
relevant,VB,O
enquiry,VBN,O
should,IN,O
be,DT,O
whether,NN,O
the,CD,O
state,IN,O
act,NN,O
is,NN,O
within,CC,O
the,DT,O
exclusive,MD,O
subject,RB,O
matter,VB,O
of,DT,O
the,NN,O
state,WRB,B-LEGAL
legislature,DT,I-LEGAL
under,NN,O
entry,IN,O
28,NN,O
of,CD,O
list,IN,O
ii,NN,O
according,NN,O
to,CC,O
him,NN,O
there,CD,O
is,IN,O
no,NN,O
irreconcilable,NN,O
clash,RB,O
between,RB,O
the,IN,O
two,JJ,O
acts,JJ,O
which,NN,O
is,IN,O
also,NN,O
apparent,NN,O
from,VBP,O
the,VBN,O
mandate,RB,O
of,DT,O
section,NN,O
31,NN,O
of,IN,O
the,JJ,O
central,NN,O
act,MD,O
the,VB,O
object,IN,O
and,JJ,O
purpose,CD,O
of,NN,O
the,NN,O
state,VBD,O
act,DT,O
being,JJ,O
establishment,JJ,O
of,NN,O
market,VBG,O
places,IN,O
and,NN,O
the,NN,O
same,IN,O
object,NN,O
having,JJ,O
been,NN,O
achieved,IN,O
by,NNS,O
the,VBD,O
various,IN,O
provisions,IN,O
providing,DT,O
for,NN,O
large,IN,O
scale,NN,O
infrastructural,JJ,O
establishment,NN,O
and,MD,O
provision,VB,O
of,IN,O
a,DT,O
large,NN,O
variety,NN,O
of,VBZ,O
services,IN,O
the,DT,O
state,JJ,O
act,JJ,O
rightly,NN,O
requires,IN,O
those,DT,O
who,NN,O
avail,NN,O
these,IN,O
services,NN,O
to,CD,O
pay,IN,O
the,NN,O
requisite,NN,O
market,VBG,O
fee,TO,O
and,PRP,O
also,EX,O
in,VBZ,O
order,DT,O
to,JJ,O
provide,NN,O
for,IN,O
appropriate,DT,O
control,CD,O
to,NNS,O
take,WDT,O
licenses,VBZ,O
wherever,RB,O
a,JJ,O
market,IN,O
functionary,DT,O
desires,NN,O
to,IN,O
function,NN,O
within,CD,O
the,IN,O
market,DT,O
bard,JJ,O
or,NN,O
market,DT,O
area,NN,O
the,CC,O
provisions,NN,O
of,IN,O
tobacco,DT,O
board,NN,O
act,NN,O
more,VBG,O
specifically,NN,O
section,IN,O
8,NN,O
however,NNS,O
mandates,CC,O
that,DT,O
the,JJ,O
board,NN,O
has,VBG,O
to,VBN,O
apply,VBN,O
its,IN,O
mind,DT,O
to,JJ,O
provide,NNS,O
appropriate,VBG,O
measures,IN,O
including,JJ,O
the,JJ,O
measure,JJ,O
of,NN,O
setting,CC,O
up,NN,O
an,IN,O
auction,DT,O
platform,JJ,O
and,NN,O
since,IN,O
the,NNS,O
auction,DT,O
platform,NN,O
has,NN,O
to,RB,O
have,VBZ,O
a,DT,O
location,WP,O
the,VBP,O
board,DT,O
cannot,NNS,O
but,TO,O
think,VB,O
it,DT,O
fit,JJ,O
to,NN,O
establish,NN,O
such,CC,O
platform,RB,O
within,IN,O
the,NN,O
market,TO,O
area,VB,O
such,IN,O
a,JJ,O
step,NN,O
will,TO,O
be,VB,O
consistent,NNS,O
with,WRB,O
the,DT,O
mandate,NN,O
of,JJ,O
section,NNS,O
31,TO,O
and,VB,O
therefore,IN,O
it,DT,O
will,NN,O
not,NN,O
be,CC,O
in,NN,O
derogation,NN,O
of,DT,O
the,NNS,O
state,IN,O
act,NN,O
the,NN,O
amendment,NN,O
introduced,RBR,O
in,RB,O
tobacco,NN,O
board,CD,O
act,RB,O
according,NNS,O
to,IN,O
mr,DT,O
sanghi,NN,O
is,VBZ,O
achieved,TO,O
by,VB,O
the,PRP$,O
enforcement,NN,O
of,TO,O
the,VB,O
amending,JJ,B-LEGAL
act,NNS,I-LEGAL
which,VBG,O
exhausts,DT,O
itself,NN,O
by,IN,O
merely,VBG,O
introducing,RP,O
the,DT,O
amending,NN,O
provisions,NN,O
into,CC,O
the,IN,O
parent,DT,O
act,NN,O
so,NN,O
that,VBZ,O
the,TO,O
requirement,VB,O
of,DT,O
sub,NN,O
section,DT,O
1,NN,O
of,MD,O
section,RB,O
3,CC,O
of,VBP,O
the,PRP,O
parent,VBZ,O
act,TO,O
namely,VB,O
bringing,JJ,O
into,NN,O
force,IN,O
the,DT,O
newly,NN,O
added,NN,O
sections,PDT,O
will,DT,O
have,NN,O
to,MD,O
be,VB,O
complied,JJ,O
with,IN,O
thus,DT,O
the,NN,O
amended,IN,O
sections,NN,O
as,CD,O
well,CC,O
as,JJR,O
section,PRP,O
13,MD,O
of,RB,O
the,VB,O
act,IN,O
having,NN,O
not,IN,O
been,DT,O
enforced,NN,O
within,VBD,O
the,DT,O
state,NN,O
of,VBN,O
madhya,IN,O
pradesh,NN,O
there,NN,O
cannot,NN,O
be,VBG,O
any,TO,O
inconsistency,VB,O
or,NN,O
repugnancy,VBZ,B-LEGAL
between,VBN,O
the,IN,O
two,DT,O
acts,NN,O
assuming,IN,O
that,DT,O
bringing,NN,O
into,NN,O
force,WDT,O
all,VBZ,O
the,PRP,O
said,IN,O
sections,RB,O
may,VBG,O
create,DT,O
some,VBG,O
inconsistency,NNS,O
according,IN,O
to,DT,O
mr,NN,O
sanghi,NN,O
the,IN,O
objects,IN,O
of,DT,O
the,NN,O
tobacco,IN,O
board,JJ,O
act,NN,O
being,CD,O
development,IN,O
of,NN,O
tobacco,CD,O
industry,IN,O
more,DT,O
particularly,NN,O
in,NN,O
respect,RB,O
of,VBG,O
virginia,IN,O
tobacco,NN,O
is,DT,O
not,RB,O
in,VBN,O
any,NNS,O
manner,MD,O
defeated,VB,O
by,TO,O
the,VB,O
provisions,VBN,O
of,IN,O
the,RB,O
state,DT,O
act,JJ,O
and,NNS,O
the,RB,O
object,RB,O
of,IN,O
the,NN,O
state,CD,O
act,IN,O
are,DT,O
not,NN,O
defeated,VBG,O
by,RB,O
the,VBN,O
existing,VBN,O
or,IN,O
even,DT,O
non,NN,O
enforced,IN,O
provisions,NN,O
of,IN,O
the,EX,O
tobacco,MD,O
board,RB,O
act,VB,O
in,DT,O
this,NN,O
view,CC,O
of,NN,O
the,IN,O
matter,DT,O
according,CD,O
to,NNS,O
mr,VBG,O
sanghi,IN,O
the,VBG,O
minority,IN,O
view,NN,O
in,PDT,O
itc,DT,O
case,VBD,O
must,NNS,O
be,MD,O
held,VB,O
to,DT,O
be,NN,O
correct,VBG,O
and,TO,O
both,VB,O
the,PDT,O
central,DT,O
act,NNS,O
and,IN,O
the,DT,O
state,NNP,O
act,NN,O
should,NN,O
be,VBG,O
permitted,NN,O
to,IN,O
operate,NN,O
in,NN,O
their,JJR,O
own,RB,O
sphere,IN,O
181,NN,O
mr,IN,O
ak,NN,O
ganguli,NN,O
the,VBZ,O
learned,RB,O
senior,IN,O
counsel,DT,O
appearing,NN,O
for,VBN,O
the,IN,O
tamil,DT,O
nadu,NNS,O
agricultural,IN,O
marketing,DT,O
board,NN,O
analysed,NN,O
the,CC,O
provisions,DT,O
of,NN,O
article,IN,O
2463,DT,O
of,NN,O
the,NN,O
constitution,VBP,O
and,RB,O
contended,VBN,O
that,IN,O
the,DT,O
expression,VBG,O
subject,CC,O
to,RB,O
appearing,RB,O
in,JJ,O
article,NNS,O
2463,IN,O
has,DT,O
reference,NNP,O
to,NN,O
those,NN,O
entries,IN,O
in,DT,O
list,NN,O
ii,IN,O
which,DT,O
provides,NN,O
that,VBG,O
the,TO,O
subject,VB,O
matter,PDT,O
of,DT,O
said,NN,O
entries,NN,O
are,IN,O
subject,JJ,O
to,NN,O
the,MD,O
provisions,VB,O
contained,VBN,O
in,TO,O
certain,VB,O
specified,JJ,O
entries,CC,O
appearing,DT,O
in,DT,O
either,JJ,O
list,NN,O
i,CC,O
or,DT,O
list,NN,O
iii,NN,O
as,MD,O
for,VB,O
example,VBN,O
entry,TO,O
2,VB,O
in,IN,O
list,PRP$,O
ii,JJ,O
provides,RB,O
police,CD,O
including,NNS,O
railways,JJ,O
and,VBP,O
village,DT,O
police,JJ,O
subject,JJ,O
to,NN,O
the,VBG,O
provisions,IN,O
of,DT,O
entry,NN,O
2a,JJ,O
of,JJ,O
list,VBG,O
i,NN,O
similar,VBD,O
provisions,DT,O
are,NNS,O
found,IN,O
in,NN,O
several,CD,O
entries,IN,O
in,DT,O
list,NN,O
ii,CC,O
like,VBD,O
entry,IN,O
17,DT,O
22,NN,O
24,NN,O
26,TO,O
27,VBG,O
32,IN,O
33,NN,O
37,CD,O
54,VBZ,O
57,NN,O
and,TO,O
63,DT,O
but,NNS,O
only,IN,O
three,NN,O
entries,NN,O
in,WDT,O
list,VBZ,O
ii,IN,O
namely,DT,O
entries,JJ,O
13,NN,O
23,IN,O
and,VBD,O
50,NNS,O
do,VBP,O
not,JJ,O
specify,TO,O
any,DT,O
entry,NNS,O
in,VBN,O
list,IN,O
i,JJ,O
or,JJ,O
list,NNS,O
iii,VBG,O
subject,IN,O
to,DT,O
which,NN,O
the,NN,O
said,CC,O
entries,NN,O
would,NN,O
remain,IN,O
operative,IN,O
but,NN,O
restrict,NN,O
the,CD,O
scope,IN,O
of,NN,O
these,NN,O
entries,VBZ,O
by,NNS,O
a,VBG,O
general,NNS,O
reference,CC,O
to,NN,O
the,NN,O
provisions,NN,O
contained,TO,O
in,DT,O
list,NNS,O
i,IN,O
or,NN,O
list,CD,O
iii,IN,O
therefore,NN,O
in,NN,O
respect,JJ,O
of,NNS,O
all,VBP,O
other,VBN,O
entries,IN,O
in,JJ,O
list,NNS,O
ii,IN,O
the,NN,O
state,NN,B-LEGAL
legislature,IN,I-LEGAL
enjoys,NN,O
the,CD,O
exclusive,CD,O
power,CD,O
to,CD,O
enact,CD,O
laws,CD,O
and,CD,O
consequently,CD,O
if,CD,O
the,CD,O
state,CC,O
act,CD,O
has,CC,O
been,RB,O
enacted,CD,O
under,NNS,O
entry,IN,O
28,NN,O
of,NN,O
list,RB,O
ii,VBZ,O
the,CD,O
state,CD,O
act,CC,O
must,CD,O
be,VBP,O
allowed,RB,O
to,VB,O
operate,DT,O
the,NN,O
contention,IN,O
that,NN,O
parliament,NN,B-LEGAL
enjoys,CC,O
superior,NN,O
legislative,NN,O
powers,NN,O
with,TO,O
regard,WDT,O
to,DT,O
subject,VBD,O
matters,NNS,O
enumerated,MD,O
in,VB,O
list,JJ,O
ii,CC,O
according,VBP,O
to,DT,O
mr,NN,O
ganguli,IN,O
would,DT,O
hold,NNS,O
good,IN,O
only,DT,O
in,JJ,O
respect,NN,O
of,TO,O
those,DT,O
entries,NNS,O
in,VBN,O
list,IN,O
ii,NN,O
which,NN,O
expressly,CC,O
provide,NN,O
that,NN,O
the,RB,O
subject,IN,O
matter,NN,O
thereof,IN,O
are,DT,O
subject,JJ,O
to,NNS,O
the,IN,O
matters,NN,O
dealt,VBP,O
with,DT,O
in,NN,O
various,NN,O
entries,VBZ,O
in,DT,O
list,JJ,O
i,NN,O
but,TO,O
that,VB,O
principle,NNS,O
cannot,CC,O
be,RB,O
extended,IN,O
to,DT,O
the,NN,O
subject,NN,O
matters,VBZ,O
covered,VBN,O
by,VBN,O
other,IN,O
entries,NN,O
in,CD,O
list,IN,O
ii,NN,O
placing,IN,O
reliance,DT,O
on,NN,O
the,NN,O
provision,MD,O
of,VB,O
section,VBN,O
100,TO,O
of,VB,O
the,DT,O
government,NN,O
of,WDT,O
india,NN,O
act,VBZ,O
1935,JJ,O
which,JJ,O
corresponds,NNS,O
to,IN,O
article,NN,O
246,TO,O
of,JJ,O
the,NNS,O
constitution,VBN,O
which,IN,O
was,NN,O
interpreted,NN,O
by,VBG,O
sulaiman,TO,O
j,NN,O
in,NNS,O
subrahmanyam,MD,O
chettiyar,VB,O
v,JJ,O
muttuswamy,RB,O
grounder,IN,O
reported,NN,O
in,IN,O
1940,DT,O
fcr,NNS,O
188,IN,O
which,NN,O
has,NN,O
been,WDT,O
approved,RB,O
by,VBP,O
the,IN,O
constitution,DT,O
bench,JJ,O
in,NN,O
the,NN,O
case,VBP,O
of,JJ,O
kseb,TO,O
v,DT,O
indal,NNS,O
manu,VBP,O
sc,IN,O
0311,IN,O
1975manu,JJ,O
sc,NNS,O
0311,IN,O
1975,NN,O
1976,NN,O
1scr552,CC,O
the,IN,O
counsel,NN,O
urged,MD,O
that,RB,O
the,VB,O
state,VBN,B-LEGAL
legislature,TO,I-LEGAL
enjoys,DT,O
exclusive,NN,O
legislative,NNS,B-LEGAL
power,VBN,I-LEGAL
under,IN,O
article,JJ,O
2463,NNS,O
to,IN,O
make,NN,O
laws,NN,O
with,VBG,O
respect,NN,O
to,IN,O
the,DT,O
subject,NN,O
matter,IN,O
enumerated,NN,O
in,CD,O
entry,IN,O
28,DT,O
of,NN,O
list,IN,O
ii,NN,O
ie,NN,O
market,CD,O
and,WDT,O
fairs,VBZ,O
this,TO,O
power,NN,O
has,CD,O
not,IN,O
been,DT,O
conditioned,NN,O
by,WDT,O
any,VBD,O
restrictions,VBN,O
in,IN,O
so,JJ,O
far,NN,O
as,IN,O
the,JJ,O
distribution,NN,B-LEGAL
of,NN,I-LEGAL
legislative,NN,I-LEGAL
power,NN,I-LEGAL
between,VBN,O
the,IN,O
parliament,CD,B-LEGAL
and,NN,O
the,CD,O
state,WDT,B-LEGAL
legislature,VBZ,I-LEGAL
is,VBN,O
concerned,VBN,O
and,IN,O
consequently,DT,O
this,NN,O
power,NN,O
cannot,IN,O
be,DT,O
curtailed,NN,O
or,IN,O
restricted,NN,O
by,NN,O
the,JJ,O
exercise,NN,B-LEGAL
of,NN,I-LEGAL
legislative,CD,I-LEGAL
power,CD,I-LEGAL
of,NN,O
the,CD,O
parliament,CD,B-LEGAL
with,CD,O
reference,CD,O
to,DT,O
any,NN,O
of,VBD,O
the,IN,O
entries,DT,O
either,NN,O
in,NN,O
list,VBZ,O
i,JJ,O
or,JJ,O
list,NN,O
iii,IN,O
mr,NN,O
ganguli,CD,O
further,TO,O
contends,VB,O
that,NNS,O
the,IN,O
entry,NN,O
in,TO,O
three,DT,O
lists,JJ,O
of,NN,O
the,VBN,O
constitution,IN,O
are,NN,O
not,CD,O
powers,IN,O
but,NN,O
fields,NN,O
of,NN,O
legislation,NN,B-LEGAL
the,CC,O
power,VB,O
to,DT,O
legislate,NN,O
is,VBZ,O
given,RB,O
by,VBN,O
article,VBN,O
246,IN,O
the,DT,O
entries,NNS,O
in,IN,O
different,RB,O
lists,RB,O
demarcate,IN,O
the,DT,O
area,NN,O
over,IN,O
which,JJ,O
the,NN,O
appropriate,IN,O
legislature,DT,O
can,NN,O
operate,CC,O
according,DT,O
to,NN,O
him,NN,O
the,VBZ,O
concept,VBN,O
of,CC,O
federal,RB,O
supremacy,DT,O
can,NN,O
not,MD,O
be,RB,O
invoked,VB,O
to,VBN,O
deny,CC,O
the,VBN,O
state,IN,B-LEGAL
legislature,DT,I-LEGAL
the,NN,O
power,IN,O
to,JJ,O
make,NN,O
laws,IN,O
with,DT,O
respect,NN,O
to,IN,O
such,NN,O
subject,TO,O
matters,DT,O
which,IN,O
are,DT,O
exclusively,NNS,O
assigned,CC,O
to,IN,O
it,NN,O
under,NN,O
the,CC,O
state,NN,B-LEGAL
list,NN,I-LEGAL
if,NN,O
a,NN,O
law,JJ,O
made,VBZ,O
by,IN,O
the,DT,O
state,NN,B-LEGAL
legislature,IN,I-LEGAL
is,CD,O
impugned,NNS,O
on,IN,O
the,DT,O
ground,NN,O
of,VBP,O
incompetency,RB,O
and,NNS,O
on,CC,O
examination,NNS,O
of,IN,O
the,NN,O
law,DT,O
it,NN,O
is,TO,O
found,VB,O
that,VBZ,O
the,VBN,O
law,IN,O
in,NN,O
substance,CD,O
is,DT,O
with,NNS,O
respect,IN,O
to,JJ,O
a,NNS,O
matter,VBP,O
in,DT,O
list,NN,O
ii,IN,O
then,WDT,O
the,DT,O
law,JJ,O
would,NN,O
be,MD,O
valid,VB,O
in,VBG,O
its,TO,O
entirety,PRP,O
it,DT,O
is,NN,O
only,IN,O
in,JJ,O
case,NN,O
of,MD,O
a,RB,O
seeming,VB,O
conflict,VBN,O
between,TO,O
the,VB,O
law,DT,O
made,NN,O
under,NN,O
any,DT,O
of,NN,O
the,TO,O
entries,VB,O
in,NNS,O
list,IN,O
i,NN,O
and,TO,O
ii,JJ,O
then,JJ,O
the,NNS,O
principle,WDT,O
of,VBP,O
federal,RB,O
supremacy,VBN,O
could,TO,O
be,PRP,O
invoked,IN,O
in,DT,O
view,NN,O
of,NN,O
the,IN,O
opening,DT,O
words,NN,O
in,VBN,O
article,IN,O
2461,DT,O
so,NN,O
far,NN,O
as,VBZ,O
the,VBN,O
meaning,IN,O
of,DT,O
the,NN,O
expression,IN,O
industry,NN,O
in,CC,O
entry,IN,O
52,NN,O
of,IN,O
list,DT,O
i,NN,O
the,PRP,O
counsel,VBZ,O
urged,VBN,O
that,IN,O
the,DT,O
said,NN,O
word,IN,O
must,NN,O
have,VBZ,O
the,IN,O
same,NN,O
meaning,TO,O
as,DT,O
would,NN,O
be,IN,O
ascribed,NN,O
to,NN,O
the,RB,O
word,DT,O
in,NN,O
entry,MD,O
24,VB,O
of,JJ,O
list,IN,O
ii,PRP$,O
so,NN,O
far,PRP,O
as,VBZ,O
the,RB,O
raw,IN,O
materials,NN,O
are,IN,O
concerned,DT,O
it,VBG,O
has,NN,O
been,IN,O
held,DT,O
to,NN,O
be,VBN,O
goods,IN,O
and,DT,O
would,IN,O
fall,DT,O
within,NNS,O
the,IN,O
subject,NN,O
matter,NN,O
comprised,CC,O
in,NN,O
entry,RB,O
27,DT,O
of,NN,O
list,IN,O
ii,JJ,O
the,NN,O
products,MD,O
of,VB,O
the,VBN,O
industry,IN,O
would,NN,O
also,IN,O
be,DT,O
comprised,NN,O
in,NNS,O
entry,IN,O
27,NN,O
of,CD,O
list,RB,O
ii,RB,O
except,IN,O
that,DT,O
in,NN,O
the,IN,O
case,DT,O
of,NN,O
controlled,NN,O
industry,IN,O
they,NN,O
would,CD,O
fall,IN,O
under,NN,O
entry,IN,O
33,DT,O
of,NN,O
list,VBD,O
iii,IN,O
and,DT,O
only,VBD,O
the,NN,O
process,MD,O
of,VB,O
manufacture,DT,O
and,JJ,O
production,NN,O
would,IN,O
fall,MD,O
under,VB,O
entry,VBN,O
24,TO,O
of,DT,O
list,NN,O
ii,IN,O
and,NN,O
if,CD,O
the,IN,O
concerned,NN,O
industry,NNS,O
is,RB,O
a,RB,O
declared,IN,O
industry,DT,O
then,JJ,O
the,NNS,O
process,VBP,O
of,VBN,O
manufacture,PRP,O
and,VBZ,O
production,VBN,O
would,VBN,O
fall,TO,O
under,VB,O
entry,NNS,O
52,CC,O
of,MD,O
list,VB,O
i,IN,O
it,DT,O
is,JJ,O
therefore,NN,O
logical,VBN,O
to,IN,O
hold,NN,O
that,CD,O
the,IN,O
activities,NN,O
relating,VBP,O
to,DT,O
production,NNS,O
and,IN,O
manufacture,DT,O
which,NN,O
would,MD,O
otherwise,RB,O
come,VB,O
within,VBN,O
the,IN,O
purview,NN,O
of,CD,O
the,IN,O
expression,NN,O
industry,NN,O
in,IN,O
entry,DT,O
24,IN,O
of,DT,O
list,NN,O
ii,IN,O
becomes,VBN,O
a,NN,O
subject,PRP,O
matter,MD,O
of,VB,O
legislation,IN,B-LEGAL
under,NN,O
entry,CD,O
52,IN,O
of,NN,O
list,NN,O
i,CC,O
where,RB,O
the,DT,O
industry,NN,O
is,IN,O
a,NN,O
declared,CC,O
industry,NN,O
therefore,MD,O
such,VB,O
legislative,IN,B-LEGAL
competence,NN,I-LEGAL
of,CD,O
the,IN,O
parliament,NN,B-LEGAL
would,NN,O
not,CC,O
confer,IN,O
power,DT,O
in,JJ,O
relation,NN,O
to,VBZ,O
raw,DT,O
materials,JJ,O
which,NN,O
may,RB,O
be,DT,O
