sb,NN,O
deliberation,DT,O
the,NN,O
purpose,TO,O
thereof,NN,O
is,CC,O
to,NN,O
enable,DT,O
the,NN,O
judges,NN,O
to,VBZ,O
make,TO,O
their,VB,O
respective,DT,O
points,NNS,O
of,TO,O
view,VB,O
known,PRP$,O
to,JJ,O
the,NNS,O
others,IN,O
and,NN,O
discuss,VBN,O
and,TO,O
examine,DT,O
the,NNS,O
relative,CC,O
merits,NN,O
of,CC,O
their,VB,O
view,DT,O
it,JJ,O
is,NNS,O
neither,IN,O
in,PRP$,O
doubt,NN,O
nor,PRP,O
in,VBZ,O
dispute,CC,O
that,IN,O
the,NN,O
judges,CC,O
present,IN,O
in,NN,O
the,IN,O
meeting,DT,O
of,NNS,O
the,VBP,O
full,IN,O
court,DT,O
were,NN,O
supplied,IN,O
with,DT,O
all,JJ,O
the,NN,O
requisite,VBD,O
documents,VBN,O
and,IN,O
had,PDT,O
full,DT,O
opportunity,JJ,O
to,NNS,O
deliberate,CC,O
upon,VBD,O
the,JJ,O
agenda,NN,O
in,TO,O
question,VB,O
37,IN,O
there,DT,O
is,NN,O
another,IN,O
aspect,NN,O
of,CD,O
the,EX,O
matter,VBZ,O
which,DT,O
may,NN,O
require,IN,O
consideration,DT,O
for,NN,O
all,WDT,O
intent,MD,O
and,VB,O
purport,NN,O
the,IN,O
report,DT,O
of,NN,O
the,CC,O
two,VB,O
judges,DT,O
committee,NN,O
has,IN,O
been,DT,O
approved,CD,O
by,NNS,O
the,NN,O
full,VBZ,O
court,VBN,O
once,VBN,O
approved,IN,O
it,DT,O
terminated,JJ,O
into,NN,O
a,RB,O
decision,VBD,O
of,PRP,O
the,VBD,O
full,IN,O
court,DT,O
itself,NN,O
in,IN,O
the,DT,O
instant,JJ,O
case,NN,O
even,PRP,O
the,IN,O
governor,DT,O
has,JJ,O
acted,NN,O
upon,RB,O
the,DT,O
recommendations,NN,O
of,VBZ,O
the,VBN,O
high,IN,O
court,DT,O
the,NNS,O
writ,IN,O
petitioners,DT,O
first,JJ,O
respondents,NN,O
herein,DT,O
did,NN,O
not,NNS,O
question,JJ,O
the,NNS,O
appointments,RB,O
of,VBD,O
the,RB,O
appointees,VB,O
not,DT,O
the,NNS,O
high,IN,O
court,DT,O
thus,NNS,O
there,RB,O
cannot,DT,O
be,JJ,O
any,NN,O
doubt,RB,O
whatsoever,RB,O
that,MD,O
for,RB,O
all,VB,O
intent,DT,O
and,NN,O
purport,NN,O
the,IN,O
opinion,IN,O
of,DT,O
the,NN,O
two,CC,O
judges,VB,O
committee,DT,O
received,NN,O
approval,IN,O
at,DT,O
the,CD,O
hands,NNS,O
of,NN,O
the,VBD,O
full,NN,O
court,IN,O
38,DT,O
the,NNS,O
high,IN,O
court,DT,O
in,JJ,O
our,NN,O
opinion,CD,O
further,DT,O
committed,JJ,O
a,NN,O
manifest,IN,O
error,PRP$,O
in,NN,O
arriving,RB,O
at,VBD,O
its,DT,O
conclusion,JJS,O
in,NN,O
so,IN,O
far,VBG,O
as,IN,O
it,PRP$,O
failed,NN,O
to,IN,O
take,RB,O
into,RB,O
consideration,IN,O
that,PRP,O
rule,VBD,O
15,TO,O
does,VB,O
not,IN,O
postulate,NN,O
the,IN,O
prior,NN,O
approval,CD,O
of,VBZ,O
the,RB,O
full,VB,O
court,DT,O
in,JJ,O
relation,NN,O
to,IN,O
any,DT,O
action,JJ,O
which,NN,O
may,IN,O
be,NN,O
initiated,TO,O
by,DT,O
the,NN,O
chief,WDT,O
justice,MD,O
39,VB,O
when,VBN,O
an,IN,O
approval,DT,O
is,JJ,O
required,NN,O
an,CD,O
action,WRB,O
holds,DT,O
goods,NN,O
only,VBZ,O
if,VBN,O
it,DT,O
disapproved,NN,O
it,VBZ,O
losses,NNS,O
its,RB,O
force,IN,O
only,PRP,O
when,VBD,O
a,PRP,O
permission,NNS,O
is,PRP$,O
required,NN,O
the,RB,O
decision,WRB,O
does,DT,O
not,NN,O
become,VBZ,O
effective,VBN,O
till,DT,O
permission,NN,O
is,VBZ,O
obtained,RB,O
see,VB,O
up,JJ,O
avas,JJ,O
evam,NN,O
vikas,VBZ,O
parishad,VBN,O
and,VBP,O
anr,RP,O
v,RB,O
friends,JJ,O
coop,NN,O
housing,VBD,O
society,CC,O
ltd,JJ,O
and,NN,O
anr,NNS,O
manu,VBP,O
sc,NN,O
0024,NN,O
1996manu,NN,O
sc,CC,O
0024,JJ,O
1996,NN,O
1995,NN,O
3scr729,CD,O
in,CD,O
the,NN,O
instant,CD,O
case,CD,O
both,CD,O
the,CD,O
aforementioned,IN,O
requirements,DT,O
have,JJ,O
been,NN,O
fulfilled,DT,O
40,DT,O
there,JJ,O
is,NNS,O
another,VBP,O
aspect,VBN,O
of,VBN,O
the,CD,O
matter,EX,O
in,VBZ,O
terms,DT,O
of,NN,O
rule,IN,O
22,DT,O
of,NN,O
the,IN,O
rules,NNS,O
the,IN,O
decision,NN,O
of,CD,O
the,IN,O
full,DT,O
court,NNS,O
would,DT,O
have,NN,O
a,IN,O
retrospective,DT,O
effective,JJ,O
and,NN,O
retrospective,MD,B-LEGAL
operation,VB,I-LEGAL
41,DT,O
in,JJ,O
any,JJ,O
view,CC,O
of,JJ,O
the,NN,O
matter,CD,O
even,IN,O
in,DT,O
a,NN,O
case,IN,O
where,DT,O
the,NN,O
initial,RB,O
action,IN,O
is,DT,O
illegal,NN,O
the,WRB,O
same,DT,O
can,JJ,O
be,NN,O
ratified,VBZ,O
by,JJ,O
a,DT,O
body,JJ,O
competent,MD,O
therefore,VB,O
this,VBN,O
aspect,IN,O
of,DT,O
the,NN,O
matter,NN,O
has,IN,O
not,DT,O
been,NN,O
considered,IN,O
by,DT,O
the,NN,O
high,VBZ,O
court,RB,O
at,VBN,O
all,VBN,O
in,IN,O
sir,DT,O
parmeshwari,JJ,O
prasad,NN,O
gupta,IN,O
v,DT,O
the,IN,O
union,NN,O
of,NN,O
india,NN,O
manu,NN,O
sc,IN,O
0395,DT,O
1973manu,NN,O
sc,IN,O
0395,JJ,O
1973,NN,O
1974,NN,O
1scr304,CD,O
this,CD,O
court,NN,O
held,CD,O
even,CD,O
if,CD,O
it,CD,O
be,DT,O
assumed,NN,O
that,VBD,O
the,RB,O
telegram,IN,O
and,PRP,O
the,VB,O
letter,VBN,O
terminating,IN,O
the,DT,O
services,NN,O
of,CC,O
the,DT,O
appellant,NN,O
by,VBG,O
the,DT,O
chairman,NNS,O
was,IN,O
in,DT,O
pursuance,NN,O
to,IN,O
the,DT,O
invalid,NN,O
resolution,VBD,O
of,IN,O
the,NN,O
board,TO,O
of,DT,O
directors,JJ,O
passed,NN,O
on,IN,O
december,DT,O
16,NN,O
1953,IN,O
to,NNS,O
terminate,VBN,O
his,IN,O
services,NN,O
it,CD,O
would,CD,O
not,TO,O
follow,VB,O
that,PRP$,O
the,NNS,O
action,PRP,O
of,MD,O
the,RB,O
chairman,VB,O
could,IN,O
not,DT,O
be,NN,O
ratified,IN,O
in,DT,O
a,NN,O
regularly,MD,O
convened,RB,O
meeting,VB,O
of,VBN,O
the,IN,O
board,DT,O
of,RB,O
directors,JJ,O
the,NN,O
point,IN,O
is,DT,O
that,NN,O
even,IN,O
assuming,NNS,O
that,DT,O
the,NN,O
chairman,VBZ,O
was,IN,O
not,RB,O
legally,VBG,O
authorised,IN,O
to,DT,O
terminate,NN,O
the,VBD,O
services,RB,O
of,RB,O
the,VBN,O
appellant,TO,O
he,VB,O
was,DT,O
acting,NNS,O
on,IN,O
behalf,DT,O
of,NN,O
the,PRP,O
company,VBD,O
in,VBG,O
doing,IN,O
so,NN,O
because,IN,O
he,DT,O
purported,NN,O
to,IN,O
act,VBG,O
in,RB,O
pursuance,IN,O
of,PRP,O
the,VBD,O
invalid,TO,O
resolution,VB,O
therefore,IN,O
it,NN,O
was,IN,O
open,DT,O
to,JJ,O
a,NN,O
regularly,IN,O
constituted,PRP,O
meeting,VBD,O
of,JJ,O
the,TO,O
board,DT,O
of,RB,O
directors,JJ,O
to,NN,O
ratify,IN,O
that,DT,O
action,NN,O
which,IN,O
though,NNS,O
unauthorized,TO,O
was,VB,O
done,DT,O
on,NN,O
behalf,WDT,O
of,IN,O
the,JJ,O
company,VBD,O
ratification,VBN,O
would,IN,O
always,NN,O
relate,IN,O
back,DT,O
to,NN,O
the,NN,O
date,MD,O
of,RB,O
the,VB,O
act,RB,O
ratified,TO,O
and,DT,O
so,NN,O
it,IN,O
must,DT,O
be,NN,O
held,VBD,O
that,CC,O
the,IN,O
services,PRP,O
of,MD,O
the,VB,O
appellant,VBN,O
were,IN,O
validly,DT,O
terminated,NNS,O
on,IN,O
december,DT,O
17,NN,O
1953,VBD,O
42,RB,O
see,VBN,O
also,IN,O
marathwada,NN,O
university,CD,O
v,CD,O
seshrao,CD,O
balwant,NN,O
rao,RB,O
chavan,NNP,O
manu,NN,O
sc,NN,O
0311,NN,O
1989manu,NN,O
sc,NN,O
0311,NN,O
1989,NN,O
1989iillj161sc,NN,O
babu,CD,O
verghese,CD,O
and,NN,O
ors,CD,O
v,CD,O
bar,CD,O
council,NN,O
of,NN,O
kerala,CC,O
and,NNS,O
ors,VBP,O
manu,NN,O
sc,NN,O
0168,IN,O
1999manu,NN,O
sc,CC,O
0168,NNS,O
1999,VBP,O
1999,JJ,O
1scr1121,CD,O
and,CD,O
barnard,NN,O
v,CD,O
national,CD,O
dock,CD,O
labour,CD,O
board,CC,O
1953,RB,O
1,JJ,O
all,JJ,O
er,NN,O
1113,CD,O
43,NN,O
in,CD,O
orissa,CD,O
small,DT,O
industries,NN,O
corporation,CD,O
ltd,CD,O
and,IN,O
anr,NN,O
v,JJ,O
narasingha,NNS,O
charan,NN,O
mohanty,NN,O
and,CC,O
ors,JJ,O
supra,NN,O
where,NN,O
upon,NN,O
the,NN,O
learned,CC,O
counsel,NNS,O
has,VBP,O
placed,WRB,O
strong,IN,O
reliance,DT,O
this,JJ,O
court,NN,O
held,VBZ,O
that,VBN,O
apart,JJ,O
the,NN,O
court,DT,O
is,NN,O
not,VBD,O
entitled,IN,O
to,VBZ,O
assess,DT,O
the,NN,O
respective,VBZ,O
merit,RB,O
of,VBN,O
the,TO,O
candidates,VB,O
for,DT,O
adjudging,JJ,O
their,NN,O
suitability,IN,O
for,DT,O
being,NNS,O
promoted,IN,O
and,VBG,O
the,PRP$,O
only,NN,O
right,IN,O
the,VBG,O
employee,VBN,B-LEGAL
has,CC,O
is,DT,O
a,RB,O
right,VBZ,O
of,DT,O
consideration,NN,O
the,VBZ,O
said,VBZ,O
right,DT,O
of,NN,O
consideration,IN,O
not,NN,O
having,DT,O
been,VBD,O
infringed,NN,O
in,IN,O
the,NN,O
present,RB,O
case,VBG,O
the,VBN,O
high,VBN,O
court,IN,O
was,DT,O
not,JJ,O
justified,NN,O
in,DT,O
issuing,JJ,O
the,NN,O
impugned,VBD,O
direction,RB,O
for,VBN,O
reconsideration,IN,O
of,VBG,O
his,DT,O
case,JJ,O
44,NN,O
the,IN,O
said,NN,O
decision,IN,O
therefore,PRP$,O
mutilates,NN,O
against,CD,O
the,DT,O
contentions,VBD,O
of,NN,O
the,NN,O
respondents,NNS,O
45,IN,O
furthermore,DT,O
the,NNS,O
first,IN,O
respondent,DT,O
herein,NNS,O
in,CD,O
these,RB,O
cases,DT,O
shri,JJ,O
pp,NN,O
singh,NN,O
shri,IN,O
gp,DT,O
pandey,NNS,O
has,VBP,O
been,JJ,O
granted,NN,O
selection,NN,O
scale,NN,O
in,NN,O
rhjs,VBZ,O
with,VBN,O
effect,VBN,O
from,NN,O
182000,NN,O
and,IN,O
shri,NN,O
pk,IN,O
bhatia,NN,O
has,IN,O
been,CD,O
given,CC,O
with,JJ,O
effect,NN,O
from,NN,O
2932000,VBZ,O
shri,VBN,O
pp,VBN,O
singh,IN,O
has,NN,O
also,IN,O
retired,CD,O
from,NNS,O
service,JJ,O
on,NN,O
superannuation,VBZ,B-LEGAL
46,RB,O
we,VBN,O
are,IN,O
of,NN,O
the,IN,O
opinion,NN,O
that,CD,O
impugned,PRP,O
judgment,VBP,O
of,IN,O
the,DT,O
high,NN,O
court,WDT,O
cannot,VBD,O
be,NN,O
sustained,IN,O
which,DT,O
is,JJ,O
set,NN,O
aside,MD,O
accordingly,RB,O
the,VB,O
appeals,VBN,O
are,WDT,O
allowed,VBZ,O
but,VBN,O
in,RB,O
the,RB,O
facts,DT,O
and,NNS,O
circulation,VBP,O
of,VBN,O
the,CC,O
case,IN,O
there,DT,O
shall,NNS,O
be,CC,O
no,NN,O
order,IN,O
as,DT,O
to,NN,O
costs,EX,O
